#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1871716,60338003,HWB02_gp002,HWB02_gp002,HWB02_000002,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210605,-
1871716,60338044,HWB02_gp043,HWB02_gp043,HWB02_000043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338045,HWB02_gp044,HWB02_gp044,HWB02_000044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338046,HWB02_gp045,HWB02_gp045,HWB02_000045,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210605,-
1871716,60338047,HWB02_gp046,HWB02_gp046,HWB02_000046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338048,HWB02_gp047,HWB02_gp047,HWB02_000047,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210212,-
1871716,60338049,HWB02_gp048,HWB02_gp048,HWB02_000048,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210605,-
1871716,60338050,HWB02_gp049,HWB02_gp049,HWB02_000049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338051,HWB02_gp050,HWB02_gp050,HWB02_000050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338052,HWB02_gp051,HWB02_gp051,HWB02_000051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338053,HWB02_gp052,HWB02_gp052,HWB02_000052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338054,HWB02_gp053,HWB02_gp053,HWB02_000053,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
1871716,60338055,HWB02_gp054,HWB02_gp054,HWB02_000054,-,-,-,phage head fiber protein,protein-coding,-,-,-,phage head fiber protein,20210212,-
1871716,60338056,HWB02_gp055,HWB02_gp055,HWB02_000055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338057,HWB02_gp056,HWB02_gp056,HWB02_000056,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1871716,60338058,HWB02_gp057,HWB02_gp057,HWB02_000057,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20201130,-
1871716,60338059,HWB02_gp058,HWB02_gp058,HWB02_000058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1871716,60338060,HWB02_gp059,HWB02_gp059,HWB02_000059,-,-,-,serine protease,protein-coding,-,-,-,serine protease,20210212,-
1871716,60338061,HWB02_gp060,HWB02_gp060,HWB02_000060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338062,HWB02_gp061,HWB02_gp061,HWB02_000061,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
1871716,60338063,HWB02_gp062,HWB02_gp062,HWB02_000062,-,-,-,O-spanin,protein-coding,-,-,-,O-spanin,20201130,-
1871716,60338064,HWB02_gp063,HWB02_gp063,HWB02_000063,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
1871716,60338065,HWB02_gp064,HWB02_gp064,HWB02_000064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338067,HWB02_gp066,HWB02_gp066,HWB02_000066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338068,HWB02_gp067,HWB02_gp067,HWB02_000067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338069,HWB02_gp068,HWB02_gp068,HWB02_000068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338070,HWB02_gp069,HWB02_gp069,HWB02_000069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338071,HWB02_gp070,HWB02_gp070,HWB02_000070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338072,HWB02_gp071,HWB02_gp071,HWB02_000071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338073,HWB02_gp072,HWB02_gp072,HWB02_000072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338074,HWB02_gp073,HWB02_gp073,HWB02_000073,-,-,-,major capsid/head protein,protein-coding,-,-,-,major capsid/head protein,20201130,-
1871716,60338075,HWB02_gp074,HWB02_gp074,HWB02_000074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338076,HWB02_gp075,HWB02_gp075,HWB02_000075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338077,HWB02_gp076,HWB02_gp076,HWB02_000076,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201130,-
1871716,60338078,HWB02_gp077,HWB02_gp077,HWB02_000077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338079,HWB02_gp078,HWB02_gp078,HWB02_000078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338080,HWB02_gp079,HWB02_gp079,HWB02_000079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338081,HWB02_gp080,HWB02_gp080,HWB02_000080,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20210605,-
1871716,60338082,HWB02_gp081,HWB02_gp081,HWB02_000081,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210605,-
1871716,60338083,HWB02_gp082,HWB02_gp082,HWB02_000082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
1871716,60338084,HWB02_gp083,HWB02_gp083,HWB02_000083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338085,HWB02_gp084,HWB02_gp084,HWB02_000084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338086,HWB02_gp085,HWB02_gp085,HWB02_000085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338087,HWB02_gp086,HWB02_gp086,HWB02_000086,-,-,-,transposase-like protein,protein-coding,-,-,-,transposase-like protein,20201130,-
1871716,60338088,HWB02_gp087,HWB02_gp087,HWB02_000087,-,-,-,DUF342 domain-containing protein,protein-coding,-,-,-,DUF342 domain-containing protein,20201130,-
1871716,60338089,HWB02_gp088,HWB02_gp088,HWB02_000088,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210327,-
1871716,60338090,HWB02_gp089,HWB02_gp089,HWB02_000089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338091,HWB02_gp090,HWB02_gp090,HWB02_000090,-,-,-,ribonucleotide reductase of class III,protein-coding,-,-,-,ribonucleotide reductase of class III,20201130,-
1871716,60338092,HWB02_gp091,HWB02_gp091,HWB02_000091,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210605,-
1871716,60338093,HWB02_gp092,HWB02_gp092,HWB02_000092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338094,HWB02_gp093,HWB02_gp093,HWB02_000093,-,-,-,AAA domain-containing protein,protein-coding,-,-,-,AAA domain-containing protein,20210417,-
1871716,60338095,HWB02_gp094,HWB02_gp094,HWB02_000094,-,-,-,capsid scaffolding protein,protein-coding,-,-,-,capsid scaffolding protein,20201130,-
1871716,60338096,HWB02_gp095,HWB02_gp095,HWB02_000095,-,-,-,Sir2-like protein,protein-coding,-,-,-,Sir2-like protein,20210417,-
1871716,60338097,HWB02_gp096,HWB02_gp096,HWB02_000096,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210605,-
1871716,60338098,HWB02_gp097,HWB02_gp097,HWB02_000097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338099,HWB02_gp098,HWB02_gp098,HWB02_000098,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
1871716,60338100,HWB02_gp099,HWB02_gp099,HWB02_000099,-,-,-,aminotransferase A,protein-coding,-,-,-,aminotransferase A,20201130,-
1871716,60338101,HWB02_gp100,HWB02_gp100,HWB02_000100,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase-like protein,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase-like protein,20210327,-
1871716,60338102,HWB02_gp101,HWB02_gp101,HWB02_000101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338103,HWB02_gp102,HWB02_gp102,HWB02_000102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
1871716,60338104,HWB02_gp103,HWB02_gp103,HWB02_000103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338105,HWB02_gp104,HWB02_gp104,HWB02_000104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338106,HWB02_gp105,HWB02_gp105,HWB02_000105,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210605,-
1871716,60338107,HWB02_gp106,HWB02_gp106,HWB02_000106,-,-,-,GTP cyclohydrolase II,protein-coding,-,-,-,GTP cyclohydrolase II,20210605,-
1871716,60338108,HWB02_gp107,HWB02_gp107,HWB02_000107,-,-,-,NHN endonuclease,protein-coding,-,-,-,NHN endonuclease,20201130,-
1871716,60338109,HWB02_gp108,HWB02_gp108,HWB02_000108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210605,-
1871716,60338110,HWB02_gp109,HWB02_gp109,HWB02_000109,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210605,-
1871716,60338111,HWB02_gp110,HWB02_gp110,HWB02_000110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338112,HWB02_gp111,HWB02_gp111,HWB02_000111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338113,HWB02_gp112,HWB02_gp112,HWB02_000112,-,-,-,packaging and recombination endonuclease,protein-coding,-,-,-,packaging and recombination endonuclease,20210327,-
1871716,60338114,HWB02_gp113,HWB02_gp113,HWB02_000113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1871716,60338115,HWB02_gp114,HWB02_gp114,HWB02_000114,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210605,-
1871716,60338116,HWB02_gp115,HWB02_gp115,HWB02_000115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338117,HWB02_gp116,HWB02_gp116,HWB02_000116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338118,HWB02_gp117,HWB02_gp117,HWB02_000117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
1871716,60338119,HWB02_gp118,HWB02_gp118,HWB02_000118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338120,HWB02_gp119,HWB02_gp119,HWB02_000119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338121,HWB02_gp120,HWB02_gp120,HWB02_000120,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210605,-
1871716,60338122,HWB02_gp121,HWB02_gp121,HWB02_000121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338123,HWB02_gp122,HWB02_gp122,HWB02_000122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338124,HWB02_gp123,HWB02_gp123,HWB02_000123,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210605,-
1871716,60338125,HWB02_gp124,HWB02_gp124,HWB02_000124,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20210212,-
1871716,60338126,HWB02_gp125,HWB02_gp125,HWB02_000125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338127,HWB02_gp126,HWB02_gp126,HWB02_000126,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20210522,-
1871716,60338128,HWB02_gp127,HWB02_gp127,HWB02_000127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338129,HWB02_gp128,HWB02_gp128,HWB02_000128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338130,HWB02_gp129,HWB02_gp129,HWB02_000129,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210212,-
1871716,60338131,HWB02_gp130,HWB02_gp130,HWB02_000130,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210212,-
1871716,60338132,HWB02_gp131,HWB02_gp131,HWB02_000131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338133,HWB02_gp132,HWB02_gp132,HWB02_000132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338134,HWB02_gp133,HWB02_gp133,HWB02_000133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338135,HWB02_gp134,HWB02_gp134,HWB02_000134,-,-,-,ATP-dependent protease subunit,protein-coding,-,-,-,ATP-dependent protease subunit,20210212,-
1871716,60338136,HWB02_gp135,HWB02_gp135,HWB02_000135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338137,HWB02_gp136,HWB02_gp136,HWB02_000136,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201130,-
1871716,60338138,HWB02_gp137,HWB02_gp137,HWB02_000137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338140,HWB02_gp139,HWB02_gp139,HWB02_000139,-,-,-,MULTISPECIES: CapA family protein,protein-coding,-,-,-,MULTISPECIES: CapA family protein,20201130,-
1871716,60338141,HWB02_gp140,HWB02_gp140,HWB02_000140,-,-,-,DNA replication terminus site-binding protein,protein-coding,-,-,-,DNA replication terminus site-binding protein,20201130,-
1871716,60338142,HWB02_gp141,HWB02_gp141,HWB02_000141,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201130,-
1871716,60338143,HWB02_gp142,HWB02_gp142,HWB02_000142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338144,HWB02_gp143,HWB02_gp143,HWB02_000143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338145,HWB02_gp144,HWB02_gp144,HWB02_000144,-,-,-,Phi92_gp248,protein-coding,-,-,-,Phi92_gp248,20210424,-
1871716,60338146,HWB02_gp145,HWB02_gp145,HWB02_000145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338147,HWB02_gp146,HWB02_gp146,HWB02_000146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338148,HWB02_gp147,HWB02_gp147,HWB02_000147,-,-,-,ran-binding protein 17 isoform X2,protein-coding,-,-,-,ran-binding protein 17 isoform X2,20201130,-
1871716,60338149,HWB02_gp148,HWB02_gp148,HWB02_000148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338150,HWB02_gp149,HWB02_gp149,HWB02_000149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338151,HWB02_gp150,HWB02_gp150,HWB02_000150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338152,HWB02_gp151,HWB02_gp151,HWB02_000151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338153,HWB02_gp152,HWB02_gp152,HWB02_000152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338154,HWB02_gp153,HWB02_gp153,HWB02_000153,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20201130,-
1871716,60338155,HWB02_gp154,HWB02_gp154,HWB02_000154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338156,HWB02_gp155,HWB02_gp155,HWB02_000155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338157,HWB02_gp156,HWB02_gp156,HWB02_000156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338158,HWB02_gp157,HWB02_gp157,HWB02_000157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338159,HWB02_gp158,HWB02_gp158,HWB02_000158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338160,HWB02_gp159,HWB02_gp159,HWB02_000159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338161,HWB02_gp160,HWB02_gp160,HWB02_000160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338162,HWB02_gp161,HWB02_gp161,HWB02_000161,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201130,-
1871716,60338163,HWB02_gp162,HWB02_gp162,HWB02_000162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338164,HWB02_gp163,HWB02_gp163,HWB02_000163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338165,HWB02_gp164,HWB02_gp164,HWB02_000164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338166,HWB02_gp165,HWB02_gp165,HWB02_000165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338167,HWB02_gp166,HWB02_gp166,HWB02_000166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338168,HWB02_gp167,HWB02_gp167,HWB02_000167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338169,HWB02_gp168,HWB02_gp168,HWB02_000168,-,-,-,carbohydrate binding domain protein,protein-coding,-,-,-,carbohydrate binding domain protein,20201130,-
1871716,60338170,HWB02_gp169,HWB02_gp169,HWB02_000169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
1871716,60338171,HWB02_gp170,HWB02_gp170,HWB02_000170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201219,-
1871716,60338172,HWB02_gp171,HWB02_gp171,HWB02_000171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338173,HWB02_gp172,HWB02_gp172,HWB02_000172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
1871716,60338174,HWB02_gp173,HWB02_gp173,HWB02_000173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338175,HWB02_gp174,HWB02_gp174,HWB02_000174,-,-,-,metallopeptidase domain protein,protein-coding,-,-,-,metallopeptidase domain protein,20210605,-
1871716,60338176,HWB02_gp175,HWB02_gp175,HWB02_000175,-,-,-,AP2 domain-containing protein,protein-coding,-,-,-,AP2 domain-containing protein,20201130,-
1871716,60338177,HWB02_gp176,HWB02_gp176,HWB02_000176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338178,HWB02_gp177,HWB02_gp177,HWB02_000177,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20201130,-
1871716,60338179,HWB02_gp178,HWB02_gp178,HWB02_000178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338180,HWB02_gp179,HWB02_gp179,HWB02_000179,-,-,-,metal dependent phosphohydrolase,protein-coding,-,-,-,metal dependent phosphohydrolase,20210212,-
1871716,60338181,HWB02_gp180,HWB02_gp180,HWB02_000180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338182,HWB02_gp181,HWB02_gp181,HWB02_000181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338183,HWB02_gp182,HWB02_gp182,HWB02_000182,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210605,-
1871716,60338184,HWB02_gp183,HWB02_gp183,HWB02_000183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
1871716,60338185,HWB02_gp184,HWB02_gp184,HWB02_000184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
