#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034150,40090307,2,FDI59_gp002,YOSHI_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1034150,40090375,70,FDI59_gp070,YOSHI_70,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210406,-
1034150,40090376,71,FDI59_gp071,YOSHI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090377,72,FDI59_gp072,YOSHI_72,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210406,-
1034150,40090378,73,FDI59_gp073,YOSHI_73,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210406,-
1034150,40090379,74,FDI59_gp074,YOSHI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090380,75,FDI59_gp075,YOSHI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090381,76,FDI59_gp076,YOSHI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090382,77,FDI59_gp077,YOSHI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090383,78,FDI59_gp078,YOSHI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090384,79,FDI59_gp079,YOSHI_79,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210406,-
1034150,40090385,80,FDI59_gp080,YOSHI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090386,81,FDI59_gp081,YOSHI_81,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1034150,40090387,82,FDI59_gp082,YOSHI_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090388,83,FDI59_gp083,YOSHI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090389,84,FDI59_gp084,YOSHI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090390,85,FDI59_gp085,YOSHI_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034150,40090391,86,FDI59_gp086,YOSHI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090392,87,FDI59_gp087,YOSHI_87,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1034150,40090393,88,FDI59_gp088,YOSHI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090394,89,FDI59_gp089,YOSHI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090395,90,FDI59_gp090,YOSHI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090396,91,FDI59_gp091,YOSHI_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090397,92,FDI59_gp092,YOSHI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090398,93,FDI59_gp093,YOSHI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090399,94,FDI59_gp094,YOSHI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090400,95,FDI59_gp095,YOSHI_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090401,96,FDI59_gp096,YOSHI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090402,97,FDI59_gp097,YOSHI_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090403,98,FDI59_gp098,YOSHI_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090404,99,FDI59_gp099,YOSHI_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090405,100,FDI59_gp100,YOSHI_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090406,101,FDI59_gp101,YOSHI_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090407,102,FDI59_gp102,YOSHI_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090408,103,FDI59_gp103,YOSHI_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090409,104,FDI59_gp104,YOSHI_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090410,105,FDI59_gp105,YOSHI_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090411,106,FDI59_gp106,YOSHI_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090412,107,FDI59_gp107,YOSHI_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090413,108,FDI59_gp108,YOSHI_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090414,109,FDI59_gp109,YOSHI_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090415,110,FDI59_gp110,YOSHI_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090416,111,FDI59_gp111,YOSHI_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090417,112,FDI59_gp112,YOSHI_112,-,-,-,AlpA-like transcriptional regulator,protein-coding,-,-,-,AlpA-like transcriptional regulator,20201220,-
1034150,40090418,113,FDI59_gp113,YOSHI_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034150,40090419,114,FDI59_gp114,YOSHI_114,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
1034150,40090420,115,FDI59_gp115,YOSHI_115,-,-,-,galactosyl transferase,protein-coding,-,-,-,galactosyl transferase,20201220,-
1034150,40090421,116,FDI59_gp116,YOSHI_116,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
1034150,40090422,1,FDI59_gp001,YOSHI_1,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210417,-
1034150,40120069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Yoshi; Mycobacterium phage Yoshi).,other,-,-,-,-,20200513,-
