#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1719140,26522962,KB57_002,KB57_002,-,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1719140,26522981,KB57_025,KB57_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522982,KB57_026,KB57_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522983,KB57_027,KB57_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522984,KB57_028,KB57_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522985,KB57_029,KB57_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522986,KB57_030,KB57_030,-,-,-,-,ribosyl nicotinamide transporter,protein-coding,-,-,-,ribosyl nicotinamide transporter,20200910,-
1719140,26522987,KB57_031,KB57_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522988,KB57_032,KB57_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522989,KB57_033,KB57_033,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
1719140,26522990,KB57_034,KB57_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1719140,26522991,KB57_035,KB57_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522992,KB57_036,KB57_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522993,KB57_037,KB57_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1719140,26522994,KB57_038,KB57_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522995,KB57_039,KB57_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522996,KB57_040,KB57_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522997,KB57_041,KB57_041,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1719140,26522998,KB57_042,KB57_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26522999,KB57_043,KB57_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523000,KB57_044,KB57_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523001,KB57_045,KB57_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523002,KB57_046,KB57_046,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1719140,26523003,KB57_047,KB57_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523004,KB57_048,KB57_048,-,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20210212,-
1719140,26523005,KB57_049,KB57_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523006,KB57_050,KB57_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523007,KB57_051,KB57_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523008,KB57_052,KB57_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523009,KB57_053,KB57_053,-,-,-,-,putative colanic acid biosynthesis protein WcaM,protein-coding,-,-,-,putative colanic acid biosynthesis protein WcaM,20200910,-
1719140,26523010,KB57_054,KB57_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523011,KB57_055,KB57_055,-,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210212,-
1719140,26523012,KB57_056,KB57_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523013,KB57_057,KB57_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523014,KB57_058,KB57_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523015,KB57_059,KB57_059,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
1719140,26523016,KB57_060,KB57_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523017,KB57_061,KB57_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523018,KB57_062,KB57_062,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210212,-
1719140,26523019,KB57_063,KB57_063,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210212,-
1719140,26523020,KB57_064,KB57_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523021,KB57_065,KB57_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523022,KB57_066,KB57_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523023,KB57_067,KB57_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523024,KB57_068,KB57_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1719140,26523025,KB57_069,KB57_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523026,KB57_070,KB57_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523027,KB57_071,KB57_071,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1719140,26523028,KB57_072,KB57_072,-,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20200910,-
1719140,26523029,KB57_074,KB57_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523030,KB57_075,KB57_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523031,KB57_076,KB57_076,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1719140,26523032,KB57_t002,KB57_t002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523033,KB57_t003,KB57_t003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523034,KB57_t004,KB57_t004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523035,KB57_t005,KB57_t005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523036,KB57_t006,KB57_t006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523037,KB57_080,KB57_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523038,KB57_t007,KB57_t007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523039,KB57_t008,KB57_t008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523040,KB57_t009,KB57_t009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523041,KB57_t010,KB57_t010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523042,KB57_t011,KB57_t011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523043,KB57_081,KB57_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523044,KB57_t012,KB57_t012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523045,KB57_t013,KB57_t013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523046,KB57_t014,KB57_t014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523047,KB57_082,KB57_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523048,KB57_083,KB57_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523049,KB57_084,KB57_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523050,KB57_085,KB57_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523051,KB57_t015,KB57_t015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523052,KB57_086,KB57_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523053,KB57_t016,KB57_t016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1719140,26523054,KB57_087,KB57_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523055,KB57_088,KB57_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523056,KB57_089,KB57_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523057,KB57_090,KB57_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523058,KB57_092,KB57_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523059,KB57_093,KB57_093,-,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20200910,-
1719140,26523060,KB57_094,KB57_094,-,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20200910,-
1719140,26523061,KB57_095,KB57_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523062,KB57_096,KB57_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523063,KB57_097,KB57_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523064,KB57_098,KB57_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523065,KB57_099,KB57_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523066,KB57_100,KB57_100,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200910,-
1719140,26523067,KB57_101,KB57_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523068,KB57_102,KB57_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523069,KB57_103,KB57_103,-,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20200910,-
1719140,26523070,KB57_104,KB57_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523071,KB57_105,KB57_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1719140,26523072,KB57_106,KB57_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523073,KB57_107,KB57_107,-,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20210417,-
1719140,26523074,KB57_108,KB57_108,-,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20200910,-
1719140,26523075,KB57_109,KB57_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523076,KB57_110,KB57_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523077,KB57_111,KB57_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523078,KB57_112,KB57_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523079,KB57_113,KB57_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523080,KB57_114,KB57_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523081,KB57_115,KB57_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523082,KB57_116,KB57_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523083,KB57_117,KB57_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523084,KB57_118,KB57_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523085,KB57_119,KB57_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523086,KB57_120,KB57_120,-,-,-,-,putative NHN endonuclease,protein-coding,-,-,-,putative NHN endonuclease,20200910,-
1719140,26523087,KB57_121,KB57_121,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1719140,26523088,KB57_122,KB57_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523089,KB57_123,KB57_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523090,KB57_124,KB57_124,-,-,-,-,EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease,20210417,-
1719140,26523091,KB57_125,KB57_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523092,KB57_126,KB57_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1719140,26523093,KB57_127,KB57_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523094,KB57_128,KB57_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523095,KB57_129,KB57_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523096,KB57_130,KB57_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523097,KB57_131,KB57_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523098,KB57_132,KB57_132,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200910,-
1719140,26523099,KB57_133,KB57_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523100,KB57_134,KB57_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523101,KB57_135,KB57_135,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20200910,-
1719140,26523102,KB57_136,KB57_136,-,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20200910,-
1719140,26523103,KB57_137,KB57_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523104,KB57_138,KB57_138,-,-,-,-,putative glutaredoxin 1,protein-coding,-,-,-,putative glutaredoxin 1,20200910,-
1719140,26523105,KB57_139,KB57_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523106,KB57_140,KB57_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523107,KB57_141,KB57_141,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1719140,26523108,KB57_142,KB57_142,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210212,-
1719140,26523109,KB57_143,KB57_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523110,KB57_144,KB57_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523111,KB57_145,KB57_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523112,KB57_146,KB57_146,-,-,-,-,putative ATP-dependent protease subunit,protein-coding,-,-,-,putative ATP-dependent protease subunit,20210212,-
1719140,26523113,KB57_147,KB57_147,-,-,-,-,putative DNA methyltransferase,protein-coding,-,-,-,putative DNA methyltransferase,20200910,-
1719140,26523114,KB57_148,KB57_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523115,KB57_149,KB57_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523116,KB57_150,KB57_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523117,KB57_151,KB57_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523118,KB57_152,KB57_152,-,-,-,-,tRNA nucleotidyltransferase,protein-coding,-,-,-,tRNA nucleotidyltransferase,20200910,-
1719140,26523119,KB57_153,KB57_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523120,KB57_154,KB57_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523121,KB57_155,KB57_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523122,KB57_156,KB57_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523123,KB57_157,KB57_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523124,KB57_158,KB57_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523125,KB57_159,KB57_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523126,KB57_160,KB57_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523127,KB57_161,KB57_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523128,KB57_162,KB57_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523129,KB57_163,KB57_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523130,KB57_164,KB57_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523131,KB57_165,KB57_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523132,KB57_166,KB57_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523133,KB57_167,KB57_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523134,KB57_168,KB57_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523135,KB57_169,KB57_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523136,KB57_170,KB57_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523137,KB57_171,KB57_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523138,KB57_172,KB57_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523139,KB57_173,KB57_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523140,KB57_174,KB57_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523141,KB57_175,KB57_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523142,KB57_176,KB57_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523143,KB57_177,KB57_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523144,KB57_178,KB57_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523145,KB57_179,KB57_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523146,KB57_180,KB57_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523147,KB57_181,KB57_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523148,KB57_182,KB57_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523149,KB57_183,KB57_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523150,KB57_184,KB57_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523151,KB57_185,KB57_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523152,KB57_186,KB57_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523153,KB57_187,KB57_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523154,KB57_188,KB57_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523155,KB57_189,KB57_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523156,KB57_190,KB57_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523157,KB57_191,KB57_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523158,KB57_192,KB57_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523159,KB57_193,KB57_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523160,KB57_194,KB57_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523161,KB57_195,KB57_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523162,KB57_196,KB57_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523163,KB57_197,KB57_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523164,KB57_198,KB57_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523165,KB57_199,KB57_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523166,KB57_200,KB57_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523167,KB57_201,KB57_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523168,KB57_202,KB57_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523169,KB57_203,KB57_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523170,KB57_204,KB57_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523171,KB57_205,KB57_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523172,KB57_206,KB57_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523173,KB57_207,KB57_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523174,KB57_208,KB57_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523175,KB57_209,KB57_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523176,KB57_210,KB57_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523177,KB57_211,KB57_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523178,KB57_212,KB57_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1719140,26523179,KB57_213,KB57_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
