#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239385,54970376,HOQ70_gp010,HOQ70_gp010,SA5_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970377,HOQ70_gp009,HOQ70_gp009,SA5_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970378,HOQ70_gp008,HOQ70_gp008,SA5_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970379,HOQ70_gp007,HOQ70_gp007,SA5_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970380,HOQ70_gp006,HOQ70_gp006,SA5_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970381,HOQ70_gp005,HOQ70_gp005,SA5_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970382,HOQ70_gp003,HOQ70_gp003,SA5_027,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970383,HOQ70_gp002,HOQ70_gp002,SA5_028,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1239385,54970384,HOQ70_gp004,HOQ70_gp004,SA5_026,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210212,-
1239385,54970385,HOQ70_gp056,HOQ70_gp056,SA5_0187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970386,HOQ70_gp069,HOQ70_gp069,SA5_0175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970387,HOQ70_gp103,HOQ70_gp103,SA5_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970388,HOQ70_gp130,HOQ70_gp130,SA5_0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970389,HOQ70_gp193,HOQ70_gp193,SA5_046,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20200926,-
1239385,54970390,HOQ70_gp198,HOQ70_gp198,SA5_041,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200926,-
1239385,54970391,HOQ70_gp001,HOQ70_gp001,SA5_029,-,-,-,putative glycerophosphoryl diester phosphodiesterase,protein-coding,-,-,-,putative glycerophosphoryl diester phosphodiesterase,20210129,-
1239385,55087968,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus bacteriophage SA5).,other,-,-,-,-,20200518,-
