#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965478,56132587,H1N70_gp02,H1N70_gp02,LW31_002,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965478,56132599,H1N70_gp14,H1N70_gp14,LW31_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132600,H1N70_gp15,H1N70_gp15,LW31_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132601,H1N70_gp16,H1N70_gp16,LW31_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132602,H1N70_gp17,H1N70_gp17,LW31_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132603,H1N70_gp18,H1N70_gp18,LW31_018,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210515,-
1965478,56132604,H1N70_gp19,H1N70_gp19,LW31_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132605,H1N70_gp20,H1N70_gp20,LW31_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132606,H1N70_gp21,H1N70_gp21,LW31_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132607,H1N70_gp22,H1N70_gp22,LW31_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132608,H1N70_gp23,H1N70_gp23,LW31_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132609,H1N70_gp24,H1N70_gp24,LW31_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132610,H1N70_gp25,H1N70_gp25,LW31_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132611,H1N70_gp26,H1N70_gp26,LW31_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132612,H1N70_gp27,H1N70_gp27,LW31_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132613,H1N70_gp28,H1N70_gp28,LW31_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132614,H1N70_gp29,H1N70_gp29,LW31_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132615,H1N70_gp30,H1N70_gp30,LW31_030,-,-,-,cysteine synthase,protein-coding,-,-,-,cysteine synthase,20210515,-
1965478,56132616,H1N70_gp31,H1N70_gp31,LW31_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132617,H1N70_gp32,H1N70_gp32,LW31_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132618,H1N70_gp33,H1N70_gp33,LW31_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132619,H1N70_gp34,H1N70_gp34,LW31_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132620,H1N70_gp35,H1N70_gp35,LW31_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132621,H1N70_gp36,H1N70_gp36,LW31_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132622,H1N70_gp37,H1N70_gp37,LW31_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132623,H1N70_gp38,H1N70_gp38,LW31_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132624,H1N70_gp39,H1N70_gp39,LW31_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132625,H1N70_gp40,H1N70_gp40,LW31_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132626,H1N70_gp41,H1N70_gp41,LW31_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132627,H1N70_gp42,H1N70_gp42,LW31_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132628,H1N70_gp43,H1N70_gp43,LW31_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132629,H1N70_gp44,H1N70_gp44,LW31_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132630,H1N70_gp45,H1N70_gp45,LW31_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132631,H1N70_gp46,H1N70_gp46,LW31_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132632,H1N70_gp47,H1N70_gp47,LW31_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132633,H1N70_gp48,H1N70_gp48,LW31_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132634,H1N70_gp49,H1N70_gp49,LW31_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132635,H1N70_gp50,H1N70_gp50,LW31_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132636,H1N70_gp51,H1N70_gp51,LW31_051,-,-,-,ParB-like nuclease domain containing protein,protein-coding,-,-,-,ParB-like nuclease domain containing protein,20210515,-
1965478,56132637,H1N70_gp52,H1N70_gp52,LW31_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132638,H1N70_gp53,H1N70_gp53,LW31_053,-,-,-,type I secretion C-terminal target domain protein,protein-coding,-,-,-,type I secretion C-terminal target domain protein,20200724,-
1965478,56132639,H1N70_gp54,H1N70_gp54,LW31_054,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132640,H1N70_gp55,H1N70_gp55,LW31_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132641,H1N70_gp56,H1N70_gp56,LW31_056,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210515,-
1965478,56132642,H1N70_gp57,H1N70_gp57,LW31_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132643,H1N70_gp58,H1N70_gp58,LW31_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132644,H1N70_gp59,H1N70_gp59,LW31_059,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,ATP-dependent Clp protease proteolytic subunit,20210515,-
1965478,56132645,H1N70_gp60,H1N70_gp60,LW31_060,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132646,H1N70_gp61,H1N70_gp61,LW31_061,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132647,H1N70_gp62,H1N70_gp62,LW31_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132648,H1N70_gp63,H1N70_gp63,LW31_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132649,H1N70_gp64,H1N70_gp64,LW31_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132650,H1N70_gp65,H1N70_gp65,LW31_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132651,H1N70_gp66,H1N70_gp66,LW31_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132652,H1N70_gp67,H1N70_gp67,LW31_067,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132653,H1N70_gp68,H1N70_gp68,LW31_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132654,H1N70_gp69,H1N70_gp69,LW31_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132655,H1N70_gp70,H1N70_gp70,LW31_070,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200724,-
1965478,56132656,H1N70_gp71,H1N70_gp71,LW31_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132657,H1N70_gp72,H1N70_gp72,LW31_072,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200724,-
1965478,56132658,H1N70_gp73,H1N70_gp73,LW31_073,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210515,-
1965478,56132659,H1N70_gp74,H1N70_gp74,LW31_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965478,56132660,H1N70_gp75,H1N70_gp75,LW31_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132661,H1N70_gp76,H1N70_gp76,LW31_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132662,H1N70_gp77,H1N70_gp77,LW31_077,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132663,H1N70_gp78,H1N70_gp78,LW31_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132664,H1N70_gp79,H1N70_gp79,LW31_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132665,H1N70_gp80,H1N70_gp80,LW31_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132666,H1N70_gp81,H1N70_gp81,LW31_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56132667,H1N70_gp82,H1N70_gp82,LW31_082,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
1965478,56132668,H1N70_gp83,H1N70_gp83,LW31_083,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132669,H1N70_gp84,H1N70_gp84,LW31_084,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132670,H1N70_gp85,H1N70_gp85,LW31_085,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965478,56132671,H1N70_gt01,H1N70_gt01,LW31_TRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965478,56132672,H1N70_gt02,H1N70_gt02,LW31_TRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965478,56132673,H1N70_gt03,H1N70_gt03,LW31_TRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965478,56132674,H1N70_gp01,H1N70_gp01,LW31_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965478,56166620,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
