#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099336,55607731,HWB56_gp02,HWB56_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2099336,55607774,HWB56_gp45,HWB56_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607775,HWB56_gp46,HWB56_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607776,HWB56_gp47,HWB56_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607777,HWB56_gp48,HWB56_gp48,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2099336,55607778,HWB56_gp49,HWB56_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607779,HWB56_gp50,HWB56_gp50,-,-,-,-,Cro-repressor,protein-coding,-,-,-,Cro-repressor,20210424,-
2099336,55607780,HWB56_gp51,HWB56_gp51,-,-,-,-,immunity repressor protein,protein-coding,-,-,-,immunity repressor protein,20210424,-
2099336,55607781,HWB56_gp52,HWB56_gp52,-,-,-,-,putative Zn peptidase,protein-coding,-,-,-,putative Zn peptidase,20210424,-
2099336,55607782,HWB56_gp53,HWB56_gp53,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20210424,-
2099336,55607783,HWB56_gp54,HWB56_gp54,-,-,-,-,putative DNase/RNase endonuclease,protein-coding,-,-,-,putative DNase/RNase endonuclease,20210424,-
2099336,55607784,HWB56_gp55,HWB56_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607785,HWB56_gp56,HWB56_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607786,HWB56_gp57,HWB56_gp57,-,-,-,-,site-specific recombinase for integration and excision,protein-coding,-,-,-,site-specific recombinase for integration and excision,20210424,-
2099336,55607787,HWB56_gp58,HWB56_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099336,55607788,HWB56_gp59,HWB56_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607789,HWB56_gp60,HWB56_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099336,55607790,HWB56_gp61,HWB56_gp61,-,-,-,-,cell wall-associated hydrolase,protein-coding,-,-,-,cell wall-associated hydrolase,20210424,-
2099336,55607791,HWB56_gp01,HWB56_gp01,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20210424,-
2099336,55635773,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
