#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2736192,56133635,H1N84_gp02,H1N84_gp02,SD1_02,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20210522,-
2736192,56133676,H1N84_gp43,H1N84_gp43,SD1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133677,H1N84_gp44,H1N84_gp44,SD1_44,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2736192,56133678,H1N84_gp45,H1N84_gp45,SD1_45,-,-,-,helicase,protein-coding,-,-,-,helicase,20210522,-
2736192,56133679,H1N84_gp46,H1N84_gp46,SD1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133680,H1N84_gp47,H1N84_gp47,SD1_47,-,-,-,putative cytosine DNA methylase,protein-coding,-,-,-,putative cytosine DNA methylase,20200724,-
2736192,56133681,H1N84_gp48,H1N84_gp48,SD1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133682,H1N84_gp49,H1N84_gp49,SD1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133683,H1N84_gp50,H1N84_gp50,SD1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133684,H1N84_gp51,H1N84_gp51,SD1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133685,H1N84_gp52,H1N84_gp52,SD1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133686,H1N84_gp53,H1N84_gp53,SD1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133687,H1N84_gp54,H1N84_gp54,SD1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133688,H1N84_gp55,H1N84_gp55,SD1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133689,H1N84_gp56,H1N84_gp56,SD1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133690,H1N84_gp57,H1N84_gp57,SD1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133691,H1N84_gp58,H1N84_gp58,SD1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133692,H1N84_gp59,H1N84_gp59,SD1_60,-,-,-,putative polynucleotide 5' kinase/3' phosphatase,protein-coding,-,-,-,putative polynucleotide 5' kinase/3' phosphatase,20210522,-
2736192,56133693,H1N84_gp60,H1N84_gp60,SD1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133694,H1N84_gp61,H1N84_gp61,SD1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133695,H1N84_gp62,H1N84_gp62,SD1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133696,H1N84_gp63,H1N84_gp63,SD1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133697,H1N84_gp64,H1N84_gp64,SD1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133698,H1N84_gp65,H1N84_gp65,SD1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133699,H1N84_gp66,H1N84_gp66,SD1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133700,H1N84_gp67,H1N84_gp67,SD1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133701,H1N84_gp68,H1N84_gp68,SD1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133702,H1N84_gp69,H1N84_gp69,SD1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133703,H1N84_gp70,H1N84_gp70,SD1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133704,H1N84_gp71,H1N84_gp71,SD1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133705,H1N84_gp72,H1N84_gp72,SD1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133706,H1N84_gp73,H1N84_gp73,SD1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133707,H1N84_gp74,H1N84_gp74,SD1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2736192,56133708,H1N84_gp75,H1N84_gp75,SD1_76,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200724,-
2736192,56133709,H1N84_gp76,H1N84_gp76,SD1_77,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2736192,56133710,H1N84_gp01,H1N84_gp01,SD1_01,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210522,-
2736192,56166717,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
