#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
546807,6921190,232,SCOTTMCG_232,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
546807,6921276,62,SCOTTMCG_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921277,63,SCOTTMCG_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921278,64,SCOTTMCG_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921279,65,SCOTTMCG_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921280,66,SCOTTMCG_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921281,67,SCOTTMCG_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921282,68,SCOTTMCG_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921283,69,SCOTTMCG_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921284,70,SCOTTMCG_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921285,71,SCOTTMCG_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921286,72,SCOTTMCG_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921287,73,SCOTTMCG_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921288,74,SCOTTMCG_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921289,75,SCOTTMCG_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921290,76,SCOTTMCG_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921291,77,SCOTTMCG_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921292,78,SCOTTMCG_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921293,79,SCOTTMCG_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921294,80,SCOTTMCG_80,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921295,81,SCOTTMCG_81,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921296,82,SCOTTMCG_82,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921297,83,SCOTTMCG_83,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921298,84,SCOTTMCG_84,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921299,85,SCOTTMCG_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921300,86,SCOTTMCG_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921301,87,SCOTTMCG_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921302,88,SCOTTMCG_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921303,89,SCOTTMCG_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921304,90,SCOTTMCG_90,-,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210424,-
546807,6921305,91,SCOTTMCG_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921306,92,SCOTTMCG_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921307,93,SCOTTMCG_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
546807,6921308,94,SCOTTMCG_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921309,95,SCOTTMCG_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921310,96,SCOTTMCG_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921311,97,SCOTTMCG_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921312,98,SCOTTMCG_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921313,99,SCOTTMCG_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921314,100,SCOTTMCG_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921315,101,SCOTTMCG_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921316,102,SCOTTMCG_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921317,103,SCOTTMCG_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921318,104,SCOTTMCG_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921319,105,SCOTTMCG_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
546807,6921320,106,SCOTTMCG_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921321,107,SCOTTMCG_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921322,108,SCOTTMCG_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921323,109,SCOTTMCG_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921324,110,SCOTTMCG_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921325,111,SCOTTMCG_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921326,112,SCOTTMCG_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921327,113,SCOTTMCG_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921328,114,SCOTTMCG_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921329,115,SCOTTMCG_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921330,116,SCOTTMCG_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921331,117,SCOTTMCG_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921332,118,SCOTTMCG_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921333,119,SCOTTMCG_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921334,120,SCOTTMCG_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921335,121,SCOTTMCG_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921336,122,SCOTTMCG_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921337,123,SCOTTMCG_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921338,124,SCOTTMCG_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921339,125,SCOTTMCG_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921340,127,SCOTTMCG_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921341,128,SCOTTMCG_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921342,126,SCOTTMCG_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921343,129,SCOTTMCG_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921344,130,SCOTTMCG_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921345,131,SCOTTMCG_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921346,132,SCOTTMCG_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
546807,6921347,133,SCOTTMCG_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921348,134,SCOTTMCG_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921349,135,SCOTTMCG_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921350,136,SCOTTMCG_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
546807,6921351,137,SCOTTMCG_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
546807,6921352,138,SCOTTMCG_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921353,139,SCOTTMCG_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921354,140,SCOTTMCG_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921355,141,SCOTTMCG_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921356,142,SCOTTMCG_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921357,143,SCOTTMCG_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921358,144,SCOTTMCG_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921359,145,SCOTTMCG_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921360,146,SCOTTMCG_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921361,147,SCOTTMCG_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921362,148,SCOTTMCG_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921363,149,SCOTTMCG_149,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921364,150,SCOTTMCG_150,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921365,151,SCOTTMCG_151,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921366,152,SCOTTMCG_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921367,153,SCOTTMCG_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
546807,6921368,154,SCOTTMCG_154,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921369,155,SCOTTMCG_155,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921370,156,SCOTTMCG_156,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921371,157,SCOTTMCG_157,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921372,158,SCOTTMCG_158,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921373,159,SCOTTMCG_159,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921374,160,SCOTTMCG_160,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921375,161,SCOTTMCG_161,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921376,162,SCOTTMCG_162,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921377,163,SCOTTMCG_163,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921378,164,SCOTTMCG_164,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921379,165,SCOTTMCG_165,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921380,166,SCOTTMCG_166,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921381,167,SCOTTMCG_167,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921382,168,SCOTTMCG_168,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210212,-
546807,6921383,169,SCOTTMCG_169,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921384,170,SCOTTMCG_170,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921385,171,SCOTTMCG_171,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921386,172,SCOTTMCG_172,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921387,173,SCOTTMCG_173,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921388,174,SCOTTMCG_174,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921389,175,SCOTTMCG_175,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921390,176,SCOTTMCG_176,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921391,177,SCOTTMCG_177,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
546807,6921392,178,SCOTTMCG_178,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921393,179,SCOTTMCG_179,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921394,180,SCOTTMCG_180,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
546807,6921395,181,SCOTTMCG_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921396,182,SCOTTMCG_182,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
546807,6921397,183,SCOTTMCG_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921398,184,SCOTTMCG_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921399,185,SCOTTMCG_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921400,186,SCOTTMCG_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921401,187,SCOTTMCG_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921402,188,SCOTTMCG_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921403,189,SCOTTMCG_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921404,190,SCOTTMCG_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921405,191,SCOTTMCG_191,-,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20200909,-
546807,6921406,192,SCOTTMCG_192,-,-,-,-,aminotransferase,protein-coding,-,-,-,aminotransferase,20210417,-
546807,6921407,193,SCOTTMCG_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921408,194,SCOTTMCG_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921409,195,SCOTTMCG_195,-,-,-,-,putative DnaC,protein-coding,-,-,-,putative DnaC,20210417,-
546807,6921410,196,SCOTTMCG_196,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
546807,6921411,197,SCOTTMCG_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921412,198,SCOTTMCG_198,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
546807,6921413,199,SCOTTMCG_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921414,200,SCOTTMCG_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
546807,6921415,201,SCOTTMCG_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
