#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4909,32084900,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene ('Candida glycerinogenes'; Candida acidothermophilum; Candida krusei; Issatchenkia orientalis; Saccharomyces krusei).,other,-,-,-,-,20210109,-
4909,40381121,C5L36_0A00250,C5L36_0A00250,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381122,C5L36_0A00260,C5L36_0A00260,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381123,C5L36_0A00270,C5L36_0A00270,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381124,C5L36_0A00280,C5L36_0A00280,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381125,C5L36_0A00290,C5L36_0A00290,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381126,C5L36_0A00300,C5L36_0A00300,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381127,C5L36_0A00310,C5L36_0A00310,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381128,C5L36_0A00315,C5L36_0A00315,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381129,C5L36_0A00317,C5L36_0A00317,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381130,C5L36_0A00320,C5L36_0A00320,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381131,C5L36_0A00330,C5L36_0A00330,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381132,C5L36_0A00340,C5L36_0A00340,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381133,C5L36_0A00350,C5L36_0A00350,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381134,C5L36_0A00360,C5L36_0A00360,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381135,C5L36_0A00370,C5L36_0A00370,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381136,C5L36_0A00380,C5L36_0A00380,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381137,C5L36_0A00390,C5L36_0A00390,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381138,C5L36_0A00400,C5L36_0A00400,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381139,C5L36_0A00410,C5L36_0A00410,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381140,C5L36_0A00420,C5L36_0A00420,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381141,C5L36_0A00430,C5L36_0A00430,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381142,C5L36_0A00440,C5L36_0A00440,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381143,C5L36_0A00450,C5L36_0A00450,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381144,C5L36_0A00460,C5L36_0A00460,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381145,C5L36_0A00470,C5L36_0A00470,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381146,C5L36_0A00480,C5L36_0A00480,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381147,C5L36_0A00490,C5L36_0A00490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381148,C5L36_0A00500,C5L36_0A00500,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381149,C5L36_0A00510,C5L36_0A00510,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381150,C5L36_0A00520,C5L36_0A00520,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381151,C5L36_0A00530,C5L36_0A00530,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381152,C5L36_0A00540,C5L36_0A00540,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381153,C5L36_0A00550,C5L36_0A00550,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381154,C5L36_0A00560,C5L36_0A00560,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381155,C5L36_0A00570,C5L36_0A00570,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381156,C5L36_0A00580,C5L36_0A00580,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381157,C5L36_0A00590,C5L36_0A00590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381158,C5L36_0A00600,C5L36_0A00600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381159,C5L36_0A00610,C5L36_0A00610,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381160,C5L36_0A00620,C5L36_0A00620,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381161,C5L36_0A00630,C5L36_0A00630,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381162,C5L36_0A00640,C5L36_0A00640,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381163,C5L36_0A00650,C5L36_0A00650,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381164,C5L36_0A00660,C5L36_0A00660,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381165,C5L36_0A00670,C5L36_0A00670,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381166,C5L36_0A00680,C5L36_0A00680,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381167,C5L36_0A00690,C5L36_0A00690,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381168,C5L36_0A00700,C5L36_0A00700,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381169,C5L36_0A00710,C5L36_0A00710,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381170,C5L36_0A00720,C5L36_0A00720,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381171,C5L36_0A00730,C5L36_0A00730,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381172,C5L36_0A00740,C5L36_0A00740,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381173,C5L36_0A00745,C5L36_0A00745,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381174,C5L36_0A00747,C5L36_0A00747,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381175,C5L36_0A00750,C5L36_0A00750,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381176,C5L36_0A00760,C5L36_0A00760,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381177,C5L36_0A00770,C5L36_0A00770,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381178,C5L36_0A00775,C5L36_0A00775,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381179,C5L36_0A00780,C5L36_0A00780,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381180,C5L36_0A00790,C5L36_0A00790,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381181,C5L36_0A00800,C5L36_0A00800,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381182,C5L36_0A00810,C5L36_0A00810,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381183,C5L36_0A00820,C5L36_0A00820,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381184,C5L36_0A00825,C5L36_0A00825,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381185,C5L36_0A00830,C5L36_0A00830,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381186,C5L36_0A00840,C5L36_0A00840,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381187,C5L36_0A00850,C5L36_0A00850,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381188,C5L36_0A00860,C5L36_0A00860,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381189,C5L36_0A00870,C5L36_0A00870,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381190,C5L36_0A00880,C5L36_0A00880,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381191,C5L36_0A00890,C5L36_0A00890,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381192,C5L36_0A00900,C5L36_0A00900,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381193,C5L36_0A00910,C5L36_0A00910,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381194,C5L36_0A00920,C5L36_0A00920,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381195,C5L36_0A00930,C5L36_0A00930,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381196,C5L36_0A00940,C5L36_0A00940,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381197,C5L36_0A00950,C5L36_0A00950,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381198,C5L36_0A00960,C5L36_0A00960,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381199,C5L36_0A00970,C5L36_0A00970,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381200,C5L36_0A00980,C5L36_0A00980,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381201,C5L36_0A00990,C5L36_0A00990,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381202,C5L36_0A01000,C5L36_0A01000,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381203,C5L36_0A01010,C5L36_0A01010,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381204,C5L36_0A01020,C5L36_0A01020,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381205,C5L36_0A01030,C5L36_0A01030,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381206,C5L36_0A01040,C5L36_0A01040,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381207,C5L36_0A01050,C5L36_0A01050,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381208,C5L36_0A01060,C5L36_0A01060,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381209,C5L36_0A01070,C5L36_0A01070,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381210,C5L36_0A01080,C5L36_0A01080,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381211,C5L36_0A01090,C5L36_0A01090,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381212,C5L36_0A01100,C5L36_0A01100,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381213,C5L36_0A01110,C5L36_0A01110,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381214,C5L36_0A01120,C5L36_0A01120,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381215,C5L36_0A01130,C5L36_0A01130,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381216,C5L36_0A01140,C5L36_0A01140,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381217,C5L36_0A01145,C5L36_0A01145,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381218,C5L36_0A01147,C5L36_0A01147,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381219,C5L36_0A01150,C5L36_0A01150,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381220,C5L36_0A01160,C5L36_0A01160,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381221,C5L36_0A01170,C5L36_0A01170,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381222,C5L36_0A01180,C5L36_0A01180,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381223,C5L36_0A01190,C5L36_0A01190,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381224,C5L36_0A01200,C5L36_0A01200,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381225,C5L36_0A01210,C5L36_0A01210,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381226,C5L36_0A01220,C5L36_0A01220,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381227,C5L36_0A01230,C5L36_0A01230,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381228,C5L36_0A01240,C5L36_0A01240,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381229,C5L36_0A01250,C5L36_0A01250,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381230,C5L36_0A01260,C5L36_0A01260,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381231,C5L36_0A01270,C5L36_0A01270,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381232,C5L36_0A01280,C5L36_0A01280,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381233,C5L36_0A01290,C5L36_0A01290,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381234,C5L36_0A01300,C5L36_0A01300,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381235,C5L36_0A01310,C5L36_0A01310,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381236,C5L36_0A01320,C5L36_0A01320,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381237,C5L36_0A01330,C5L36_0A01330,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
4909,40381238,C5L36_0A01340,C5L36_0A01340,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381239,C5L36_0A01350,C5L36_0A01350,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381240,C5L36_0A01360,C5L36_0A01360,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381241,C5L36_0A01370,C5L36_0A01370,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381242,C5L36_0A01380,C5L36_0A01380,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381243,C5L36_0A01390,C5L36_0A01390,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381244,C5L36_0A01400,C5L36_0A01400,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381245,C5L36_0A01410,C5L36_0A01410,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381246,C5L36_0A01420,C5L36_0A01420,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381247,C5L36_0A01430,C5L36_0A01430,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381248,C5L36_0A01440,C5L36_0A01440,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381249,C5L36_0A01450,C5L36_0A01450,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381250,C5L36_0A01460,C5L36_0A01460,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381251,C5L36_0A01470,C5L36_0A01470,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381252,C5L36_0A01480,C5L36_0A01480,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381253,C5L36_0A01490,C5L36_0A01490,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381254,C5L36_0A01500,C5L36_0A01500,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381255,C5L36_0A01510,C5L36_0A01510,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381256,C5L36_0A01520,C5L36_0A01520,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381257,C5L36_0A01530,C5L36_0A01530,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381258,C5L36_0A01540,C5L36_0A01540,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381259,C5L36_0A01550,C5L36_0A01550,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381260,C5L36_0A01560,C5L36_0A01560,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381261,C5L36_0A01570,C5L36_0A01570,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381262,C5L36_0A01580,C5L36_0A01580,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381263,C5L36_0A01590,C5L36_0A01590,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381264,C5L36_0A01600,C5L36_0A01600,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381265,C5L36_0A01610,C5L36_0A01610,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381266,C5L36_0A01620,C5L36_0A01620,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381267,C5L36_0A01630,C5L36_0A01630,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381268,C5L36_0A01640,C5L36_0A01640,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381269,C5L36_0A01650,C5L36_0A01650,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381270,C5L36_0A01660,C5L36_0A01660,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381271,C5L36_0A01670,C5L36_0A01670,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381272,C5L36_0A01680,C5L36_0A01680,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381273,C5L36_0A01690,C5L36_0A01690,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381274,C5L36_0A01700,C5L36_0A01700,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381275,C5L36_0A01710,C5L36_0A01710,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381276,C5L36_0A01720,C5L36_0A01720,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381277,C5L36_0A01730,C5L36_0A01730,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381278,C5L36_0A01740,C5L36_0A01740,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381279,C5L36_0A01750,C5L36_0A01750,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381280,C5L36_0A01770,C5L36_0A01770,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381281,C5L36_0A01780,C5L36_0A01780,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381282,C5L36_0A01790,C5L36_0A01790,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381283,C5L36_0A01800,C5L36_0A01800,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381284,C5L36_0A01810,C5L36_0A01810,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381285,C5L36_0A01820,C5L36_0A01820,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381286,C5L36_0A01830,C5L36_0A01830,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381287,C5L36_0A01840,C5L36_0A01840,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
4909,40381288,C5L36_0A01850,C5L36_0A01850,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381289,C5L36_0A01860,C5L36_0A01860,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381290,C5L36_0A01870,C5L36_0A01870,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381291,C5L36_0A01880,C5L36_0A01880,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381292,C5L36_0A01890,C5L36_0A01890,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
4909,40381293,C5L36_0A01900,C5L36_0A01900,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381294,C5L36_0A01905,C5L36_0A01905,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381295,C5L36_0A01910,C5L36_0A01910,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381296,C5L36_0A01920,C5L36_0A01920,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381297,C5L36_0A01925,C5L36_0A01925,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190616,-
4909,40381298,C5L36_0A01930,C5L36_0A01930,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381299,C5L36_0A01940,C5L36_0A01940,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381300,C5L36_0A01950,C5L36_0A01950,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
4909,40381301,C5L36_0A01960,C5L36_0A01960,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
4909,40381302,C5L36_0A01970,C5L36_0A01970,-,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
