#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965482,56137519,H1Z34_gp002,H1Z34_gp002,LW81_002,-,-,-,RecD/TraA family helicase,protein-coding,-,-,-,RecD/TraA family helicase,20210515,-
1965482,56137591,H1Z34_gp074,H1Z34_gp074,LW81_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137592,H1Z34_gp075,H1Z34_gp075,LW81_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137593,H1Z34_gp076,H1Z34_gp076,LW81_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137594,H1Z34_gp077,H1Z34_gp077,LW81_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137595,H1Z34_gp078,H1Z34_gp078,LW81_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137596,H1Z34_gp079,H1Z34_gp079,LW81_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137597,H1Z34_gp080,H1Z34_gp080,LW81_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137598,H1Z34_gp081,H1Z34_gp081,LW81_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137599,H1Z34_gp082,H1Z34_gp082,LW81_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137600,H1Z34_gp083,H1Z34_gp083,LW81_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137601,H1Z34_gp084,H1Z34_gp084,LW81_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137602,H1Z34_gp085,H1Z34_gp085,LW81_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137603,H1Z34_gp086,H1Z34_gp086,LW81_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137604,H1Z34_gp087,H1Z34_gp087,LW81_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137605,H1Z34_gp088,H1Z34_gp088,LW81_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137606,H1Z34_gp089,H1Z34_gp089,LW81_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137607,H1Z34_gp090,H1Z34_gp090,LW81_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137608,H1Z34_gp091,H1Z34_gp091,LW81_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137609,H1Z34_gp092,H1Z34_gp092,LW81_092,-,-,-,AAA superfamily ATPase,protein-coding,-,-,-,AAA superfamily ATPase,20210515,-
1965482,56137610,H1Z34_gt001,H1Z34_gt001,LW81_tRNA5,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965482,56137611,H1Z34_gp177,H1Z34_gp177,LW81_094,-,-,-,transposase,protein-coding,-,-,-,transposase,20210515,-
1965482,56137612,H1Z34_gp176,H1Z34_gp176,LW81_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137613,H1Z34_gp175,H1Z34_gp175,LW81_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137614,H1Z34_gp174,H1Z34_gp174,LW81_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137615,H1Z34_gt002,H1Z34_gt002,LW81_tRNA4,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965482,56137616,H1Z34_gt004,H1Z34_gt004,LW81_tRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965482,56137617,H1Z34_gp171,H1Z34_gp171,LW81_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137618,H1Z34_gp170,H1Z34_gp170,LW81_101,-,-,-,subunit B of ATP-hydrolyzing DNA topoisomerase,protein-coding,-,-,-,subunit B of ATP-hydrolyzing DNA topoisomerase,20210515,-
1965482,56137619,H1Z34_gp169,H1Z34_gp169,LW81_102,-,-,-,subunit B of ATP-hydrolyzing DNA topoisomerase,protein-coding,-,-,-,subunit B of ATP-hydrolyzing DNA topoisomerase,20210515,-
1965482,56137620,H1Z34_gp168,H1Z34_gp168,LW81_103,-,-,-,DNA gyrase/topoisomerase IV subunit A,protein-coding,-,-,-,DNA gyrase/topoisomerase IV subunit A,20210515,-
1965482,56137621,H1Z34_gp167,H1Z34_gp167,LW81_104,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210515,-
1965482,56137622,H1Z34_gp166,H1Z34_gp166,LW81_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137623,H1Z34_gp165,H1Z34_gp165,LW81_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137624,H1Z34_gp164,H1Z34_gp164,LW81_107,-,-,-,nucleoside 2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside 2-deoxyribosyltransferase,20210515,-
1965482,56137625,H1Z34_gp163,H1Z34_gp163,LW81_108,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20210515,-
1965482,56137626,H1Z34_gp162,H1Z34_gp162,LW81_109,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20210515,-
1965482,56137627,H1Z34_gp161,H1Z34_gp161,LW81_110,-,-,-,ribonucleoside triphosphate reductase,protein-coding,-,-,-,ribonucleoside triphosphate reductase,20210515,-
1965482,56137628,H1Z34_gp160,H1Z34_gp160,LW81_111,-,-,-,anaerobic ribonucleoside-triphosphate reductase-activating protein,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase-activating protein,20210515,-
1965482,56137629,H1Z34_gp159,H1Z34_gp159,LW81_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137630,H1Z34_gp158,H1Z34_gp158,LW81_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137631,H1Z34_gp157,H1Z34_gp157,LW81_114,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210515,-
1965482,56137632,H1Z34_gp156,H1Z34_gp156,LW81_115,-,-,-,ribonucleotide reduction protein,protein-coding,-,-,-,ribonucleotide reduction protein,20210428,-
1965482,56137633,H1Z34_gp155,H1Z34_gp155,LW81_116,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20210515,-
1965482,56137634,H1Z34_gp154,H1Z34_gp154,LW81_117,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20210515,-
1965482,56137635,H1Z34_gp153,H1Z34_gp153,LW81_118,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20210515,-
1965482,56137636,H1Z34_gp152,H1Z34_gp152,LW81_119,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20210515,-
1965482,56137637,H1Z34_gp151,H1Z34_gp151,LW81_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137638,H1Z34_gp150,H1Z34_gp150,LW81_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137639,H1Z34_gp149,H1Z34_gp149,LW81_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137640,H1Z34_gp148,H1Z34_gp148,LW81_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137641,H1Z34_gp147,H1Z34_gp147,LW81_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137642,H1Z34_gp146,H1Z34_gp146,LW81_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137643,H1Z34_gp145,H1Z34_gp145,LW81_126,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210424,-
1965482,56137644,H1Z34_gp144,H1Z34_gp144,LW81_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137645,H1Z34_gp143,H1Z34_gp143,LW81_128,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20210424,-
1965482,56137646,H1Z34_gp142,H1Z34_gp142,LW81_129,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20210515,-
1965482,56137647,H1Z34_gp141,H1Z34_gp141,LW81_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137648,H1Z34_gp140,H1Z34_gp140,LW81_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137649,H1Z34_gp139,H1Z34_gp139,LW81_132,-,-,-,ribonucleotide diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase alpha subunit,20210515,-
1965482,56137650,H1Z34_gp138,H1Z34_gp138,LW81_133,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20210515,-
1965482,56137651,H1Z34_gp137,H1Z34_gp137,LW81_134,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210515,-
1965482,56137652,H1Z34_gp136,H1Z34_gp136,LW81_135,-,-,-,subtilase family protein,protein-coding,-,-,-,subtilase family protein,20210515,-
1965482,56137653,H1Z34_gp135,H1Z34_gp135,LW81_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137654,H1Z34_gp134,H1Z34_gp134,LW81_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137655,H1Z34_gp133,H1Z34_gp133,LW81_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137656,H1Z34_gp132,H1Z34_gp132,LW81_139,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210515,-
1965482,56137657,H1Z34_gp131,H1Z34_gp131,LW81_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137658,H1Z34_gp130,H1Z34_gp130,LW81_141,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20200724,-
1965482,56137659,H1Z34_gp129,H1Z34_gp129,LW81_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137660,H1Z34_gp128,H1Z34_gp128,LW81_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137661,H1Z34_gp127,H1Z34_gp127,LW81_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137662,H1Z34_gp126,H1Z34_gp126,LW81_145,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20210515,-
1965482,56137663,H1Z34_gp125,H1Z34_gp125,LW81_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137664,H1Z34_gp124,H1Z34_gp124,LW81_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137665,H1Z34_gp123,H1Z34_gp123,LW81_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137666,H1Z34_gp122,H1Z34_gp122,LW81_149,-,-,-,saf-pilin pilus formation protein,protein-coding,-,-,-,saf-pilin pilus formation protein,20210515,-
1965482,56137667,H1Z34_gp121,H1Z34_gp121,LW81_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137668,H1Z34_gp120,H1Z34_gp120,LW81_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137669,H1Z34_gp119,H1Z34_gp119,LW81_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137670,H1Z34_gp118,H1Z34_gp118,LW81_153,-,-,-,zinc-ribbon-containing protein,protein-coding,-,-,-,zinc-ribbon-containing protein,20200724,-
1965482,56137671,H1Z34_gp117,H1Z34_gp117,LW81_154,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1965482,56137672,H1Z34_gp116,H1Z34_gp116,LW81_155,-,-,-,integrase family protein,protein-coding,-,-,-,integrase family protein,20210515,-
1965482,56137673,H1Z34_gp115,H1Z34_gp115,LW81_156,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965482,56137674,H1Z34_gp114,H1Z34_gp114,LW81_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137675,H1Z34_gp113,H1Z34_gp113,LW81_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1965482,56137676,H1Z34_gp112,H1Z34_gp112,LW81_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137677,H1Z34_gp111,H1Z34_gp111,LW81_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137678,H1Z34_gp110,H1Z34_gp110,LW81_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137679,H1Z34_gp109,H1Z34_gp109,LW81_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137680,H1Z34_gp108,H1Z34_gp108,LW81_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137681,H1Z34_gp107,H1Z34_gp107,LW81_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137682,H1Z34_gp106,H1Z34_gp106,LW81_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137683,H1Z34_gp105,H1Z34_gp105,LW81_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137684,H1Z34_gp104,H1Z34_gp104,LW81_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137685,H1Z34_gp103,H1Z34_gp103,LW81_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137686,H1Z34_gp102,H1Z34_gp102,LW81_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965482,56137687,H1Z34_gp101,H1Z34_gp101,LW81_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137688,H1Z34_gp100,H1Z34_gp100,LW81_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137689,H1Z34_gp099,H1Z34_gp099,LW81_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137690,H1Z34_gp098,H1Z34_gp098,LW81_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137691,H1Z34_gp097,H1Z34_gp097,LW81_174,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210515,-
1965482,56137692,H1Z34_gp096,H1Z34_gp096,LW81_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137693,H1Z34_gp095,H1Z34_gp095,LW81_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137694,H1Z34_gp094,H1Z34_gp094,LW81_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137695,H1Z34_gp093,H1Z34_gp093,LW81_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965482,56137696,H1Z34_gp178,H1Z34_gp178,LW81_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
