#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582150,26646921,PHICD111_20002,PHICD111_20002,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1582150,26646966,PHICD111_20048,PHICD111_20048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646967,PHICD111_20049,PHICD111_20049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646968,PHICD111_20050,PHICD111_20050,-,-,-,-,sigma-70 family RNA polymerase sigma factor,protein-coding,-,-,-,sigma-70 family RNA polymerase sigma factor,20201221,-
1582150,26646969,PHICD111_20051,PHICD111_20051,-,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201221,-
1582150,26646970,PHICD111_20052,PHICD111_20052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646971,PHICD111_20053,PHICD111_20053,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20201221,-
1582150,26646972,PHICD111_20033,PHICD111_20033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646973,PHICD111_28032,PHICD111_28032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646974,PHICD111_20047,PHICD111_20047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582150,26646975,PHICD111_20001,PHICD111_20001,-,-,-,-,Terminase small subunit,protein-coding,-,-,-,Terminase small subunit,20201026,-
1582150,26683509,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
