#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
399742,5130247,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20170504,-
399742,32441043,ENT638_RS09850,ENT638_RS09850,Ent638_1902,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441045,ENT638_RS09775,ENT638_RS09775,Ent638_1886,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441063,ENT638_RS09860,ENT638_RS09860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441070,ENT638_RS11225,ENT638_RS11225,Ent638_2176,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32441074,ENT638_RS13205,ENT638_RS13205,Ent638_R0053,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441081,ENT638_RS01855,ENT638_RS01855,Ent638_R0014,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441088,ENT638_RS14925,ENT638_RS14925,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441097,ENT638_RS15025,ENT638_RS15025,Ent638_2913,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441112,ENT638_RS13955,ENT638_RS13955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441125,ENT638_RS15150,ENT638_RS15150,Ent638_R0063,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441135,ENT638_RS20575,ENT638_RS20575,Ent638_R0095,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441141,ENT638_RS04105,ENT638_RS04105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32441171,ENT638_RS05960,ENT638_RS05960,Ent638_1138,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32441174,ENT638_RS13565,ENT638_RS13565,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441178,ENT638_RS12885,ENT638_RS12885,Ent638_R0051,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441185,ENT638_RS20745,ENT638_RS20745,Ent638_R0102,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441216,ENT638_RS22360,ENT638_RS22360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441235,ENT638_RS16240,ENT638_RS16240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441256,ENT638_RS08445,ENT638_RS08445,Ent638_1625,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180124,-
399742,32441260,ENT638_RS14870,ENT638_RS14870,Ent638_R0058,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441274,ENT638_RS17550,ENT638_RS17550,Ent638_3398,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441292,ENT638_RS12870,ENT638_RS12870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441314,ENT638_RS23375,ENT638_RS23375,Ent638_1901,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
399742,32441350,ENT638_RS21290,ENT638_RS21290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441363,ENT638_RS09855,ENT638_RS09855,Ent638_1903,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441370,ENT638_RS09670,ENT638_RS09670,Ent638_1866,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441384,ENT638_RS09680,ENT638_RS09680,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441388,ENT638_RS23195,ENT638_RS23195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441424,ENT638_RS05605,ENT638_RS05605,Ent638_1068,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32441425,ENT638_RS05300,ENT638_RS05300,Ent638_1016,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441429,ENT638_RS22230,ENT638_RS22230,Ent638_1020,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441480,ENT638_RS22225,ENT638_RS22225,Ent638_1017,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441488,ENT638_RS07745,ENT638_RS07745,Ent638_R0042,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441504,ENT638_RS07740,ENT638_RS07740,Ent638_R0041,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441556,ENT638_RS16850,ENT638_RS16850,Ent638_R0077,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441567,ENT638_RS17465,ENT638_RS17465,Ent638_R0079,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441575,ENT638_RS22545,ENT638_RS22545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441581,ENT638_RS16370,ENT638_RS16370,Ent638_R0070,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441596,ENT638_RS05335,ENT638_RS05335,Ent638_1021,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441603,ENT638_RS09655,ENT638_RS09655,Ent638_1863,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441623,ENT638_RS03825,ENT638_RS03825,Ent638_R0020,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441630,ENT638_RS22655,ENT638_RS22655,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441682,ENT638_RS11230,ENT638_RS11230,Ent638_2177,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441683,ENT638_RS19130,ENT638_RS19130,Ent638_R0087,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441690,ENT638_RS17570,ENT638_RS17570,Ent638_3402,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441717,ENT638_RS01695,ENT638_RS01695,Ent638_R0011,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441733,ENT638_RS11615,ENT638_RS11615,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441734,ENT638_RS13400,ENT638_RS13400,Ent638_2595,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441750,ENT638_RS15860,ENT638_RS15860,Ent638_R0067,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441756,ENT638_RS01010,ENT638_RS01010,Ent638_R0004,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441758,ENT638_RS00425,ENT638_RS00425,Ent638_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441785,ENT638_RS23385,ENT638_RS23385,Ent638_2141,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200919,-
399742,32441789,ENT638_RS02775,ENT638_RS02775,Ent638_R0017,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441796,ENT638_RS12860,ENT638_RS12860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441803,ENT638_RS11925,ENT638_RS11925,Ent638_R0047,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441880,ENT638_RS00420,ENT638_RS00420,Ent638_0076,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441906,ENT638_RS21210,ENT638_RS21210,Ent638_R0107,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441907,ENT638_RS22640,ENT638_RS22640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441919,ENT638_RS16390,ENT638_RS16390,Ent638_R0074,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32441929,ENT638_RS22785,ENT638_RS22785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441937,ENT638_RS22800,ENT638_RS22800,Ent638_2216,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441943,ENT638_RS10050,ENT638_RS10050,Ent638_1941,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441979,ENT638_RS22255,ENT638_RS22255,Ent638_1653,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32441984,ENT638_RS09550,ENT638_RS09550,Ent638_1843,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32441985,ENT638_RS22265,ENT638_RS22265,Ent638_1867,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
399742,32442007,ENT638_RS11045,ENT638_RS11045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442025,ENT638_RS18120,ENT638_RS18120,Ent638_3515,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442036,ENT638_RS20585,ENT638_RS20585,Ent638_R0097,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442047,ENT638_RS05240,ENT638_RS05240,Ent638_1006,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442077,ENT638_RS08605,ENT638_RS08605,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442100,ENT638_RS13495,ENT638_RS13495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442107,ENT638_RS15145,ENT638_RS15145,Ent638_R0062,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442109,ENT638_RS22215,ENT638_RS22215,Ent638_0822,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442114,ENT638_RS20750,ENT638_RS20750,Ent638_R0103,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442129,ENT638_RS01570,ENT638_RS01570,Ent638_0295,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442134,ENT638_RS23450,ENT638_RS23450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442158,ENT638_RS23365,ENT638_RS23365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442175,ENT638_RS23420,ENT638_RS23420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442179,ENT638_RS01020,ENT638_RS01020,Ent638_R0006,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442189,ENT638_RS15155,ENT638_RS15155,Ent638_R0064,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442195,ENT638_RS22935,ENT638_RS22935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442197,ENT638_RS22855,ENT638_RS22855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180124,-
399742,32442203,ENT638_RS16890,ENT638_RS16890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442204,ENT638_RS09595,ENT638_RS09595,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442230,ENT638_RS23010,ENT638_RS23010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442239,ENT638_RS18155,ENT638_RS18155,Ent638_3522,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442265,ENT638_RS20570,ENT638_RS20570,Ent638_R0094,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442280,ENT638_RS22940,ENT638_RS22940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442281,ENT638_RS13450,ENT638_RS13450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442304,ENT638_RS23000,ENT638_RS23000,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442310,ENT638_RS08645,ENT638_RS08645,Ent638_1664,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200829,-
399742,32442337,ENT638_RS03830,ENT638_RS03830,Ent638_R0021,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442346,ENT638_RS06155,ENT638_RS06155,Ent638_1177,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442350,ENT638_RS22305,ENT638_RS22305,Ent638_2606,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442366,ENT638_RS05925,ENT638_RS05925,Ent638_1131,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180124,-
399742,32442367,ENT638_RS22310,ENT638_RS22310,Ent638_2622,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442373,ENT638_RS22745,ENT638_RS22745,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442385,ENT638_RS13555,ENT638_RS13555,Ent638_2625,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442427,ENT638_RS11115,ENT638_RS11115,Ent638_2154,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442472,ENT638_RS16375,ENT638_RS16375,Ent638_R0071,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442484,ENT638_RS19115,ENT638_RS19115,Ent638_R0084,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442501,ENT638_RS00930,ENT638_RS00930,Ent638_R0002,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442502,ENT638_RS22220,ENT638_RS22220,Ent638_0981,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442514,ENT638_RS11930,ENT638_RS11930,Ent638_R0048,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442519,ENT638_RS14160,ENT638_RS14160,Ent638_2743,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442522,ENT638_RS23335,ENT638_RS23335,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442528,ENT638_RS15140,ENT638_RS15140,Ent638_R0061,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442532,ENT638_RS22920,ENT638_RS22920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442538,ENT638_RS05325,ENT638_RS05325,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442543,ENT638_RS15120,ENT638_RS15120,Ent638_R0060,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442590,ENT638_RS22860,ENT638_RS22860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442604,ENT638_RS22795,ENT638_RS22795,Ent638_2194,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442609,ENT638_RS00340,ENT638_RS00340,Ent638_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442621,ENT638_RS22325,ENT638_RS22325,Ent638_3806,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442622,ENT638_RS04050,ENT638_RS04050,Ent638_0780,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442654,ENT638_RS07250,ENT638_RS07250,Ent638_1384,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442684,ENT638_RS18585,ENT638_RS18585,Ent638_R0081,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442699,ENT638_RS20725,ENT638_RS20725,Ent638_R0098,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442706,ENT638_RS16380,ENT638_RS16380,Ent638_R0072,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442716,ENT638_RS18845,ENT638_RS18845,Ent638_3658,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442725,ENT638_RS13550,ENT638_RS13550,Ent638_2624,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442749,ENT638_RS18595,ENT638_RS18595,Ent638_R0082,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442776,ENT638_RS05305,ENT638_RS05305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442794,ENT638_RS04980,ENT638_RS04980,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442827,ENT638_RS22635,ENT638_RS22635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442837,ENT638_RS16385,ENT638_RS16385,Ent638_R0073,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442856,ENT638_RS12875,ENT638_RS12875,Ent638_R0049,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32442888,ENT638_RS14930,ENT638_RS14930,Ent638_2896,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442935,ENT638_RS05190,ENT638_RS05190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32442936,ENT638_RS18015,ENT638_RS18015,Ent638_3493,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32442938,ENT638_RS05375,ENT638_RS05375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442941,ENT638_RS00335,ENT638_RS00335,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442951,ENT638_RS04115,ENT638_RS04115,Ent638_0794,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210417,-
399742,32442964,ENT638_RS22235,ENT638_RS22235,Ent638_1023,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442972,ENT638_RS11540,ENT638_RS11540,Ent638_2242,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442991,ENT638_RS13560,ENT638_RS13560,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32442999,ENT638_RS04795,ENT638_RS04795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180124,-
399742,32443004,ENT638_RS01005,ENT638_RS01005,Ent638_R0003,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443011,ENT638_RS07100,ENT638_RS07100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443024,ENT638_RS07095,ENT638_RS07095,Ent638_1353,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443037,ENT638_RS08595,ENT638_RS08595,Ent638_1655,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443044,ENT638_RS07085,ENT638_RS07085,Ent638_1351,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171220,-
399742,32443053,ENT638_RS01690,ENT638_RS01690,Ent638_0319,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443063,ENT638_RS20730,ENT638_RS20730,Ent638_R0099,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443067,ENT638_RS20320,ENT638_RS20320,Ent638_R0092,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443070,ENT638_RS15130,ENT638_RS15130,Ent638_2930,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32443073,ENT638_RS01850,ENT638_RS01850,Ent638_R0013,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443120,ENT638_RS02495,ENT638_RS02495,Ent638_0475,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
399742,32443121,ENT638_RS00280,ENT638_RS00280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443131,ENT638_RS23180,ENT638_RS23180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443138,ENT638_RS22395,ENT638_RS22395,Ent638_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443166,ENT638_RS00965,ENT638_RS00965,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443168,ENT638_RS11320,ENT638_RS11320,Ent638_2197,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200829,-
399742,32443193,ENT638_RS14365,ENT638_RS14365,Ent638_R0057,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443204,ENT638_RS04045,ENT638_RS04045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443232,ENT638_RS23310,ENT638_RS23310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200919,-
399742,32443233,ENT638_RS17575,ENT638_RS17575,Ent638_3403,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443242,ENT638_RS05815,ENT638_RS05815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443246,ENT638_RS00380,ENT638_RS00380,Ent638_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170505,-
399742,32443286,ENT638_RS05235,ENT638_RS05235,Ent638_1005,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
399742,32443294,ENT638_RS16840,ENT638_RS16840,Ent638_R0075,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
399742,32443306,ENT638_RS12880,ENT638_RS12880,Ent638_R0050,-,-,-,tRNA,tRNA,-,-,-,-,20170502,-
