#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2654972,65123081,KNU82_gp003,KNU82_gp003,VOWphi5012_003,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2654972,65123096,KNU82_gp017,KNU82_gp017,VOWphi5012_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123097,KNU82_gp018,KNU82_gp018,VOWphi5012_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123098,KNU82_gp019,KNU82_gp019,VOWphi5012_019,-,-,-,viron-encapsulated RNA polymerase,protein-coding,-,-,-,viron-encapsulated RNA polymerase,20210608,-
2654972,65123099,KNU82_gp020,KNU82_gp020,VOWphi5012_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123100,KNU82_gp021,KNU82_gp021,VOWphi5012_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123101,KNU82_gp022,KNU82_gp022,VOWphi5012_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123102,KNU82_gp023,KNU82_gp023,VOWphi5012_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123103,KNU82_gp024,KNU82_gp024,VOWphi5012_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123104,KNU82_gp025,KNU82_gp025,VOWphi5012_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123105,KNU82_gp026,KNU82_gp026,VOWphi5012_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123106,KNU82_gp027,KNU82_gp027,VOWphi5012_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123107,KNU82_gp028,KNU82_gp028,VOWphi5012_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123108,KNU82_gp029,KNU82_gp029,VOWphi5012_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123109,KNU82_gp031,KNU82_gp031,VOWphi5012_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123110,KNU82_gp032,KNU82_gp032,VOWphi5012_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123111,KNU82_gp030,KNU82_gp030,VOWphi5012_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123112,KNU82_gp033,KNU82_gp033,VOWphi5012_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123113,KNU82_gp034,KNU82_gp034,VOWphi5012_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123114,KNU82_gp035,KNU82_gp035,VOWphi5012_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123115,KNU82_gp036,KNU82_gp036,VOWphi5012_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123116,KNU82_gp037,KNU82_gp037,VOWphi5012_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123117,KNU82_gp038,KNU82_gp038,VOWphi5012_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123118,KNU82_gp039,KNU82_gp039,VOWphi5012_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123119,KNU82_gp040,KNU82_gp040,VOWphi5012_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123120,KNU82_gp041,KNU82_gp041,VOWphi5012_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123121,KNU82_gp042,KNU82_gp042,VOWphi5012_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123122,KNU82_gp043,KNU82_gp043,VOWphi5012_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123123,KNU82_gp044,KNU82_gp044,VOWphi5012_044,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2654972,65123124,KNU82_gp045,KNU82_gp045,VOWphi5012_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123125,KNU82_gp046,KNU82_gp046,VOWphi5012_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123126,KNU82_gp047,KNU82_gp047,VOWphi5012_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123127,KNU82_gp048,KNU82_gp048,VOWphi5012_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123128,KNU82_gp049,KNU82_gp049,VOWphi5012_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123129,KNU82_gp050,KNU82_gp050,VOWphi5012_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123130,KNU82_gp051,KNU82_gp051,VOWphi5012_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123131,KNU82_gp052,KNU82_gp052,VOWphi5012_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123132,KNU82_gp053,KNU82_gp053,VOWphi5012_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123133,KNU82_gp054,KNU82_gp054,VOWphi5012_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123134,KNU82_gp055,KNU82_gp055,VOWphi5012_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123135,KNU82_gp056,KNU82_gp056,VOWphi5012_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123136,KNU82_gp057,KNU82_gp057,VOWphi5012_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123137,KNU82_gp058,KNU82_gp058,VOWphi5012_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123138,KNU82_gp059,KNU82_gp059,VOWphi5012_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123139,KNU82_gp060,KNU82_gp060,VOWphi5012_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123140,KNU82_gp061,KNU82_gp061,VOWphi5012_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123141,KNU82_gp062,KNU82_gp062,VOWphi5012_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123142,KNU82_gp063,KNU82_gp063,VOWphi5012_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123143,KNU82_gp064,KNU82_gp064,VOWphi5012_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123144,KNU82_gp065,KNU82_gp065,VOWphi5012_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123145,KNU82_gp066,KNU82_gp066,VOWphi5012_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123146,KNU82_gp067,KNU82_gp067,VOWphi5012_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123147,KNU82_gp068,KNU82_gp068,VOWphi5012_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123148,KNU82_gp069,KNU82_gp069,VOWphi5012_069,-,-,-,baseplate central spike complex protein,protein-coding,-,-,-,baseplate central spike complex protein,20210608,-
2654972,65123149,KNU82_gp070,KNU82_gp070,VOWphi5012_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123150,KNU82_gp071,KNU82_gp071,VOWphi5012_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123151,KNU82_gp072,KNU82_gp072,VOWphi5012_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123152,KNU82_gp073,KNU82_gp073,VOWphi5012_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123153,KNU82_gp074,KNU82_gp074,VOWphi5012_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123154,KNU82_gp075,KNU82_gp075,VOWphi5012_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123155,KNU82_gp076,KNU82_gp076,VOWphi5012_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123156,KNU82_gp077,KNU82_gp077,VOWphi5012_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123157,KNU82_gp078,KNU82_gp078,VOWphi5012_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123158,KNU82_gp079,KNU82_gp079,VOWphi5012_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123159,KNU82_gp080,KNU82_gp080,VOWphi5012_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123160,KNU82_gp081,KNU82_gp081,VOWphi5012_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123161,KNU82_gp082,KNU82_gp082,VOWphi5012_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123162,KNU82_gp083,KNU82_gp083,VOWphi5012_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123163,KNU82_gp084,KNU82_gp084,VOWphi5012_084,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210608,-
2654972,65123164,KNU82_gp086,KNU82_gp086,VOWphi5012_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123165,KNU82_gp087,KNU82_gp087,VOWphi5012_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123166,KNU82_gp088,KNU82_gp088,VOWphi5012_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123167,KNU82_gp089,KNU82_gp089,VOWphi5012_089,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210608,-
2654972,65123168,KNU82_gp090,KNU82_gp090,VOWphi5012_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123169,KNU82_gp085,KNU82_gp085,VOWphi5012_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123170,KNU82_gp091,KNU82_gp091,VOWphi5012_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123171,KNU82_gp092,KNU82_gp092,VOWphi5012_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123172,KNU82_gp093,KNU82_gp093,VOWphi5012_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123173,KNU82_gp094,KNU82_gp094,VOWphi5012_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123174,KNU82_gp095,KNU82_gp095,VOWphi5012_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123175,KNU82_gp097,KNU82_gp097,VOWphi5012_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123176,KNU82_gp098,KNU82_gp098,VOWphi5012_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123177,KNU82_gp099,KNU82_gp099,VOWphi5012_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123178,KNU82_gp096,KNU82_gp096,VOWphi5012_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123179,KNU82_gp100,KNU82_gp100,VOWphi5012_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123180,KNU82_gp101,KNU82_gp101,VOWphi5012_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65123181,KNU82_gp001,KNU82_gp001,VOWphi5012_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2654972,65243259,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
