#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163887,65111753,KNT84_gp002,KNT84_gp002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2163887,65111844,KNT84_gp093,KNT84_gp093,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2163887,65111845,KNT84_gp094,KNT84_gp094,-,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2163887,65111846,KNT84_gp095,KNT84_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111847,KNT84_gp096,KNT84_gp096,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2163887,65111848,KNT84_gp097,KNT84_gp097,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2163887,65111849,KNT84_gp098,KNT84_gp098,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2163887,65111850,KNT84_gp099,KNT84_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111851,KNT84_gp100,KNT84_gp100,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210607,-
2163887,65111852,KNT84_gp101,KNT84_gp101,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2163887,65111853,KNT84_gp102,KNT84_gp102,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210607,-
2163887,65111854,KNT84_gp103,KNT84_gp103,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2163887,65111855,KNT84_gp104,KNT84_gp104,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2163887,65111856,KNT84_gp105,KNT84_gp105,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210607,-
2163887,65111857,KNT84_gp106,KNT84_gp106,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2163887,65111858,KNT84_gp107,KNT84_gp107,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2163887,65111859,KNT84_gp108,KNT84_gp108,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20210607,-
2163887,65111860,KNT84_gp109,KNT84_gp109,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210607,-
2163887,65111861,KNT84_gp110,KNT84_gp110,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2163887,65111862,KNT84_gp111,KNT84_gp111,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163887,65111863,KNT84_gp112,KNT84_gp112,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163887,65111864,KNT84_gp113,KNT84_gp113,-,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2163887,65111865,KNT84_gp114,KNT84_gp114,-,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20210607,-
2163887,65111866,KNT84_gp115,KNT84_gp115,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163887,65111867,KNT84_gp116,KNT84_gp116,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163887,65111868,KNT84_gp117,KNT84_gp117,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2163887,65111869,KNT84_gp118,KNT84_gp118,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163887,65111870,KNT84_gp119,KNT84_gp119,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2163887,65111871,KNT84_gp120,KNT84_gp120,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163887,65111872,KNT84_gp121,KNT84_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111873,KNT84_gp122,KNT84_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111874,KNT84_gp123,KNT84_gp123,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2163887,65111875,KNT84_gp124,KNT84_gp124,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163887,65111876,KNT84_gp125,KNT84_gp125,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2163887,65111877,KNT84_gp126,KNT84_gp126,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2163887,65111878,KNT84_gp127,KNT84_gp127,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2163887,65111879,KNT84_gp128,KNT84_gp128,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210607,-
2163887,65111880,KNT84_gp129,KNT84_gp129,-,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210607,-
2163887,65111881,KNT84_gp130,KNT84_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111882,KNT84_gp131,KNT84_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111883,KNT84_gp132,KNT84_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111884,KNT84_gp133,KNT84_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111885,KNT84_gp134,KNT84_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111886,KNT84_gp135,KNT84_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111887,KNT84_gp136,KNT84_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111888,KNT84_gp137,KNT84_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111889,KNT84_gp138,KNT84_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111890,KNT84_gp139,KNT84_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111891,KNT84_gp140,KNT84_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111892,KNT84_gp141,KNT84_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111893,KNT84_gp142,KNT84_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111894,KNT84_gp143,KNT84_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111895,KNT84_gp144,KNT84_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111896,KNT84_gp145,KNT84_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111897,KNT84_gp146,KNT84_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111898,KNT84_gp147,KNT84_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111899,KNT84_gp148,KNT84_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111900,KNT84_gp149,KNT84_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111901,KNT84_gp150,KNT84_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111902,KNT84_gp151,KNT84_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111903,KNT84_gp152,KNT84_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111904,KNT84_gp153,KNT84_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111905,KNT84_gp154,KNT84_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111906,KNT84_gp155,KNT84_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111907,KNT84_gp156,KNT84_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111908,KNT84_gp157,KNT84_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111909,KNT84_gp158,KNT84_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111910,KNT84_gp159,KNT84_gp159,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2163887,65111911,KNT84_gp160,KNT84_gp160,-,-,-,-,lysozyme murein hydrolase,protein-coding,-,-,-,lysozyme murein hydrolase,20210607,-
2163887,65111912,KNT84_gp161,KNT84_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111913,KNT84_gp162,KNT84_gp162,-,-,-,-,endonuclease V N-glycosylase UV repair enzyme,protein-coding,-,-,-,endonuclease V N-glycosylase UV repair enzyme,20210607,-
2163887,65111914,KNT84_gp163,KNT84_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111915,KNT84_gp164,KNT84_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111916,KNT84_gp165,KNT84_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111917,KNT84_gp166,KNT84_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111918,KNT84_gp167,KNT84_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111919,KNT84_gp168,KNT84_gp168,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2163887,65111920,KNT84_gp169,KNT84_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111921,KNT84_gp170,KNT84_gp170,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2163887,65111922,KNT84_gp171,KNT84_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111923,KNT84_gp172,KNT84_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111924,KNT84_gp173,KNT84_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111925,KNT84_gp174,KNT84_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111926,KNT84_gp175,KNT84_gp175,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2163887,65111927,KNT84_gp176,KNT84_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111928,KNT84_gp177,KNT84_gp177,-,-,-,-,lysis inhibitor regulator,protein-coding,-,-,-,lysis inhibitor regulator,20210607,-
2163887,65111929,KNT84_gp178,KNT84_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111930,KNT84_gp179,KNT84_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111931,KNT84_gp180,KNT84_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111932,KNT84_gp181,KNT84_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111933,KNT84_gp182,KNT84_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111934,KNT84_gp183,KNT84_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111935,KNT84_gp184,KNT84_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111936,KNT84_gp185,KNT84_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111937,KNT84_gp186,KNT84_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111938,KNT84_gp187,KNT84_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111939,KNT84_gp188,KNT84_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111940,KNT84_gp189,KNT84_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111941,KNT84_gp190,KNT84_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163887,65111942,KNT84_gp191,KNT84_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
