#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483623,60321265,I5G62_gp02,I5G62_gp02,CRB2_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201129,-
2483623,60321313,I5G62_gp50,I5G62_gp50,CRB2_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2483623,60321314,I5G62_gp51,I5G62_gp51,CRB2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321315,I5G62_gp52,I5G62_gp52,CRB2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321316,I5G62_gp53,I5G62_gp53,CRB2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321317,I5G62_gp54,I5G62_gp54,CRB2_54,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2483623,60321318,I5G62_gp55,I5G62_gp55,CRB2_55,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20210424,-
2483623,60321319,I5G62_gp56,I5G62_gp56,CRB2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321320,I5G62_gp57,I5G62_gp57,CRB2_57,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2483623,60321321,I5G62_gp58,I5G62_gp58,CRB2_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321322,I5G62_gp59,I5G62_gp59,CRB2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321323,I5G62_gp60,I5G62_gp60,CRB2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321324,I5G62_gp61,I5G62_gp61,CRB2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321325,I5G62_gp62,I5G62_gp62,CRB2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321326,I5G62_gp63,I5G62_gp63,CRB2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321327,I5G62_gp64,I5G62_gp64,CRB2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321328,I5G62_gp65,I5G62_gp65,CRB2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321329,I5G62_gp66,I5G62_gp66,CRB2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321330,I5G62_gp67,I5G62_gp67,CRB2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321331,I5G62_gp68,I5G62_gp68,CRB2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321332,I5G62_gp69,I5G62_gp69,CRB2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321333,I5G62_gp70,I5G62_gp70,CRB2_70,-,-,-,RNAseE,protein-coding,-,-,-,RNAseE,20201129,-
2483623,60321334,I5G62_gp71,I5G62_gp71,CRB2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321335,I5G62_gp72,I5G62_gp72,CRB2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321336,I5G62_gp73,I5G62_gp73,CRB2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321337,I5G62_gp74,I5G62_gp74,CRB2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321338,I5G62_gp75,I5G62_gp75,CRB2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321339,I5G62_gp76,I5G62_gp76,CRB2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321340,I5G62_gp77,I5G62_gp77,CRB2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321341,I5G62_gp78,I5G62_gp78,CRB2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321342,I5G62_gp79,I5G62_gp79,CRB2_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2483623,60321343,I5G62_gp80,I5G62_gp80,CRB2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321344,I5G62_gp81,I5G62_gp81,CRB2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321345,I5G62_gp82,I5G62_gp82,CRB2_82,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20201129,-
2483623,60321346,I5G62_gp83,I5G62_gp83,CRB2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321347,I5G62_gp84,I5G62_gp84,CRB2_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321348,I5G62_gp85,I5G62_gp85,CRB2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321349,I5G62_gp86,I5G62_gp86,CRB2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321350,I5G62_gp88,I5G62_gp88,CRB2_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321351,I5G62_gp87,I5G62_gp87,CRB2_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321352,I5G62_gp89,I5G62_gp89,CRB2_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483623,60321353,I5G62_gp90,I5G62_gp90,CRB2_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321354,I5G62_gp91,I5G62_gp91,CRB2_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321355,I5G62_gp92,I5G62_gp92,CRB2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321356,I5G62_gp93,I5G62_gp93,CRB2_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321357,I5G62_gp94,I5G62_gp94,CRB2_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321358,I5G62_gp95,I5G62_gp95,CRB2_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321359,I5G62_gp96,I5G62_gp96,CRB2_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2483623,60321360,I5G62_gp01,I5G62_gp01,CRB2_1,-,-,-,ParB-like protein,protein-coding,-,-,-,ParB-like protein,20210424,-
2483623,60338735,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
