#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575328,55615944,HWC20_gp02,HWC20_gp02,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210424,-
2575328,55615967,HWC20_gp25,HWC20_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615968,HWC20_gp26,HWC20_gp26,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2575328,55615969,HWC20_gp27,HWC20_gp27,-,-,-,-,"DNA polymerase, beta subunit",protein-coding,-,-,-,"DNA polymerase, beta subunit",20200620,-
2575328,55615970,HWC20_gp28,HWC20_gp28,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201217,-
2575328,55615971,HWC20_gp29,HWC20_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615972,HWC20_gp30,HWC20_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615973,HWC20_gp31,HWC20_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615974,HWC20_gp32,HWC20_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615975,HWC20_gp33,HWC20_gp33,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201217,-
2575328,55615976,HWC20_gp34,HWC20_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615977,HWC20_gp35,HWC20_gp35,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210424,-
2575328,55615978,HWC20_gp36,HWC20_gp36,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210424,-
2575328,55615979,HWC20_gp37,HWC20_gp37,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20210424,-
2575328,55615980,HWC20_gp38,HWC20_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615981,HWC20_gp39,HWC20_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615982,HWC20_gp40,HWC20_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615983,HWC20_gp41,HWC20_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615984,HWC20_gp42,HWC20_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615985,HWC20_gp43,HWC20_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615986,HWC20_gp44,HWC20_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615987,HWC20_gp45,HWC20_gp45,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20201217,-
2575328,55615988,HWC20_gp46,HWC20_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615989,HWC20_gp47,HWC20_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615990,HWC20_gp48,HWC20_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55615991,HWC20_gp49,HWC20_gp49,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2575328,55615992,HWC20_gp50,HWC20_gp50,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201217,-
2575328,55615993,HWC20_gp51,HWC20_gp51,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200620,-
2575328,55615994,HWC20_gp52,HWC20_gp52,-,-,-,-,putative tail fibers protein,protein-coding,-,-,-,putative tail fibers protein,20200620,-
2575328,55615995,HWC20_gp53,HWC20_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615996,HWC20_gp54,HWC20_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615997,HWC20_gp55,HWC20_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615998,HWC20_gp56,HWC20_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55615999,HWC20_gp57,HWC20_gp57,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2575328,55616000,HWC20_gp58,HWC20_gp58,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200620,-
2575328,55616001,HWC20_gp59,HWC20_gp59,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2575328,55616002,HWC20_gp60,HWC20_gp60,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2575328,55616003,HWC20_gp61,HWC20_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616004,HWC20_gp62,HWC20_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616005,HWC20_gp63,HWC20_gp63,-,-,-,-,UDP-glucose 4-epimerase,protein-coding,-,-,-,UDP-glucose 4-epimerase,20200620,-
2575328,55616006,HWC20_gp64,HWC20_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616007,HWC20_gp65,HWC20_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2575328,55616008,HWC20_gp66,HWC20_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616009,HWC20_gp67,HWC20_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616010,HWC20_gp68,HWC20_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616011,HWC20_gp69,HWC20_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616012,HWC20_gp70,HWC20_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616013,HWC20_gp71,HWC20_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616014,HWC20_gp72,HWC20_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616015,HWC20_gp73,HWC20_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616016,HWC20_gp74,HWC20_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616017,HWC20_gp75,HWC20_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616018,HWC20_gp76,HWC20_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55616019,HWC20_gp01,HWC20_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2575328,55635938,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
