#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024314,54994595,HOT52_gp02,HOT52_gp02,Sf11_2,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210123,-
2024314,54994631,HOT52_gp38,HOT52_gp38,Sf11_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994632,HOT52_gp39,HOT52_gp39,Sf11_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994633,HOT52_gp40,HOT52_gp40,Sf11_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994634,HOT52_gp41,HOT52_gp41,Sf11_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994635,HOT52_gp42,HOT52_gp42,Sf11_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994636,HOT52_gp43,HOT52_gp43,Sf11_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994637,HOT52_gp44,HOT52_gp44,Sf11_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994638,HOT52_gp45,HOT52_gp45,Sf11_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994639,HOT52_gp46,HOT52_gp46,Sf11_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994640,HOT52_gp47,HOT52_gp47,Sf11_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994641,HOT52_gp48,HOT52_gp48,Sf11_48,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
2024314,54994642,HOT52_gp49,HOT52_gp49,Sf11_49,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2024314,54994643,HOT52_gp50,HOT52_gp50,Sf11_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994644,HOT52_gp51,HOT52_gp51,Sf11_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994645,HOT52_gp52,HOT52_gp52,Sf11_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994646,HOT52_gp53,HOT52_gp53,Sf11_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994647,HOT52_gp54,HOT52_gp54,Sf11_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994648,HOT52_gp55,HOT52_gp55,Sf11_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994649,HOT52_gp56,HOT52_gp56,Sf11_56,-,-,-,DNA adenine methyl transferase,protein-coding,-,-,-,DNA adenine methyl transferase,20210212,-
2024314,54994650,HOT52_gp57,HOT52_gp57,Sf11_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994651,HOT52_gp58,HOT52_gp58,Sf11_58,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2024314,54994652,HOT52_gp59,HOT52_gp59,Sf11_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994653,HOT52_gp60,HOT52_gp60,Sf11_60,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210123,-
2024314,54994654,HOT52_gp61,HOT52_gp61,Sf11_61,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210123,-
2024314,54994655,HOT52_gp62,HOT52_gp62,Sf11_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994656,HOT52_gp63,HOT52_gp63,Sf11_63,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210123,-
2024314,54994657,HOT52_gp64,HOT52_gp64,Sf11_64,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
2024314,54994658,HOT52_gp65,HOT52_gp65,Sf11_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994659,HOT52_gp66,HOT52_gp66,Sf11_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994660,HOT52_gp67,HOT52_gp67,Sf11_67,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
2024314,54994661,HOT52_gp68,HOT52_gp68,Sf11_68,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
2024314,54994662,HOT52_gp69,HOT52_gp69,Sf11_69,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210123,-
2024314,54994663,HOT52_gp70,HOT52_gp70,Sf11_70,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2024314,54994664,HOT52_gp71,HOT52_gp71,Sf11_71,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210123,-
2024314,54994665,HOT52_gp72,HOT52_gp72,Sf11_72,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210123,-
2024314,54994666,HOT52_gp73,HOT52_gp73,Sf11_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2024314,54994667,HOT52_gp74,HOT52_gp74,Sf11_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994668,HOT52_gp75,HOT52_gp75,Sf11_75,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
2024314,54994669,HOT52_gp76,HOT52_gp76,Sf11_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
2024314,54994670,HOT52_gp77,HOT52_gp77,Sf11_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994671,HOT52_gp78,HOT52_gp78,Sf11_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994672,HOT52_gp79,HOT52_gp79,Sf11_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994673,HOT52_gp80,HOT52_gp80,Sf11_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,54994674,HOT52_gp81,HOT52_gp81,Sf11_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024314,54994675,HOT52_gp01,HOT52_gp01,Sf11_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024314,55153618,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Shigella phage Sf11; Shigella phage Sf11 ASKT-2018).,other,-,-,-,-,20200624,-
