#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147140,14017165,F482_gp02,F482_gp02,SPN3UB_0002,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1147140,14017197,F482_gp34,F482_gp34,SPN3UB_0034,-,-,-,minor tail protein L,protein-coding,-,-,-,minor tail protein L,20200629,-
1147140,14017198,F482_gp35,F482_gp35,SPN3UB_0035,-,-,-,putative tail assembly protein K,protein-coding,-,-,-,putative tail assembly protein K,20200629,-
1147140,14017199,F482_gp36,F482_gp36,SPN3UB_0036,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210123,-
1147140,14017200,F482_gp37,F482_gp37,SPN3UB_0037,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210406,-
1147140,14017201,F482_gp38,F482_gp38,SPN3UB_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017202,F482_gp39,F482_gp39,SPN3UB_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017203,F482_gp40,F482_gp40,SPN3UB_0040,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210123,-
1147140,14017204,F482_gp41,F482_gp41,SPN3UB_0041,-,-,-,excisionase Xis,protein-coding,-,-,-,excisionase Xis,20210123,-
1147140,14017205,F482_gp42,F482_gp42,SPN3UB_0042,-,-,-,DUF4060 family protein,protein-coding,-,-,-,DUF4060 family protein,20201221,-
1147140,14017206,F482_gp43,F482_gp43,SPN3UB_0043,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20210212,-
1147140,14017207,F482_gp44,F482_gp44,SPN3UB_0044,-,-,-,RecE,protein-coding,-,-,-,RecE,20200629,-
1147140,14017208,F482_gp45,F482_gp45,SPN3UB_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017209,F482_gp46,F482_gp46,SPN3UB_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017210,F482_gp47,F482_gp47,SPN3UB_0047,-,-,-,putative CI,protein-coding,-,-,-,putative CI,20200629,-
1147140,14017211,F482_gp48,F482_gp48,SPN3UB_0048,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210123,-
1147140,14017212,F482_gp49,F482_gp49,SPN3UB_0049,-,-,-,putative CII,protein-coding,-,-,-,putative CII,20210123,-
1147140,14017213,F482_gp50,F482_gp50,SPN3UB_0050,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1147140,14017214,F482_gp51,F482_gp51,SPN3UB_0051,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201221,-
1147140,14017215,F482_gp52,F482_gp52,SPN3UB_0052,-,-,-,DUF977 family protein,protein-coding,-,-,-,DUF977 family protein,20201221,-
1147140,14017216,F482_gp53,F482_gp53,SPN3UB_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017217,F482_gp54,F482_gp54,SPN3UB_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017218,F482_gp55,F482_gp55,SPN3UB_0055,-,-,-,putative Eaa protein,protein-coding,-,-,-,putative Eaa protein,20200629,-
1147140,14017219,F482_gp56,F482_gp56,SPN3UB_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1147140,14017220,F482_gp57,F482_gp57,SPN3UB_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017221,F482_gp58,F482_gp58,SPN3UB_0058,-,-,-,DinI family protein,protein-coding,-,-,-,DinI family protein,20210212,-
1147140,14017222,F482_gp59,F482_gp59,SPN3UB_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017223,F482_gp60,F482_gp60,SPN3UB_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017224,F482_gp61,F482_gp61,SPN3UB_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017225,F482_gp62,F482_gp62,SPN3UB_0062,-,-,-,recombination protein NinG,protein-coding,-,-,-,recombination protein NinG,20210123,-
1147140,14017226,F482_gp63,F482_gp63,SPN3UB_0063,-,-,-,YlcG family protein,protein-coding,-,-,-,YlcG family protein,20210313,-
1147140,14017227,F482_gp64,F482_gp64,SPN3UB_0064,-,-,-,antitermination protein,protein-coding,-,-,-,antitermination protein,20210313,-
1147140,14017228,F482_gp65,F482_gp65,SPN3UB_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017229,F482_gp66,F482_gp66,SPN3UB_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1147140,14017230,F482_gp67,F482_gp67,SPN3UB_0067,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1147140,14017231,F482_gp68,F482_gp68,SPN3UB_0068,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20210123,-
1147140,14017232,F482_gp69,F482_gp69,SPN3UB_0069,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20201026,-
1147140,14017233,F482_gp70,F482_gp70,SPN3UB_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147140,14017234,F482_gp71,F482_gp71,SPN3UB_0071,-,-,-,KilA-N domain-containing protein,protein-coding,-,-,-,KilA-N domain-containing protein,20201221,-
1147140,14017235,F482_gp01,F482_gp01,SPN3UB_0001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
1147140,14023580,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella Typhimurium Bacteriophage SPN3UB).,other,-,-,-,-,20200513,-
