#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591370,56134993,H1O03_gp02,H1O03_gp02,ALINA_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591370,56135030,H1O03_gp39,H1O03_gp39,ALINA_39,-,-,-,putative necleoside triphosphate hydrolase,protein-coding,-,-,-,putative necleoside triphosphate hydrolase,20201217,-
2591370,56135031,H1O03_gp40,H1O03_gp40,ALINA_40,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2591370,56135032,H1O03_gp41,H1O03_gp41,ALINA_41,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200926,-
2591370,56135033,H1O03_gp42,H1O03_gp42,ALINA_42,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20210424,-
2591370,56135034,H1O03_gp43,H1O03_gp43,ALINA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135035,H1O03_gp44,H1O03_gp44,ALINA_44,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210424,-
2591370,56135036,H1O03_gp45,H1O03_gp45,ALINA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135037,H1O03_gp46,H1O03_gp46,ALINA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135038,H1O03_gp47,H1O03_gp47,ALINA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135039,H1O03_gp48,H1O03_gp48,ALINA_48,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2591370,56135040,H1O03_gp49,H1O03_gp49,ALINA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135041,H1O03_gp50,H1O03_gp50,ALINA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135042,H1O03_gp51,H1O03_gp51,ALINA_51,-,-,-,putative polyribonucleotide nucleotidyltransferase,protein-coding,-,-,-,putative polyribonucleotide nucleotidyltransferase,20200724,-
2591370,56135043,H1O03_gp52,H1O03_gp52,ALINA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135044,H1O03_gp53,H1O03_gp53,ALINA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135045,H1O03_gp54,H1O03_gp54,ALINA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135046,H1O03_gp55,H1O03_gp55,ALINA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135047,H1O03_gp56,H1O03_gp56,ALINA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135048,H1O03_gp57,H1O03_gp57,ALINA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135049,H1O03_gp58,H1O03_gp58,ALINA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135050,H1O03_gp59,H1O03_gp59,ALINA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135051,H1O03_gp61,H1O03_gp61,ALINA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135052,H1O03_gp62,H1O03_gp62,ALINA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135053,H1O03_gp63,H1O03_gp63,ALINA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135054,H1O03_gp64,H1O03_gp64,ALINA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135055,H1O03_gp65,H1O03_gp65,ALINA_65,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200724,-
2591370,56135056,H1O03_gp66,H1O03_gp66,ALINA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135057,H1O03_gp67,H1O03_gp67,ALINA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135058,H1O03_gp68,H1O03_gp68,ALINA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135059,H1O03_gp69,H1O03_gp69,ALINA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135060,H1O03_gp70,H1O03_gp70,ALINA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135061,H1O03_gp71,H1O03_gp71,ALINA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135062,H1O03_gp72,H1O03_gp72,ALINA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135063,H1O03_gp73,H1O03_gp73,ALINA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135064,H1O03_gp74,H1O03_gp74,ALINA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135065,H1O03_gp75,H1O03_gp75,ALINA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135066,H1O03_gp76,H1O03_gp76,ALINA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135067,H1O03_gp77,H1O03_gp77,ALINA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135068,H1O03_gp78,H1O03_gp78,ALINA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135069,H1O03_gp79,H1O03_gp79,ALINA_79,-,-,-,putative Eaa-like protein,protein-coding,-,-,-,putative Eaa-like protein,20201217,-
2591370,56135070,H1O03_gp80,H1O03_gp80,ALINA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135071,H1O03_gp81,H1O03_gp81,ALINA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135072,H1O03_gp82,H1O03_gp82,ALINA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135073,H1O03_gp83,H1O03_gp83,ALINA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135074,H1O03_gp60,H1O03_gp60,ALINA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591370,56135075,H1O03_gp01,H1O03_gp01,ALINA_1,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210327,-
2591370,56166657,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
