#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965472,56137703,H1Z35_gp002,H1Z35_gp002,AM4_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210515,-
1965472,56137784,H1Z35_gp169,H1Z35_gp169,AM4_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137785,H1Z35_gp168,H1Z35_gp168,AM4_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137786,H1Z35_gp167,H1Z35_gp167,AM4_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137787,H1Z35_gp166,H1Z35_gp166,AM4_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137788,H1Z35_gp165,H1Z35_gp165,AM4_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137789,H1Z35_gp164,H1Z35_gp164,AM4_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137790,H1Z35_gp163,H1Z35_gp163,AM4_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137791,H1Z35_gp162,H1Z35_gp162,AM4_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137792,H1Z35_gp161,H1Z35_gp161,AM4_090,-,-,-,nucleoside phosphate reductase,protein-coding,-,-,-,nucleoside phosphate reductase,20210424,-
1965472,56137793,H1Z35_gp160,H1Z35_gp160,AM4_091,-,-,-,HTH homing endonuclease,protein-coding,-,-,-,HTH homing endonuclease,20200724,-
1965472,56137794,H1Z35_gp159,H1Z35_gp159,AM4_092,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20210424,-
1965472,56137795,H1Z35_gp158,H1Z35_gp158,AM4_093,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20210515,-
1965472,56137796,H1Z35_gp157,H1Z35_gp157,AM4_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137797,H1Z35_gp156,H1Z35_gp156,AM4_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137798,H1Z35_gp155,H1Z35_gp155,AM4_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137799,H1Z35_gp154,H1Z35_gp154,AM4_097,-,-,-,ribonucleotide diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase alpha subunit,20210515,-
1965472,56137800,H1Z35_gp153,H1Z35_gp153,AM4_098,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20210515,-
1965472,56137801,H1Z35_gp152,H1Z35_gp152,AM4_099,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20210515,-
1965472,56137802,H1Z35_gp151,H1Z35_gp151,AM4_100,-,-,-,protease,protein-coding,-,-,-,protease,20210515,-
1965472,56137803,H1Z35_gp150,H1Z35_gp150,AM4_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137804,H1Z35_gp149,H1Z35_gp149,AM4_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137805,H1Z35_gp148,H1Z35_gp148,AM4_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137806,H1Z35_gp147,H1Z35_gp147,AM4_104,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20210515,-
1965472,56137807,H1Z35_gp146,H1Z35_gp146,AM4_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137808,H1Z35_gp145,H1Z35_gp145,AM4_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137809,H1Z35_gp144,H1Z35_gp144,AM4_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137810,H1Z35_gp143,H1Z35_gp143,AM4_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137811,H1Z35_gp142,H1Z35_gp142,AM4_109,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210515,-
1965472,56137812,H1Z35_gp141,H1Z35_gp141,AM4_110,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
1965472,56137813,H1Z35_gp140,H1Z35_gp140,AM4_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137814,H1Z35_gp139,H1Z35_gp139,AM4_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137815,H1Z35_gp138,H1Z35_gp138,AM4_113,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210515,-
1965472,56137816,H1Z35_gp137,H1Z35_gp137,AM4_114,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210515,-
1965472,56137817,H1Z35_gp136,H1Z35_gp136,AM4_115,-,-,-,helicase subunit of the DNA excision repair complex,protein-coding,-,-,-,helicase subunit of the DNA excision repair complex,20200724,-
1965472,56137818,H1Z35_gp135,H1Z35_gp135,AM4_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137819,H1Z35_gp134,H1Z35_gp134,AM4_117,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200724,-
1965472,56137820,H1Z35_gp133,H1Z35_gp133,AM4_118,-,-,-,tail component,protein-coding,-,-,-,tail component,20200724,-
1965472,56137821,H1Z35_gp132,H1Z35_gp132,AM4_119,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
1965472,56137822,H1Z35_gp131,H1Z35_gp131,AM4_120,-,-,-,integrase/site specific recombinase,protein-coding,-,-,-,integrase/site specific recombinase,20210515,-
1965472,56137823,H1Z35_gp130,H1Z35_gp130,AM4_121,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137824,H1Z35_gp129,H1Z35_gp129,AM4_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137825,H1Z35_gp128,H1Z35_gp128,AM4_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137826,H1Z35_gp127,H1Z35_gp127,AM4_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137827,H1Z35_gp126,H1Z35_gp126,AM4_125,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137828,H1Z35_gp125,H1Z35_gp125,AM4_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137829,H1Z35_gp124,H1Z35_gp124,AM4_127,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137830,H1Z35_gp123,H1Z35_gp123,AM4_128,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137831,H1Z35_gp122,H1Z35_gp122,AM4_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137832,H1Z35_gp121,H1Z35_gp121,AM4_130,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137833,H1Z35_gp120,H1Z35_gp120,AM4_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137834,H1Z35_gp119,H1Z35_gp119,AM4_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137835,H1Z35_gp118,H1Z35_gp118,AM4_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137836,H1Z35_gp117,H1Z35_gp117,AM4_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137837,H1Z35_gp116,H1Z35_gp116,AM4_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137838,H1Z35_gp115,H1Z35_gp115,AM4_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137839,H1Z35_gp114,H1Z35_gp114,AM4_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137840,H1Z35_gp113,H1Z35_gp113,AM4_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137841,H1Z35_gp112,H1Z35_gp112,AM4_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137842,H1Z35_gp111,H1Z35_gp111,AM4_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137843,H1Z35_gp110,H1Z35_gp110,AM4_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137844,H1Z35_gp109,H1Z35_gp109,AM4_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137845,H1Z35_gp108,H1Z35_gp108,AM4_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137846,H1Z35_gp107,H1Z35_gp107,AM4_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137847,H1Z35_gp106,H1Z35_gp106,AM4_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137848,H1Z35_gp105,H1Z35_gp105,AM4_147,-,-,-,NUMOD4 motif protein,protein-coding,-,-,-,NUMOD4 motif protein,20210515,-
1965472,56137849,H1Z35_gp104,H1Z35_gp104,AM4_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137850,H1Z35_gp103,H1Z35_gp103,AM4_149,-,-,-,Zn-finger protein,protein-coding,-,-,-,Zn-finger protein,20200724,-
1965472,56137851,H1Z35_gp102,H1Z35_gp102,AM4_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137852,H1Z35_gp101,H1Z35_gp101,AM4_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137853,H1Z35_gp100,H1Z35_gp100,AM4_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137854,H1Z35_gp099,H1Z35_gp099,AM4_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137855,H1Z35_gp098,H1Z35_gp098,AM4_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137856,H1Z35_gp097,H1Z35_gp097,AM4_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137857,H1Z35_gp096,H1Z35_gp096,AM4_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137858,H1Z35_gp095,H1Z35_gp095,AM4_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137859,H1Z35_gp094,H1Z35_gp094,AM4_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137860,H1Z35_gp093,H1Z35_gp093,AM4_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137861,H1Z35_gp092,H1Z35_gp092,AM4_160,-,-,-,nucleotidase,protein-coding,-,-,-,nucleotidase,20210515,-
1965472,56137862,H1Z35_gp091,H1Z35_gp091,AM4_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137863,H1Z35_gp090,H1Z35_gp090,AM4_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137864,H1Z35_gp089,H1Z35_gp089,AM4_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137865,H1Z35_gp088,H1Z35_gp088,AM4_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137866,H1Z35_gp087,H1Z35_gp087,AM4_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137867,H1Z35_gp086,H1Z35_gp086,AM4_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137868,H1Z35_gp085,H1Z35_gp085,AM4_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137869,H1Z35_gp084,H1Z35_gp084,AM4_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965472,56137870,H1Z35_gp083,H1Z35_gp083,AM4_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137871,H1Z35_gp082,H1Z35_gp082,AM4_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137872,H1Z35_gp081,H1Z35_gp081,AM4_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137873,H1Z35_gp080,H1Z35_gp080,AM4_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137874,H1Z35_gp079,H1Z35_gp079,AM4_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137875,H1Z35_gp078,H1Z35_gp078,AM4_174,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200724,-
1965472,56137876,H1Z35_gp077,H1Z35_gp077,AM4_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137877,H1Z35_gp076,H1Z35_gp076,AM4_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137878,H1Z35_gp075,H1Z35_gp075,AM4_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137879,H1Z35_gp074,H1Z35_gp074,AM4_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965472,56137880,H1Z35_gp073,H1Z35_gp073,AM4_179,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
1965472,56137881,H1Z35_gp072,H1Z35_gp072,AM4_180,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200724,-
