#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229760,26643032,AVV48_gp02,AVV48_gp02,phiAC-1_0002,-,-,-,putative phosphoadenosine phosphosulfate reductase,protein-coding,-,-,-,putative phosphoadenosine phosphosulfate reductase,20201221,-
1229760,26643082,AVV48_gp52,AVV48_gp52,phiAC-1_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643083,AVV48_gp53,AVV48_gp53,phiAC-1_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643084,AVV48_gp54,AVV48_gp54,phiAC-1_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643085,AVV48_gp55,AVV48_gp55,phiAC-1_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643086,AVV48_gp56,AVV48_gp56,phiAC-1_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643087,AVV48_gp57,AVV48_gp57,phiAC-1_0057,-,-,-,putative lysozyme-like domain protein,protein-coding,-,-,-,putative lysozyme-like domain protein,20201221,-
1229760,26643088,AVV48_gp58,AVV48_gp58,phiAC-1_0058,-,-,-,putative lysozyme-like domain protein,protein-coding,-,-,-,putative lysozyme-like domain protein,20201221,-
1229760,26643089,AVV48_gp59,AVV48_gp59,phiAC-1_0059,-,-,-,putative lysozyme-like domain protein,protein-coding,-,-,-,putative lysozyme-like domain protein,20201221,-
1229760,26643090,AVV48_gp60,AVV48_gp60,phiAC-1_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643091,AVV48_gp61,AVV48_gp61,phiAC-1_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643092,AVV48_gp62,AVV48_gp62,phiAC-1_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643093,AVV48_gp63,AVV48_gp63,phiAC-1_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643094,AVV48_gp64,AVV48_gp64,phiAC-1_0064,-,-,-,putative phage baseplate assembly protein,protein-coding,-,-,-,putative phage baseplate assembly protein,20201221,-
1229760,26643095,AVV48_gp65,AVV48_gp65,phiAC-1_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643096,AVV48_gp66,AVV48_gp66,phiAC-1_0066,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20201221,-
1229760,26643097,AVV48_gp67,AVV48_gp67,phiAC-1_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643098,AVV48_gp68,AVV48_gp68,phiAC-1_0068,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1229760,26643099,AVV48_gp69,AVV48_gp69,phiAC-1_0069,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1229760,26643100,AVV48_gp70,AVV48_gp70,phiAC-1_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643101,AVV48_gp71,AVV48_gp71,phiAC-1_0071,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1229760,26643102,AVV48_gp72,AVV48_gp72,phiAC-1_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643103,AVV48_gp73,AVV48_gp73,phiAC-1_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643104,AVV48_gp74,AVV48_gp74,phiAC-1_0074,-,-,-,putative phage-type exonuclease,protein-coding,-,-,-,putative phage-type exonuclease,20201221,-
1229760,26643105,AVV48_gp75,AVV48_gp75,phiAC-1_0075,-,-,-,putative ERF family protein,protein-coding,-,-,-,putative ERF family protein,20201221,-
1229760,26643106,AVV48_gp76,AVV48_gp76,phiAC-1_0076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643107,AVV48_gp77,AVV48_gp77,phiAC-1_0077,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20201221,-
1229760,26643108,AVV48_gp78,AVV48_gp78,phiAC-1_0078,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20201221,-
1229760,26643109,AVV48_gp79,AVV48_gp79,phiAC-1_0079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643110,AVV48_gp80,AVV48_gp80,phiAC-1_0080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643111,AVV48_gp81,AVV48_gp81,phiAC-1_0081,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201221,-
1229760,26643112,AVV48_gp82,AVV48_gp82,phiAC-1_0082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26643113,AVV48_gp01,AVV48_gp01,phiAC-1_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229760,26680553,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
