#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696452,56133381,H1N81_gp02,H1N81_gp02,tonnikala_2,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210313,-
2696452,56133443,H1N81_gp64,H1N81_gp64,tonnikala_64,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2696452,56133444,H1N81_gp65,H1N81_gp65,tonnikala_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133445,H1N81_gp66,H1N81_gp66,tonnikala_66,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210403,-
2696452,56133446,H1N81_gp67,H1N81_gp67,tonnikala_67,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210313,-
2696452,56133447,H1N81_gp68,H1N81_gp68,tonnikala_68,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200919,-
2696452,56133448,H1N81_gp69,H1N81_gp69,tonnikala_69,-,-,-,tail tape-measure protein,protein-coding,-,-,-,tail tape-measure protein,20210313,-
2696452,56133449,H1N81_gp70,H1N81_gp70,tonnikala_70,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696452,56133450,H1N81_gp71,H1N81_gp71,tonnikala_71,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210403,-
2696452,56133451,H1N81_gp72,H1N81_gp72,tonnikala_72,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2696452,56133452,H1N81_gp73,H1N81_gp73,tonnikala_73,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210313,-
2696452,56133453,H1N81_gp74,H1N81_gp74,tonnikala_74,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210313,-
2696452,56133454,H1N81_gp75,H1N81_gp75,tonnikala_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133455,H1N81_gp76,H1N81_gp76,tonnikala_76,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20200724,-
2696452,56133456,H1N81_gp77,H1N81_gp77,tonnikala_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133457,H1N81_gp78,H1N81_gp78,tonnikala_78,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20210403,-
2696452,56133458,H1N81_gp79,H1N81_gp79,tonnikala_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696452,56133459,H1N81_gp80,H1N81_gp80,tonnikala_80,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210313,-
2696452,56133460,H1N81_gp81,H1N81_gp81,tonnikala_81,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210313,-
2696452,56133461,H1N81_gp82,H1N81_gp82,tonnikala_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696452,56133462,H1N81_gp83,H1N81_gp83,tonnikala_83,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200724,-
2696452,56133463,H1N81_gp01,H1N81_gp01,tonnikala_1,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210403,-
2696452,56166705,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
