#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2555548,55614812,HWC11_gp142,HWC11_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614813,HWC11_gp143,HWC11_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614814,HWC11_gp144,HWC11_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614815,HWC11_gp145,HWC11_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614816,HWC11_gp146,HWC11_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614817,HWC11_gp147,HWC11_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614818,HWC11_gp148,HWC11_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614819,HWC11_gp149,HWC11_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614820,HWC11_gp150,HWC11_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614821,HWC11_gp151,HWC11_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614822,HWC11_gp152,HWC11_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614823,HWC11_gp153,HWC11_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614824,HWC11_gp154,HWC11_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614825,HWC11_gp155,HWC11_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614826,HWC11_gp156,HWC11_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614827,HWC11_gp157,HWC11_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614828,HWC11_gp158,HWC11_gp158,-,-,-,-,queuosine biosynthesis protein,protein-coding,-,-,-,queuosine biosynthesis protein,20210424,-
2555548,55614829,HWC11_gp159,HWC11_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614830,HWC11_gp160,HWC11_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614831,HWC11_gp161,HWC11_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614832,HWC11_gp162,HWC11_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614833,HWC11_gp163,HWC11_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614834,HWC11_gp164,HWC11_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614835,HWC11_gp165,HWC11_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614836,HWC11_gp166,HWC11_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614837,HWC11_gp167,HWC11_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614838,HWC11_gp168,HWC11_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614839,HWC11_gp169,HWC11_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614840,HWC11_gp170,HWC11_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614841,HWC11_gp171,HWC11_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614842,HWC11_gp172,HWC11_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614843,HWC11_gp173,HWC11_gp173,-,-,-,-,putative glycoprotein,protein-coding,-,-,-,putative glycoprotein,20201222,-
2555548,55614844,HWC11_gp174,HWC11_gp174,-,-,-,-,cell wall hydrolyse,protein-coding,-,-,-,cell wall hydrolyse,20210424,-
2555548,55614845,HWC11_gp175,HWC11_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614846,HWC11_gp176,HWC11_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614847,HWC11_gp177,HWC11_gp177,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210424,-
2555548,55614848,HWC11_gp178,HWC11_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614849,HWC11_gp179,HWC11_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614850,HWC11_gp180,HWC11_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614851,HWC11_gp181,HWC11_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614852,HWC11_gp182,HWC11_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614853,HWC11_gp183,HWC11_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614854,HWC11_gp184,HWC11_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614855,HWC11_gp185,HWC11_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614856,HWC11_gp186,HWC11_gp186,-,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20201222,-
2555548,55614857,HWC11_gp187,HWC11_gp187,-,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20201222,-
2555548,55614858,HWC11_gp188,HWC11_gp188,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210417,-
2555548,55614859,HWC11_gp189,HWC11_gp189,-,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20201222,-
2555548,55614860,HWC11_gp190,HWC11_gp190,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210417,-
2555548,55614861,HWC11_gp191,HWC11_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614862,HWC11_gp192,HWC11_gp192,-,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20210424,-
2555548,55614863,HWC11_gp193,HWC11_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614864,HWC11_gp194,HWC11_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614865,HWC11_gp195,HWC11_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614866,HWC11_gp196,HWC11_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614867,HWC11_gp197,HWC11_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2555548,55614868,HWC11_gp198,HWC11_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614869,HWC11_gp199,HWC11_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614870,HWC11_gp200,HWC11_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614871,HWC11_gp201,HWC11_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614872,HWC11_gp202,HWC11_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614873,HWC11_gp203,HWC11_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614874,HWC11_gp204,HWC11_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614875,HWC11_gp205,HWC11_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614876,HWC11_gp206,HWC11_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614877,HWC11_gp207,HWC11_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614878,HWC11_gp208,HWC11_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614879,HWC11_gp209,HWC11_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614880,HWC11_gp210,HWC11_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614881,HWC11_gp211,HWC11_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614882,HWC11_gp212,HWC11_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614883,HWC11_gp213,HWC11_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614884,HWC11_gp214,HWC11_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614885,HWC11_gp215,HWC11_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614886,HWC11_gp216,HWC11_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614887,HWC11_gp217,HWC11_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614888,HWC11_gp218,HWC11_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614889,HWC11_gp219,HWC11_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614890,HWC11_gp220,HWC11_gp220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614891,HWC11_gp221,HWC11_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614892,HWC11_gp222,HWC11_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614893,HWC11_gp223,HWC11_gp223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614894,HWC11_gp224,HWC11_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614895,HWC11_gp225,HWC11_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614896,HWC11_gp226,HWC11_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614897,HWC11_gp227,HWC11_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614898,HWC11_gp228,HWC11_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614899,HWC11_gp229,HWC11_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614900,HWC11_gp230,HWC11_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614901,HWC11_gp231,HWC11_gp231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614902,HWC11_gp232,HWC11_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614903,HWC11_gp233,HWC11_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614904,HWC11_gp234,HWC11_gp234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614905,HWC11_gp235,HWC11_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614906,HWC11_gp236,HWC11_gp236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614907,HWC11_gp237,HWC11_gp237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614908,HWC11_gp238,HWC11_gp238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614909,HWC11_gp239,HWC11_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614910,HWC11_gp240,HWC11_gp240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614911,HWC11_gp241,HWC11_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614912,HWC11_gp242,HWC11_gp242,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614913,HWC11_gp243,HWC11_gp243,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614914,HWC11_gp244,HWC11_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614915,HWC11_gp245,HWC11_gp245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614916,HWC11_gp246,HWC11_gp246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614917,HWC11_gp247,HWC11_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614918,HWC11_gp248,HWC11_gp248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614919,HWC11_gp249,HWC11_gp249,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614920,HWC11_gp250,HWC11_gp250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614921,HWC11_gp251,HWC11_gp251,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614922,HWC11_gp252,HWC11_gp252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614923,HWC11_gp253,HWC11_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2555548,55614924,HWC11_gp254,HWC11_gp254,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614925,HWC11_gp255,HWC11_gp255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614926,HWC11_gp256,HWC11_gp256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2555548,55614927,HWC11_gp257,HWC11_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
