#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
181082,3654896,EhV246,EhV246,-,-,-,-,putative lectin protein,protein-coding,-,-,-,putative lectin protein,20200909,-
181082,3654897,EhV278,EhV278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654898,EhV279,EhV279,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654899,EhV280,EhV280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654900,EhV281,EhV281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654901,EhV282,EhV282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654902,EhV269,EhV269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654903,EhV403,EhV403,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654904,EhV404,EhV404,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654905,EhV405,EhV405,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654906,EhV406,EhV406,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654907,EhV407,EhV407,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654908,EhV408,EhV408,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654909,EhV409,EhV409,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654910,EhV410,EhV410,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654911,EhV411,EhV411,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654912,EhV412,EhV412,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654913,EhV413,EhV413,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654914,EhV414,EhV414,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654915,EhV415,EhV415,-,-,-,-,putative fatty acid desaturase,protein-coding,-,-,-,putative fatty acid desaturase,20200909,-
181082,3654916,EhV416,EhV416,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654917,EhV417,EhV417,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654918,EhV418,EhV418,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654919,EhV419,EhV419,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654920,EhV420,EhV420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654921,EhV421,EhV421,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654922,EhV422,EhV422,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
