#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391428,17776252,X824_gp002,X824_gp002,ST4MG_002,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1391428,17776276,X824_gp026,X824_gp026,ST4MG_026,-,-,-,nicotinamide monocucleotide transport,protein-coding,-,-,-,nicotinamide monocucleotide transport,20200910,-
1391428,17776277,X824_gp027,X824_gp027,ST4MG_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776278,X824_gp028,X824_gp028,ST4MG_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776279,X824_gp029,X824_gp029,ST4MG_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1391428,17776280,X824_gp030,X824_gp030,ST4MG_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776281,X824_gp031,X824_gp031,ST4MG_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776282,X824_gp032,X824_gp032,ST4MG_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776283,X824_gp033,X824_gp033,ST4MG_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776284,X824_gp034,X824_gp034,ST4MG_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776285,X824_gp035,X824_gp035,ST4MG_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776286,X824_gp036,X824_gp036,ST4MG_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776287,X824_gp037,X824_gp037,ST4MG_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776288,X824_gp038,X824_gp038,ST4MG_038,-,-,-,Ig domain-containing protein,protein-coding,-,-,-,Ig domain-containing protein,20200910,-
1391428,17776289,X824_gp039,X824_gp039,ST4MG_039,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1391428,17776290,X824_gp040,X824_gp040,ST4MG_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776291,X824_gp041,X824_gp041,ST4MG_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776292,X824_gp042,X824_gp042,ST4MG_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776293,X824_gp043,X824_gp043,ST4MG_043,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20200910,-
1391428,17776294,X824_gp044,X824_gp044,ST4MG_044,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1391428,17776295,X824_gp045,X824_gp045,ST4MG_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776296,X824_gp046,X824_gp046,ST4MG_046,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200910,-
1391428,17776297,X824_gp047,X824_gp047,ST4MG_047,-,-,-,putative colanic acid degrading protein,protein-coding,-,-,-,putative colanic acid degrading protein,20200910,-
1391428,17776298,X824_gp048,X824_gp048,ST4MG_048,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200910,-
1391428,17776299,X824_gp049,X824_gp049,ST4MG_049,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1391428,17776300,X824_gp050,X824_gp050,ST4MG_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776301,X824_gp051,X824_gp051,ST4MG_051,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20200910,-
1391428,17776302,X824_gp052,X824_gp052,ST4MG_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776303,X824_gp053,X824_gp053,ST4MG_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776304,X824_gp054,X824_gp054,ST4MG_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776305,X824_gp055,X824_gp055,ST4MG_055,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200910,-
1391428,17776306,X824_gp056,X824_gp056,ST4MG_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776307,X824_gp057,X824_gp057,ST4MG_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776308,X824_gp058,X824_gp058,ST4MG_058,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210406,-
1391428,17776309,X824_gp059,X824_gp059,ST4MG_059,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1391428,17776310,X824_gp060,X824_gp060,ST4MG_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776311,X824_gp061,X824_gp061,ST4MG_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776312,X824_gp062,X824_gp062,ST4MG_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776313,X824_gp063,X824_gp063,ST4MG_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776314,X824_gp064,X824_gp064,ST4MG_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776315,X824_gp065,X824_gp065,ST4MG_065,-,-,-,putative phage head fiber protein,protein-coding,-,-,-,putative phage head fiber protein,20200910,-
1391428,17776316,X824_gp066,X824_gp066,ST4MG_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776317,X824_gp067,X824_gp067,ST4MG_067,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
1391428,17776318,X824_gp068,X824_gp068,ST4MG_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776319,X824_gp069,X824_gp069,ST4MG_069,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1391428,17776320,X824_gp070,X824_gp070,ST4MG_070,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20200910,-
1391428,17776321,X824_gp071,X824_gp071,ST4MG_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776322,X824_gp072,X824_gp072,ST4MG_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776323,X824_gp073,X824_gp073,ST4MG_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776324,X824_gp074,X824_gp074,ST4MG_074,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1391428,17776325,X824_gp075,X824_gp075,ST4MG_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776326,X824_gp076,X824_gp076,ST4MG_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776327,X824_gp077,X824_gp077,ST4MG_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776328,X824_gt001,X824_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776329,X824_gt011,X824_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776330,X824_gt016,X824_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776331,X824_gp268,X824_gp268,ST4MG_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776332,X824_gp267,X824_gp267,ST4MG_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776333,X824_gp266,X824_gp266,ST4MG_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776334,X824_gt020,X824_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776335,X824_gp264,X824_gp264,ST4MG_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776336,X824_gt021,X824_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391428,17776337,X824_gp262,X824_gp262,ST4MG_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776338,X824_gp260,X824_gp260,ST4MG_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776339,X824_gp261,X824_gp261,ST4MG_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776340,X824_gp259,X824_gp259,ST4MG_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776341,X824_gp258,X824_gp258,ST4MG_091,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20200910,-
1391428,17776342,X824_gp257,X824_gp257,ST4MG_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776343,X824_gp256,X824_gp256,ST4MG_093,-,-,-,putative phosphoribosylpyrophosphate synthetase,protein-coding,-,-,-,putative phosphoribosylpyrophosphate synthetase,20200910,-
1391428,17776344,X824_gp255,X824_gp255,ST4MG_094,-,-,-,helix-turn-helix DNA-binding domain-containing protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain-containing protein,20200910,-
1391428,17776345,X824_gp254,X824_gp254,ST4MG_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776346,X824_gp253,X824_gp253,ST4MG_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776347,X824_gp252,X824_gp252,ST4MG_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776348,X824_gp251,X824_gp251,ST4MG_098,-,-,-,putative transposase-like protein,protein-coding,-,-,-,putative transposase-like protein,20200910,-
1391428,17776349,X824_gp250,X824_gp250,ST4MG_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776350,X824_gp249,X824_gp249,ST4MG_100,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200910,-
1391428,17776351,X824_gp248,X824_gp248,ST4MG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776352,X824_gp247,X824_gp247,ST4MG_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776353,X824_gp246,X824_gp246,ST4MG_103,-,-,-,putative RNA ligase 1/tail attachment protein,protein-coding,-,-,-,putative RNA ligase 1/tail attachment protein,20200910,-
1391428,17776354,X824_gp245,X824_gp245,ST4MG_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776355,X824_gp244,X824_gp244,ST4MG_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776356,X824_gp243,X824_gp243,ST4MG_106,-,-,-,AAA domain-containing protein,protein-coding,-,-,-,AAA domain-containing protein,20200910,-
1391428,17776357,X824_gp242,X824_gp242,ST4MG_107,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20200910,-
1391428,17776358,X824_gp241,X824_gp241,ST4MG_108,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20200910,-
1391428,17776359,X824_gp240,X824_gp240,ST4MG_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776360,X824_gp239,X824_gp239,ST4MG_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776361,X824_gp238,X824_gp238,ST4MG_111,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase-like protein,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase-like protein,20200910,-
1391428,17776362,X824_gp237,X824_gp237,ST4MG_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776363,X824_gp236,X824_gp236,ST4MG_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776364,X824_gp235,X824_gp235,ST4MG_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776365,X824_gp234,X824_gp234,ST4MG_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776366,X824_gp233,X824_gp233,ST4MG_116,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
1391428,17776367,X824_gp232,X824_gp232,ST4MG_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776368,X824_gp231,X824_gp231,ST4MG_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776369,X824_gp230,X824_gp230,ST4MG_119,-,-,-,putative NHN endonuclease,protein-coding,-,-,-,putative NHN endonuclease,20200910,-
1391428,17776370,X824_gp229,X824_gp229,ST4MG_120,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1391428,17776371,X824_gp228,X824_gp228,ST4MG_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776372,X824_gp227,X824_gp227,ST4MG_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776373,X824_gp226,X824_gp226,ST4MG_123,-,-,-,EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease,20200910,-
1391428,17776374,X824_gp225,X824_gp225,ST4MG_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776375,X824_gp224,X824_gp224,ST4MG_125,-,-,-,putative DNA polymerase/exonuclease,protein-coding,-,-,-,putative DNA polymerase/exonuclease,20200910,-
1391428,17776376,X824_gp223,X824_gp223,ST4MG_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776377,X824_gp222,X824_gp222,ST4MG_127,-,-,-,putative 5'(3')-deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3')-deoxyribonucleotidase,20200910,-
1391428,17776378,X824_gp221,X824_gp221,ST4MG_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776379,X824_gp220,X824_gp220,ST4MG_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776380,X824_gp219,X824_gp219,ST4MG_130,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200910,-
1391428,17776381,X824_gp218,X824_gp218,ST4MG_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776382,X824_gp217,X824_gp217,ST4MG_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776383,X824_gp216,X824_gp216,ST4MG_133,-,-,-,ribonucleoside triphosphate reductase alpha chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha chain,20200910,-
1391428,17776384,X824_gp215,X824_gp215,ST4MG_134,-,-,-,ribonucleoside diphosphate reductase beta chain,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta chain,20200910,-
1391428,17776385,X824_gp214,X824_gp214,ST4MG_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776386,X824_gp213,X824_gp213,ST4MG_136,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20200910,-
1391428,17776387,X824_gp212,X824_gp212,ST4MG_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776388,X824_gp211,X824_gp211,ST4MG_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776389,X824_gp210,X824_gp210,ST4MG_139,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200910,-
1391428,17776390,X824_gp209,X824_gp209,ST4MG_140,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200910,-
1391428,17776391,X824_gp208,X824_gp208,ST4MG_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776392,X824_gp207,X824_gp207,ST4MG_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776393,X824_gp206,X824_gp206,ST4MG_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776394,X824_gp205,X824_gp205,ST4MG_144,-,-,-,putative ClpP ATP-dependent protease subunit,protein-coding,-,-,-,putative ClpP ATP-dependent protease subunit,20200910,-
1391428,17776395,X824_gp204,X824_gp204,ST4MG_145,-,-,-,putative DNA methyltransferase,protein-coding,-,-,-,putative DNA methyltransferase,20200910,-
1391428,17776396,X824_gp203,X824_gp203,ST4MG_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776397,X824_gp202,X824_gp202,ST4MG_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776398,X824_gp201,X824_gp201,ST4MG_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776399,X824_gp200,X824_gp200,ST4MG_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776400,X824_gp199,X824_gp199,ST4MG_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776401,X824_gp198,X824_gp198,ST4MG_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776402,X824_gp197,X824_gp197,ST4MG_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776403,X824_gp196,X824_gp196,ST4MG_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776404,X824_gp195,X824_gp195,ST4MG_154,-,-,-,tRNA nucleotidyltransferase,protein-coding,-,-,-,tRNA nucleotidyltransferase,20200910,-
1391428,17776405,X824_gp194,X824_gp194,ST4MG_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776406,X824_gp193,X824_gp193,ST4MG_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776407,X824_gp192,X824_gp192,ST4MG_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776408,X824_gp191,X824_gp191,ST4MG_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776409,X824_gp190,X824_gp190,ST4MG_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776410,X824_gp189,X824_gp189,ST4MG_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776411,X824_gp188,X824_gp188,ST4MG_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776412,X824_gp187,X824_gp187,ST4MG_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776413,X824_gp186,X824_gp186,ST4MG_163,-,-,-,putative nucleotidyltransferase,protein-coding,-,-,-,putative nucleotidyltransferase,20200910,-
1391428,17776414,X824_gp185,X824_gp185,ST4MG_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776415,X824_gp184,X824_gp184,ST4MG_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776416,X824_gp183,X824_gp183,ST4MG_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776417,X824_gp182,X824_gp182,ST4MG_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776418,X824_gp181,X824_gp181,ST4MG_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776419,X824_gp180,X824_gp180,ST4MG_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776420,X824_gp179,X824_gp179,ST4MG_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776421,X824_gp178,X824_gp178,ST4MG_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776422,X824_gp177,X824_gp177,ST4MG_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776423,X824_gp176,X824_gp176,ST4MG_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776424,X824_gp175,X824_gp175,ST4MG_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776425,X824_gp174,X824_gp174,ST4MG_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776426,X824_gp173,X824_gp173,ST4MG_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776427,X824_gp172,X824_gp172,ST4MG_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776428,X824_gp171,X824_gp171,ST4MG_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776429,X824_gp170,X824_gp170,ST4MG_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776430,X824_gp169,X824_gp169,ST4MG_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776431,X824_gp168,X824_gp168,ST4MG_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776432,X824_gp167,X824_gp167,ST4MG_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776433,X824_gp166,X824_gp166,ST4MG_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776434,X824_gp165,X824_gp165,ST4MG_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776435,X824_gp164,X824_gp164,ST4MG_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776436,X824_gp163,X824_gp163,ST4MG_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776437,X824_gp162,X824_gp162,ST4MG_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776438,X824_gp161,X824_gp161,ST4MG_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776439,X824_gp160,X824_gp160,ST4MG_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391428,17776440,X824_gp159,X824_gp159,ST4MG_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
