#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041518,60336607,I5J47_gp02,I5J47_gp02,SEA_ARIB1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2041518,60336631,I5J47_gp26,I5J47_gp26,SEA_ARIB1_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2041518,60336632,I5J47_gp27,I5J47_gp27,SEA_ARIB1_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2041518,60336633,I5J47_gp28,I5J47_gp28,SEA_ARIB1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2041518,60336634,I5J47_gp29,I5J47_gp29,SEA_ARIB1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041518,60336635,I5J47_gp30,I5J47_gp30,SEA_ARIB1_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2041518,60336636,I5J47_gp31,I5J47_gp31,SEA_ARIB1_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2041518,60336637,I5J47_gp32,I5J47_gp32,SEA_ARIB1_32,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2041518,60336638,I5J47_gp33,I5J47_gp33,SEA_ARIB1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336639,I5J47_gp34,I5J47_gp34,SEA_ARIB1_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2041518,60336640,I5J47_gp35,I5J47_gp35,SEA_ARIB1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336641,I5J47_gp36,I5J47_gp36,SEA_ARIB1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336642,I5J47_gp37,I5J47_gp37,SEA_ARIB1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336643,I5J47_gp38,I5J47_gp38,SEA_ARIB1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2041518,60336644,I5J47_gp39,I5J47_gp39,SEA_ARIB1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336645,I5J47_gp40,I5J47_gp40,SEA_ARIB1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336646,I5J47_gp41,I5J47_gp41,SEA_ARIB1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336647,I5J47_gp42,I5J47_gp42,SEA_ARIB1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336648,I5J47_gp43,I5J47_gp43,SEA_ARIB1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336649,I5J47_gp44,I5J47_gp44,SEA_ARIB1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336650,I5J47_gp45,I5J47_gp45,SEA_ARIB1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336651,I5J47_gp46,I5J47_gp46,SEA_ARIB1_46,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210417,-
2041518,60336652,I5J47_gp47,I5J47_gp47,SEA_ARIB1_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2041518,60336653,I5J47_gp48,I5J47_gp48,SEA_ARIB1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336654,I5J47_gp49,I5J47_gp49,SEA_ARIB1_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210424,-
2041518,60336655,I5J47_gp50,I5J47_gp50,SEA_ARIB1_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210424,-
2041518,60336656,I5J47_gp51,I5J47_gp51,SEA_ARIB1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336657,I5J47_gp52,I5J47_gp52,SEA_ARIB1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336658,I5J47_gp53,I5J47_gp53,SEA_ARIB1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336659,I5J47_gp54,I5J47_gp54,SEA_ARIB1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336660,I5J47_gp56,I5J47_gp56,SEA_ARIB1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336661,I5J47_gp57,I5J47_gp57,SEA_ARIB1_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2041518,60336662,I5J47_gp58,I5J47_gp58,SEA_ARIB1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336663,I5J47_gp59,I5J47_gp59,SEA_ARIB1_59,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2041518,60336664,I5J47_gp60,I5J47_gp60,SEA_ARIB1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336665,I5J47_gp61,I5J47_gp61,SEA_ARIB1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336666,I5J47_gp62,I5J47_gp62,SEA_ARIB1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336667,I5J47_gp63,I5J47_gp63,SEA_ARIB1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336668,I5J47_gp64,I5J47_gp64,SEA_ARIB1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336669,I5J47_gp65,I5J47_gp65,SEA_ARIB1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336670,I5J47_gp66,I5J47_gp66,SEA_ARIB1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336671,I5J47_gp67,I5J47_gp67,SEA_ARIB1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336672,I5J47_gp68,I5J47_gp68,SEA_ARIB1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336673,I5J47_gp69,I5J47_gp69,SEA_ARIB1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336674,I5J47_gp70,I5J47_gp70,SEA_ARIB1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336675,I5J47_gp71,I5J47_gp71,SEA_ARIB1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336676,I5J47_gp72,I5J47_gp72,SEA_ARIB1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336677,I5J47_gp73,I5J47_gp73,SEA_ARIB1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336678,I5J47_gp75,I5J47_gp75,SEA_ARIB1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336679,I5J47_gp76,I5J47_gp76,SEA_ARIB1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336680,I5J47_gp77,I5J47_gp77,SEA_ARIB1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336681,I5J47_gp78,I5J47_gp78,SEA_ARIB1_78,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2041518,60336682,I5J47_gp74,I5J47_gp74,SEA_ARIB1_74,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210424,-
2041518,60336683,I5J47_gp55,I5J47_gp55,SEA_ARIB1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2041518,60336684,I5J47_gp01,I5J47_gp01,SEA_ARIB1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2041518,60350503,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
