#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1064539,13161040,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210426,-
1064539,39502890,Sp245p_RS30525,Sp245p_RS30525,Sp245p_31000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502912,Sp245p_RS28605,Sp245p_RS28605,Sp245p_29000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502929,Sp245p_RS28030,Sp245p_RS28030,Sp245p_28390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39502958,Sp245p_RS30595,Sp245p_RS30595,Sp245p_31065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39502988,Sp245p_RS29055,Sp245p_RS29055,Sp245p_29465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39502995,Sp245p_RS28565,Sp245p_RS28565,Sp245p_28960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503008,Sp245p_RS30580,Sp245p_RS30580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503019,Sp245p_RS28455,Sp245p_RS28455,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503024,Sp245p_RS27730,Sp245p_RS27730,Sp245p_28065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503042,Sp245p_RS28175,Sp245p_RS28175,Sp245p_28535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503051,Sp245p_RS27335,Sp245p_RS27335,Sp245p_27670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503065,Sp245p_RS29205,Sp245p_RS29205,Sp245p_29620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503089,Sp245p_RS28400,Sp245p_RS28400,Sp245p_28780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503093,Sp245p_RS29970,Sp245p_RS29970,Sp245p_30420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503099,Sp245p_RS30615,Sp245p_RS30615,Sp245p_31085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503102,Sp245p_RS28555,Sp245p_RS28555,Sp245p_28950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1064539,39503108,Sp245p_RS30425,Sp245p_RS30425,Sp245p_30895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503114,Sp245p_RS28430,Sp245p_RS28430,Sp245p_28815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503150,Sp245p_RS27650,Sp245p_RS27650,Sp245p_27980,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503183,Sp245p_RS28415,Sp245p_RS28415,Sp245p_28795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503192,Sp245p_RS27475,Sp245p_RS27475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503200,Sp245p_RS30640,Sp245p_RS30640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503202,Sp245p_RS31620,Sp245p_RS31620,Sp245p_32135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39503205,Sp245p_RS33395,Sp245p_RS33395,Sp245p_33855,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503223,Sp245p_RS32415,Sp245p_RS32415,Sp245p_32865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503227,Sp245p_RS32025,Sp245p_RS32025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503235,Sp245p_RS34495,Sp245p_RS34495,Sp245p_34990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503242,Sp245p_RS31410,Sp245p_RS31410,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503264,Sp245p_RS34560,Sp245p_RS34560,Sp245p_35055,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503285,Sp245p_RS32260,Sp245p_RS32260,Sp245p_32720,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503313,Sp245p_RS32290,Sp245p_RS32290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503319,Sp245p_RS34595,Sp245p_RS34595,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503361,Sp245p_RS33705,Sp245p_RS33705,Sp245p_34180,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503367,Sp245p_RS33700,Sp245p_RS33700,Sp245p_34175,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503370,Sp245p_RS31970,Sp245p_RS31970,Sp245p_32505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503380,Sp245p_RS34185,Sp245p_RS34185,Sp245p_34670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503385,Sp245p_RS31710,Sp245p_RS31710,Sp245p_32225,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503424,Sp245p_RS33340,Sp245p_RS33340,Sp245p_33800,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503439,Sp245p_RS31400,Sp245p_RS31400,Sp245p_31890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503451,Sp245p_RS32285,Sp245p_RS32285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503460,Sp245p_RS33400,Sp245p_RS33400,Sp245p_33860,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503465,Sp245p_RS33520,Sp245p_RS33520,Sp245p_33985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503474,Sp245p_RS33480,Sp245p_RS33480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503486,Sp245p_RS33880,Sp245p_RS33880,Sp245p_34365,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503487,Sp245p_RS31960,Sp245p_RS31960,Sp245p_32495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503488,Sp245p_RS34705,Sp245p_RS34705,Sp245p_35210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503498,Sp245p_RS31890,Sp245p_RS31890,Sp245p_32425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503508,Sp245p_RS33720,Sp245p_RS33720,Sp245p_34195,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503513,Sp245p_RS33735,Sp245p_RS33735,Sp245p_34210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503542,Sp245p_RS28385,Sp245p_RS28385,Sp245p_28760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39503544,Sp245p_RS27655,Sp245p_RS27655,Sp245p_27985,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503548,Sp245p_RS29155,Sp245p_RS29155,Sp245p_29570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39503551,Sp245p_RS30625,Sp245p_RS30625,Sp245p_31095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503557,Sp245p_RS28590,Sp245p_RS28590,Sp245p_28985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503561,Sp245p_RS28535,Sp245p_RS28535,Sp245p_28930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503582,Sp245p_RS27670,Sp245p_RS27670,Sp245p_28000,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503586,Sp245p_RS26765,Sp245p_RS26765,Sp245p_27090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503593,Sp245p_RS26775,Sp245p_RS26775,Sp245p_27105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503611,Sp245p_RS27795,Sp245p_RS27795,Sp245p_28135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503620,Sp245p_RS27710,Sp245p_RS27710,Sp245p_28040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503634,Sp245p_RS28215,Sp245p_RS28215,Sp245p_28580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503644,Sp245p_RS26780,Sp245p_RS26780,Sp245p_27110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503647,Sp245p_RS29335,Sp245p_RS29335,Sp245p_29760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39503662,Sp245p_RS28050,Sp245p_RS28050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503665,Sp245p_RS27695,Sp245p_RS27695,Sp245p_28025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503670,Sp245p_RS30125,Sp245p_RS30125,Sp245p_30585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503677,Sp245p_RS27945,Sp245p_RS27945,Sp245p_28300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503680,Sp245p_RS27685,Sp245p_RS27685,Sp245p_28015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503682,Sp245p_RS26795,Sp245p_RS26795,Sp245p_27130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503720,Sp245p_RS26940,Sp245p_RS26940,Sp245p_27275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503732,Sp245p_RS28585,Sp245p_RS28585,Sp245p_28980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503735,Sp245p_RS30620,Sp245p_RS30620,Sp245p_31090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503765,Sp245p_RS29190,Sp245p_RS29190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503770,Sp245p_RS30755,Sp245p_RS30755,Sp245p_31230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503774,Sp245p_RS30820,Sp245p_RS30820,Sp245p_31295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503777,Sp245p_RS30865,Sp245p_RS30865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503787,Sp245p_RS30675,Sp245p_RS30675,Sp245p_31140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503790,Sp245p_RS30915,Sp245p_RS30915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503791,Sp245p_RS30975,Sp245p_RS30975,Sp245p_31460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503793,Sp245p_RS30960,Sp245p_RS30960,Sp245p_31440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503795,Sp245p_RS30910,Sp245p_RS30910,Sp245p_31395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503799,Sp245p_RS30760,Sp245p_RS30760,Sp245p_31235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503802,Sp245p_RS31330,Sp245p_RS31330,Sp245p_31825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503810,Sp245p_RS31000,Sp245p_RS31000,Sp245p_31485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1064539,39503811,Sp245p_RS30645,Sp245p_RS30645,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503814,Sp245p_RS30705,Sp245p_RS30705,Sp245p_31170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503817,Sp245p_RS30665,Sp245p_RS30665,Sp245p_31130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503819,Sp245p_RS30935,Sp245p_RS30935,Sp245p_31410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503827,Sp245p_RS30695,Sp245p_RS30695,Sp245p_31160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503831,Sp245p_RS31305,Sp245p_RS31305,Sp245p_31800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503833,Sp245p_RS30670,Sp245p_RS30670,Sp245p_31135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503840,Sp245p_RS30880,Sp245p_RS30880,Sp245p_31365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1064539,39503843,Sp245p_RS30905,Sp245p_RS30905,Sp245p_31390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503846,Sp245p_RS30660,Sp245p_RS30660,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503847,Sp245p_RS31285,Sp245p_RS31285,Sp245p_31780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503850,Sp245p_RS30920,Sp245p_RS30920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503854,Sp245p_RS30885,Sp245p_RS30885,Sp245p_31370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503862,Sp245p_RS30655,Sp245p_RS30655,Sp245p_31125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503867,Sp245p_RS31170,Sp245p_RS31170,Sp245p_31660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1064539,39503868,Sp245p_RS31215,Sp245p_RS31215,Sp245p_31705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503871,Sp245p_RS31320,Sp245p_RS31320,Sp245p_31815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503874,Sp245p_RS31220,Sp245p_RS31220,Sp245p_31710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503875,Sp245p_RS30890,Sp245p_RS30890,Sp245p_31375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503877,Sp245p_RS30780,Sp245p_RS30780,Sp245p_31255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1064539,39503881,Sp245p_RS31280,Sp245p_RS31280,Sp245p_31775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503891,Sp245p_RS31250,Sp245p_RS31250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503901,Sp245p_RS31370,Sp245p_RS31370,Sp245p_31865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503910,Sp245p_RS31335,Sp245p_RS31335,Sp245p_31830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39503912,Sp245p_RS30940,Sp245p_RS30940,Sp245p_31415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503913,Sp245p_RS30985,Sp245p_RS30985,Sp245p_31470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39503918,Sp245p_RS32245,Sp245p_RS32245,Sp245p_32705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503927,Sp245p_RS31715,Sp245p_RS31715,Sp245p_32230,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39503943,Sp245p_RS31665,Sp245p_RS31665,Sp245p_32180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1064539,39503948,Sp245p_RS31720,Sp245p_RS31720,Sp245p_32235,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504014,Sp245p_RS33510,Sp245p_RS33510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504023,Sp245p_RS33495,Sp245p_RS33495,Sp245p_33960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504027,Sp245p_RS34175,Sp245p_RS34175,Sp245p_34660,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504028,Sp245p_RS31925,Sp245p_RS31925,Sp245p_32460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504037,Sp245p_RS33530,Sp245p_RS33530,Sp245p_33995,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504045,Sp245p_RS32625,Sp245p_RS32625,Sp245p_33075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504048,Sp245p_RS33415,Sp245p_RS33415,Sp245p_33875,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504065,Sp245p_RS33990,Sp245p_RS33990,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504079,Sp245p_RS32440,Sp245p_RS32440,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
1064539,39504080,Sp245p_RS31535,Sp245p_RS31535,Sp245p_32040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504107,Sp245p_RS31745,Sp245p_RS31745,Sp245p_32260,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504113,Sp245p_RS31785,Sp245p_RS31785,Sp245p_32305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504147,Sp245p_RS31750,Sp245p_RS31750,Sp245p_32265,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504150,Sp245p_RS34565,Sp245p_RS34565,Sp245p_35060,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504159,Sp245p_RS33275,Sp245p_RS33275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504162,Sp245p_RS32350,Sp245p_RS32350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504185,Sp245p_RS32310,Sp245p_RS32310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504203,Sp245p_RS33345,Sp245p_RS33345,Sp245p_33805,-,-,-,-,tRNA,-,-,-,-,20190401,-
1064539,39504213,Sp245p_RS33760,Sp245p_RS33760,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1064539,39504214,Sp245p_RS31625,Sp245p_RS31625,Sp245p_32140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504227,Sp245p_RS34270,Sp245p_RS34270,Sp245p_34765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1064539,39504229,Sp245p_RS31695,Sp245p_RS31695,Sp245p_32210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504241,Sp245p_RS32280,Sp245p_RS32280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1064539,39504251,Sp245p_RS32165,Sp245p_RS32165,Sp245p_32625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
