#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36565693,C7M61_002304,C7M61_002304,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565694,C7M61_002305,C7M61_002305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565695,C7M61_002306,C7M61_002306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565696,C7M61_002307,C7M61_002307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565697,C7M61_002308,C7M61_002308,-,-,Unknown,-,60S ribosomal protein L44,protein-coding,-,-,-,60S ribosomal protein L44,20200919,-
418784,36565698,C7M61_002309,C7M61_002309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565699,C7M61_002310,C7M61_002310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565700,C7M61_002311,C7M61_002311,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565701,C7M61_002312,C7M61_002312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565702,C7M61_002313,C7M61_002313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565703,C7M61_002314,C7M61_002314,-,-,Unknown,-,nucleoside diphosphate kinase,protein-coding,-,-,-,nucleoside diphosphate kinase,20200919,-
418784,36565704,C7M61_002315,C7M61_002315,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565705,C7M61_002316,C7M61_002316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565706,C7M61_002317,C7M61_002317,-,-,Unknown,-,trimethyllysine dioxygenase,protein-coding,-,-,-,trimethyllysine dioxygenase,20200919,-
418784,36565707,C7M61_002318,C7M61_002318,-,-,Unknown,-,NADPH-dependent D-xylose reductase,protein-coding,-,-,-,NADPH-dependent D-xylose reductase,20200919,-
418784,36565708,C7M61_002319,C7M61_002319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565709,C7M61_002320,C7M61_002320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565710,C7M61_002321,C7M61_002321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565711,C7M61_002322,C7M61_002322,-,-,Unknown,-,glucose-6-phosphate isomerase,protein-coding,-,-,-,glucose-6-phosphate isomerase,20200919,-
418784,36565712,C7M61_002323,C7M61_002323,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565713,C7M61_002324,C7M61_002324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565714,C7M61_002325,C7M61_002325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565715,C7M61_002326,C7M61_002326,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565716,C7M61_002327,C7M61_002327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565717,C7M61_002328,C7M61_002328,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565718,C7M61_002329,C7M61_002329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565719,C7M61_002330,C7M61_002330,-,-,Unknown,-,adenylosuccinate lyase,protein-coding,-,-,-,adenylosuccinate lyase,20200919,-
418784,36565720,C7M61_002331,C7M61_002331,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565721,C7M61_002332,C7M61_002332,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565722,C7M61_002333,C7M61_002333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565723,C7M61_002334,C7M61_002334,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565724,C7M61_002335,C7M61_002335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565725,C7M61_002336,C7M61_002336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
