#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
813,2827981,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Chlamydozoon trachomatis; Rickettsia trachomae; Rickettsia trachomatis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210313,-
813,35549964,KW34_RS03255,KW34_RS03255,O175_03310,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549966,KW34_RS03820,KW34_RS03820,O175_03925,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35549990,KW34_RS02720,KW34_RS02720,O175_02790,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550012,KW34_RS02515,KW34_RS02515,O175_02575,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550035,KW34_RS00315,KW34_RS00315,O175_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550095,KW34_RS00945,KW34_RS00945,O175_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550145,KW34_RS03650,KW34_RS03650,O175_03745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550146,KW34_RS03655,KW34_RS03655,O175_03750,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550151,KW34_RS04515,KW34_RS04515,O175_04660,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550189,KW34_RS01740,KW34_RS01740,O175_01775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550196,KW34_RS03535,KW34_RS03535,O175_03625,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550218,KW34_RS03680,KW34_RS03680,O175_03775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550237,KW34_RS00195,KW34_RS00195,O175_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550270,KW34_RS00730,KW34_RS00730,O175_00760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550277,KW34_RS02495,KW34_RS02495,O175_02555,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550282,KW34_RS02210,KW34_RS02210,O175_02255,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550296,KW34_RS01175,KW34_RS01175,O175_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550309,KW34_RS00950,KW34_RS00950,O175_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550331,KW36_RS04700,KW36_RS04700,O177_04825,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550372,KW36_RS04545,KW36_RS04545,O177_04680,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550405,KW36_RS01690,KW36_RS01690,O177_01735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550511,KW36_RS01890,KW36_RS01890,O177_01940,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550561,KW36_RS00195,KW36_RS00195,O177_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550582,KW36_RS00315,KW36_RS00315,O177_00330,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550650,KW36_RS02500,KW36_RS02500,O177_02565,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550654,KW36_RS02520,KW36_RS02520,O177_02585,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550659,KW36_RS02480,KW36_RS02480,O177_02545,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550664,KW36_RS03420,KW36_RS03420,O177_03495,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550672,KW36_RS03675,KW36_RS03675,O177_03755,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550719,KW36_RS01165,KW36_RS01165,O177_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550720,KW36_RS01170,KW36_RS01170,O177_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550761,KW36_RS04110,KW36_RS04110,O177_04215,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550797,KW36_RS03630,KW36_RS03630,O177_03710,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550800,KW36_RS03645,KW36_RS03645,O177_03725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550801,KW36_RS03650,KW36_RS03650,O177_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550821,KW36_RS00730,KW36_RS00730,O177_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550822,KW36_RS00735,KW36_RS00735,O177_00770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550828,KW36_RS03390,KW36_RS03390,O177_03460,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550837,KW36_RS04340,KW36_RS04340,O177_04455,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35550854,KW36_RS03530,KW36_RS03530,O177_03605,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551017,KW36_RS02230,KW36_RS02230,O177_02280,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551039,KW36_RS00940,KW36_RS00940,O177_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551040,KW36_RS00945,KW36_RS00945,O177_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551062,KW36_RS01085,KW36_RS01085,O177_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551063,KW36_RS01090,KW36_RS01090,O177_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551089,KW36_RS02705,KW36_RS02705,O177_02780,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551095,KW36_RS04505,KW36_RS04505,O177_04635,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551107,KW36_RS02885,KW36_RS02885,O177_02965,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551133,KW36_RS02660,KW36_RS02660,O177_02735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551141,KW36_RS01680,KW36_RS01680,O177_01725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551146,KW36_RS02195,KW36_RS02195,O177_02245,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551160,KW36_RS03240,KW36_RS03240,O177_03305,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551185,KW36_RS01725,KW36_RS01725,O177_01770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551201,KW36_RS03985,KW36_RS03985,O177_04085,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551270,KW36_RS03815,KW36_RS03815,O177_03910,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551313,KW41_RS00195,KW41_RS00195,O179_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551341,KW41_RS03835,KW41_RS03835,O179_03920,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551392,KW41_RS01695,KW41_RS01695,O179_01720,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551394,KW41_RS01705,KW41_RS01705,O179_01730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551570,KW41_RS03440,KW41_RS03440,O179_03505,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551586,KW41_RS02505,KW41_RS02505,O179_02550,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551590,KW41_RS02525,KW41_RS02525,O179_02570,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551594,KW41_RS02545,KW41_RS02545,O179_02590,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551603,KW41_RS02685,KW41_RS02685,O179_02740,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551610,KW41_RS02910,KW41_RS02910,O179_02965,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551623,KW41_RS02730,KW41_RS02730,O179_02785,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551624,KW41_RS03660,KW41_RS03660,O179_03740,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551625,KW41_RS03665,KW41_RS03665,O179_03745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551630,KW41_RS03690,KW41_RS03690,O179_03770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551631,KW41_RS03695,KW41_RS03695,O179_03775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551731,KW41_RS04130,KW41_RS04130,O179_04225,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551749,KW41_RS02255,KW41_RS02255,O179_02290,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551780,KW41_RS01095,KW41_RS01095,O179_01110,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551794,KW41_RS01750,KW41_RS01750,O179_01775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551801,KW41_RS04575,KW41_RS04575,O179_04690,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551834,KW41_RS03545,KW41_RS03545,O179_03620,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551864,KW41_RS01175,KW41_RS01175,O179_01190,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551865,KW41_RS01180,KW41_RS01180,O179_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551897,KW41_RS03260,KW41_RS03260,O179_03305,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35551960,KW41_RS04730,KW41_RS04730,O179_04840,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552025,KW41_RS01100,KW41_RS01100,O179_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552051,KW41_RS03410,KW41_RS03410,O179_03470,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552075,KW41_RS04005,KW41_RS04005,O179_04095,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552094,KW41_RS00315,KW41_RS00315,O179_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552114,KW41_RS02220,KW41_RS02220,O179_02250,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552116,KW41_RS01915,KW41_RS01915,O179_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552128,KW41_RS04360,KW41_RS04360,O179_04460,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552164,KW41_RS00950,KW41_RS00950,O179_00965,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552165,KW41_RS00955,KW41_RS00955,O179_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552183,KW41_RS03645,KW41_RS03645,O179_03725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552189,KW41_RS04535,KW41_RS04535,O179_04645,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552246,KW41_RS00735,KW41_RS00735,O179_00755,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552247,KW41_RS00740,KW41_RS00740,O179_00760,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552266,KW39_RS04720,KW39_RS04720,O169_04840,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552304,KW39_RS03645,KW39_RS03645,O169_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552315,KW39_RS00195,KW39_RS00195,O169_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552323,KW39_RS01090,KW39_RS01090,O169_01125,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552324,KW39_RS01095,KW39_RS01095,O169_01130,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552333,KW39_RS00730,KW39_RS00730,O169_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552334,KW39_RS00735,KW39_RS00735,O169_00770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552373,KW39_RS04000,KW39_RS04000,O169_04105,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552442,KW39_RS03545,KW39_RS03545,O169_03625,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552459,KW39_RS02720,KW39_RS02720,O169_02800,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552472,KW39_RS04525,KW39_RS04525,O169_04650,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552563,KW39_RS01740,KW39_RS01740,O169_01790,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552637,KW39_RS01170,KW39_RS01170,O169_01210,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552638,KW39_RS01175,KW39_RS01175,O169_01215,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552652,KW39_RS00315,KW39_RS00315,O169_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552679,KW39_RS04125,KW39_RS04125,O169_04235,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552687,KW39_RS04565,KW39_RS04565,O169_04695,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552725,KW39_RS04355,KW39_RS04355,O169_04470,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552747,KW39_RS02495,KW39_RS02495,O169_02565,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552751,KW39_RS02515,KW39_RS02515,O169_02585,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552755,KW39_RS02535,KW39_RS02535,O169_02605,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552775,KW39_RS01685,KW39_RS01685,O169_01735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552777,KW39_RS01695,KW39_RS01695,O169_01745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552786,KW39_RS03660,KW39_RS03660,O169_03745,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552787,KW39_RS03665,KW39_RS03665,O169_03750,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552792,KW39_RS03690,KW39_RS03690,O169_03775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552949,KW39_RS03410,KW39_RS03410,O169_03475,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552955,KW39_RS03440,KW39_RS03440,O169_03510,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35552990,KW39_RS03830,KW39_RS03830,O169_03930,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553090,KW39_RS02900,KW39_RS02900,O169_02980,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553121,KW39_RS03255,KW39_RS03255,O169_03315,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553144,KW39_RS02675,KW39_RS02675,O169_02755,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553153,KW39_RS01905,KW39_RS01905,O169_01960,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553163,KW39_RS00945,KW39_RS00945,O169_00980,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553164,KW39_RS00950,KW39_RS00950,O169_00985,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553217,KW39_RS02210,KW39_RS02210,O169_02265,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553224,KW39_RS02245,KW39_RS02245,O169_02300,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553254,KW35_RS04120,KW35_RS04120,O172_04215,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553280,KW35_RS00315,KW35_RS00315,O172_00325,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553299,KW35_RS03825,KW35_RS03825,O172_03910,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553311,KW35_RS04720,KW35_RS04720,O172_04825,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553368,KW35_RS01090,KW35_RS01090,O172_01115,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553369,KW35_RS01095,KW35_RS01095,O172_01120,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553385,KW35_RS01170,KW35_RS01170,O172_01195,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553386,KW35_RS01175,KW35_RS01175,O172_01200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553443,KW35_RS01900,KW35_RS01900,O172_01945,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553465,KW35_RS02670,KW35_RS02670,O172_02735,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553493,KW35_RS03405,KW35_RS03405,O172_03455,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553499,KW35_RS03435,KW35_RS03435,O172_03490,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553532,KW35_RS04525,KW35_RS04525,O172_04635,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553540,KW35_RS04565,KW35_RS04565,O172_04680,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553568,KW35_RS02490,KW35_RS02490,O172_02545,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553572,KW35_RS02510,KW35_RS02510,O172_02565,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553576,KW35_RS02530,KW35_RS02530,O172_02585,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553607,KW35_RS01735,KW35_RS01735,O172_01775,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553665,KW35_RS03995,KW35_RS03995,O172_04085,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553711,KW35_RS00945,KW35_RS00945,O172_00970,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553712,KW35_RS00950,KW35_RS00950,O172_00975,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553745,KW35_RS00195,KW35_RS00195,O172_00200,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553826,KW35_RS02715,KW35_RS02715,O172_02780,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553840,KW35_RS03685,KW35_RS03685,O172_03755,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553878,KW35_RS02205,KW35_RS02205,O172_02250,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553885,KW35_RS02240,KW35_RS02240,O172_02285,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35553910,KW35_RS03540,KW35_RS03540,O172_03605,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554001,KW35_RS00735,KW35_RS00735,O172_00765,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554002,KW35_RS00740,KW35_RS00740,O172_00770,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554044,KW35_RS04350,KW35_RS04350,O172_04450,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554098,KW35_RS02895,KW35_RS02895,O172_02960,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554134,KW35_RS03640,KW35_RS03640,O172_03710,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554137,KW35_RS03655,KW35_RS03655,O172_03725,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554138,KW35_RS03660,KW35_RS03660,O172_03730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554157,KW35_RS03250,KW35_RS03250,O172_03295,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554185,KW35_RS01685,KW35_RS01685,O172_01720,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554187,KW35_RS01695,KW35_RS01695,O172_01730,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554212,KW40_RS04710,KW40_RS04710,O176_04830,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
813,35554322,KW40_RS01895,KW40_RS01895,O176_01950,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
