#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582152,26737295,PHICD211_20002,PHICD211_20002,-,-,-,-,Terminase,protein-coding,-,-,-,Terminase,20200629,-
1582152,26737307,PHICD211_20014,PHICD211_20014,-,-,-,-,Phage tail protein,protein-coding,-,-,-,Phage tail protein,20200905,-
1582152,26737308,PHICD211_20015,PHICD211_20015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737309,PHICD211_20016,PHICD211_20016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737310,PHICD211_29016,PHICD211_29016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737311,PHICD211_29017,PHICD211_29017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737312,PHICD211_20019,PHICD211_20019,-,-,-,-,"Ribbon-helix-helix protein, copG family",protein-coding,-,-,-,"Ribbon-helix-helix protein, copG family",20200629,-
1582152,26737313,PHICD211_20020,PHICD211_20020,-,-,-,-,repressor protein/antirepressor Ant,protein-coding,-,-,-,repressor protein/antirepressor Ant,20201221,-
1582152,26737314,PHICD211_20021,PHICD211_20021,-,-,-,-,SHOCT domain-containing protein,protein-coding,-,-,-,SHOCT domain-containing protein,20201221,-
1582152,26737315,PHICD211_20022,PHICD211_20022,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1582152,26737316,PHICD211_2misc_RNA_1,PHICD211_2misc_RNA_1,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200910,-
1582152,26737317,PHICD211_29023,PHICD211_29023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737318,PHICD211_20026,PHICD211_20026,-,-,-,-,Endopeptidase tail component,protein-coding,-,-,-,Endopeptidase tail component,20200905,-
1582152,26737319,PHICD211_20027,PHICD211_20027,-,-,-,-,tail fiber domain-containing protein,protein-coding,-,-,-,tail fiber domain-containing protein,20201221,-
1582152,26737320,PHICD211_20028,PHICD211_20028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737321,PHICD211_20029,PHICD211_20029,-,-,-,-,Tail fiber protein,protein-coding,-,-,-,Tail fiber protein,20200905,-
1582152,26737322,PHICD211_20030,PHICD211_20030,-,-,-,-,regulator of chromosome condensation (RCC1) repeat family protein,protein-coding,-,-,-,regulator of chromosome condensation (RCC1) repeat family protein,20201221,-
1582152,26737323,PHICD211_20031,PHICD211_20031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737324,PHICD211_20032,PHICD211_20032,-,-,-,-,Tail-collar fiber protein,protein-coding,-,-,-,Tail-collar fiber protein,20200629,-
1582152,26737325,PHICD211_20033,PHICD211_20033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1582152,26737326,PHICD211_20034,PHICD211_20034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737327,PHICD211_20035,PHICD211_20035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737328,PHICD211_20036,PHICD211_20036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737329,PHICD211_20037,PHICD211_20037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737330,PHICD211_20038,PHICD211_20038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737331,PHICD211_20039,PHICD211_20039,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1582152,26737332,PHICD211_20040,PHICD211_20040,-,-,-,-,glucosaminidase domain-containing protein,protein-coding,-,-,-,glucosaminidase domain-containing protein,20201221,-
1582152,26737333,PHICD211_20041,PHICD211_20041,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210406,-
1582152,26737334,PHICD211_20042,PHICD211_20042,-,-,-,-,Septation ring formation regulator EzrA,protein-coding,-,-,-,Septation ring formation regulator EzrA,20200629,-
1582152,26737335,PHICD211_20043,PHICD211_20043,-,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201221,-
1582152,26737336,PHICD211_20044,PHICD211_20044,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737337,PHICD211_20045,PHICD211_20045,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20201221,-
1582152,26737338,PHICD211_20046,PHICD211_20046,-,-,-,-,Cell surface protein N-acetylmuramoyl-L-alanine amidase LytC precursor,protein-coding,-,-,-,Cell surface protein N-acetylmuramoyl-L-alanine amidase LytC precursor,20200905,-
1582152,26737339,PHICD211_20047,PHICD211_20047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737340,cdu,PHICD211_20048,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20201221,-
1582152,26737341,PHICD211_20050,PHICD211_20050,-,-,-,-,Exodeoxyribonuclease X,protein-coding,-,-,-,Exodeoxyribonuclease X,20200629,-
1582152,26737342,tnpA,PHICD211_20051,-,-,-,-,ISL3 family transposase,protein-coding,-,-,-,ISL3 family transposase,20201221,-
1582152,26737343,PHICD211_20053,PHICD211_20053,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20201221,-
1582152,26737344,PHICD211_20054,PHICD211_20054,-,-,-,-,crossover junction endodeoxyribonuclease RuvC,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC,20201221,-
1582152,26737345,PHICD211_20055,PHICD211_20055,-,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20201221,-
1582152,26737346,PHICD211_20056,PHICD211_20056,-,-,-,-,"Phage protein, putative (modular protein)",protein-coding,-,-,-,"Phage protein, putative (modular protein)",20200629,-
1582152,26737347,PHICD211_20057,PHICD211_20057,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200629,-
1582152,26737348,PHICD211_20058,PHICD211_20058,-,-,-,-,site-specific DNA-methyltransferase,protein-coding,-,-,-,site-specific DNA-methyltransferase,20201221,-
1582152,26737349,PHICD211_20059,PHICD211_20059,-,-,-,-,PD-(D/E)XK nuclease family protein,protein-coding,-,-,-,PD-(D/E)XK nuclease family protein,20201221,-
1582152,26737350,PHICD211_20060,PHICD211_20060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737351,PHICD211_20061,PHICD211_20061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737352,PHICD211_20062,PHICD211_20062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737353,PHICD211_20063,PHICD211_20063,-,-,-,-,spore protease YyaC,protein-coding,-,-,-,spore protease YyaC,20201221,-
1582152,26737354,PHICD211_20064,PHICD211_20064,-,-,-,-,Serine/threonine protein phosphatase,protein-coding,-,-,-,Serine/threonine protein phosphatase,20200629,-
1582152,26737355,PHICD211_20065,PHICD211_20065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737356,PHICD211_20066,PHICD211_20066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737357,PHICD211_20067,PHICD211_20067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737358,PHICD211_20068,PHICD211_20068,-,-,-,-,Zinc-finger domain protein DNA primase,protein-coding,-,-,-,Zinc-finger domain protein DNA primase,20200629,-
1582152,26737359,PHICD211_20069,PHICD211_20069,-,-,-,-,Helicase,protein-coding,-,-,-,Helicase,20200629,-
1582152,26737360,PHICD211_20070,PHICD211_20070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737361,PHICD211_20071,PHICD211_20071,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210417,-
1582152,26737362,PHICD211_20072,PHICD211_20072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737363,PHICD211_20073,PHICD211_20073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737364,PHICD211_20074,PHICD211_20074,-,-,-,-,conserved exported protein of unknown function,protein-coding,-,-,-,conserved exported protein of unknown function,20200905,-
1582152,26737365,PHICD211_20075,PHICD211_20075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737366,PHICD211_20076,PHICD211_20076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737367,PHICD211_20077,PHICD211_20077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737368,PHICD211_20078,PHICD211_20078,-,-,-,-,PcfJ domain-containing protein,protein-coding,-,-,-,PcfJ domain-containing protein,20201221,-
1582152,26737369,PHICD211_20079,PHICD211_20079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737370,PHICD211_20080,PHICD211_20080,-,-,-,-,Initiation-control protein YabA,protein-coding,-,-,-,Initiation-control protein YabA,20200629,-
1582152,26737371,PHICD211_20081,PHICD211_20081,-,-,-,-,PHP domain-containing protein,protein-coding,-,-,-,PHP domain-containing protein,20201221,-
1582152,26737372,PHICD211_20082,PHICD211_20082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737373,PHICD211_20083,PHICD211_20083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737374,PHICD211_20084,PHICD211_20084,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200905,-
1582152,26737375,PHICD211_20085,PHICD211_20085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737376,PHICD211_20086,PHICD211_20086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582152,26737377,PHICD211_29086,PHICD211_29086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737378,PHICD211_20088,PHICD211_20088,-,-,-,-,putative Replicase domain protein,protein-coding,-,-,-,putative Replicase domain protein,20200629,-
1582152,26737379,PHICD211_20089,PHICD211_20089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737380,PHICD211_20090,PHICD211_20090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737381,PHICD211_20091,PHICD211_20091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737382,PHICD211_20092,PHICD211_20092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737383,PHICD211_20093,PHICD211_20093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737384,PHICD211_20094,PHICD211_20094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737385,PHICD211_20095,PHICD211_20095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737386,PHICD211_20096,PHICD211_20096,-,-,-,-,RNA-splicing ligase RtcB,protein-coding,-,-,-,RNA-splicing ligase RtcB,20210424,-
1582152,26737387,PHICD211_20097,PHICD211_20097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737388,PHICD211_20098,PHICD211_20098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737389,PHICD211_20099,PHICD211_20099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737390,PHICD211_20100,PHICD211_20100,-,-,-,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20210406,-
1582152,26737391,PHICD211_20101,PHICD211_20101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737392,PHICD211_29101,PHICD211_29101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737393,PHICD211_20103,PHICD211_20103,-,-,-,-,Transposase,protein-coding,-,-,-,Transposase,20200629,-
1582152,26737394,PHICD211_20104,PHICD211_20104,-,-,-,-,Transposase,protein-coding,-,-,-,Transposase,20200629,-
1582152,26737395,PHICD211_20105,PHICD211_20105,-,-,-,-,Hydrogenase nickel incorporation protein HypA,protein-coding,-,-,-,Hydrogenase nickel incorporation protein HypA,20200629,-
1582152,26737396,PHICD211_20106,PHICD211_20106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737397,PHICD211_29106,PHICD211_29106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737398,PHICD211_20108,PHICD211_20108,-,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20201221,-
1582152,26737399,PHICD211_20109,PHICD211_20109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737400,PHICD211_20110,PHICD211_20110,-,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20200629,-
1582152,26737401,PHICD211_20111,PHICD211_20111,-,-,-,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200629,-
1582152,26737402,PHICD211_20112,PHICD211_20112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737403,PHICD211_20113,PHICD211_20113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737404,PHICD211_20114,PHICD211_20114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737405,PHICD211_20115,PHICD211_20115,-,-,-,-,Transposase,protein-coding,-,-,-,Transposase,20200905,-
1582152,26737406,PHICD211_20116,PHICD211_20116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737407,kptA,PHICD211_20117,-,-,-,-,RNA 2'-phosphotransferase,protein-coding,-,-,-,RNA 2'-phosphotransferase,20200629,-
1582152,26737408,PHICD211_20119,PHICD211_20119,-,-,-,-,DUF3850 domain-containing protein,protein-coding,-,-,-,DUF3850 domain-containing protein,20210406,-
1582152,26737409,PHICD211_20120,PHICD211_20120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737410,PHICD211_20121,PHICD211_20121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737411,PHICD211_20122,PHICD211_20122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737412,PHICD211_20123,PHICD211_20123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737413,PHICD211_20124,PHICD211_20124,-,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20210424,-
1582152,26737414,PHICD211_20125,PHICD211_20125,-,-,-,-,putative phage-related DNA binding protein,protein-coding,-,-,-,putative phage-related DNA binding protein,20200629,-
1582152,26737415,PHICD211_20126,PHICD211_20126,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737416,PHICD211_20127,PHICD211_20127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737417,PHICD211_20128,PHICD211_20128,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737418,PHICD211_20129,PHICD211_20129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737419,PHICD211_20130,PHICD211_20130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737420,PHICD211_20131,PHICD211_20131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737421,PHICD211_20132,PHICD211_20132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737422,PHICD211_20133,PHICD211_20133,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1582152,26737423,PHICD211_20134,PHICD211_20134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737424,PHICD211_20135,PHICD211_20135,-,-,-,-,retropepsin-like domain-containing protein,protein-coding,-,-,-,retropepsin-like domain-containing protein,20201221,-
1582152,26737425,PHICD211_20136,PHICD211_20136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737426,PHICD211_20137,PHICD211_20137,-,-,-,-,helix-turn-helix2C Psq domain,protein-coding,-,-,-,helix-turn-helix2C Psq domain,20200629,-
1582152,26737427,PHICD211_20138,PHICD211_20138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737428,PHICD211_20139,PHICD211_20139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737429,PHICD211_20140,PHICD211_20140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737430,PHICD211_20141,PHICD211_20141,-,-,-,-,type II toxin-antitoxin system death-on-curing family toxin,protein-coding,-,-,-,type II toxin-antitoxin system death-on-curing family toxin,20210424,-
1582152,26737431,PHICD211_20142,PHICD211_20142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737432,PHICD211_20143,PHICD211_20143,-,-,-,-,Integrase,protein-coding,-,-,-,Integrase,20200629,-
1582152,26737433,PHICD211_20144,PHICD211_20144,-,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,protein-coding,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,20201221,-
1582152,26737434,PHICD211_20145,PHICD211_20145,-,-,-,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20210406,-
1582152,26737435,PHICD211_20146,PHICD211_20146,-,-,-,-,CRISPR-associated endonuclease Cas3-HD,protein-coding,-,-,-,CRISPR-associated endonuclease Cas3-HD,20200629,-
1582152,26737436,PHICD211_20147,PHICD211_20147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737437,PHICD211_20148,PHICD211_20148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737438,PHICD211_20149,PHICD211_20149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737439,PHICD211_20150,PHICD211_20150,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737440,PHICD211_20151,PHICD211_20151,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
1582152,26737441,PHICD211_20152,PHICD211_20152,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210529,-
1582152,26737442,PHICD211_20153,PHICD211_20153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1582152,26737443,PHICD211_20154,PHICD211_20154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737444,PHICD211_20155,PHICD211_20155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737445,PHICD211_20156,PHICD211_20156,-,-,-,-,exported protein of unknown function,protein-coding,-,-,-,exported protein of unknown function,20200629,-
1582152,26737446,PHICD211_29156,PHICD211_29156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737447,PHICD211_20158,PHICD211_20158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737448,PHICD211_20159,PHICD211_20159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737449,PHICD211_20160,PHICD211_20160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737450,PHICD211_20161,PHICD211_20161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737451,PHICD211_20162,PHICD211_20162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737452,PHICD211_29162,PHICD211_29162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737453,PHICD211_20164,PHICD211_20164,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737454,PHICD211_20165,PHICD211_20165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737455,PHICD211_20166,PHICD211_20166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737456,PHICD211_20167,PHICD211_20167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737457,PHICD211_20168,PHICD211_20168,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737458,PHICD211_20169,PHICD211_20169,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737459,PHICD211_29169,PHICD211_29169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737460,PHICD211_20171,PHICD211_20171,-,-,-,-,30S ribosomal protein S3,protein-coding,-,-,-,30S ribosomal protein S3,20200629,-
1582152,26737461,PHICD211_20172,PHICD211_20172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737462,PHICD211_20173,PHICD211_20173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737463,PHICD211_20174,PHICD211_20174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737464,PHICD211_20175,PHICD211_20175,-,-,-,-,Response regulator,protein-coding,-,-,-,Response regulator,20200629,-
1582152,26737465,PHICD211_20176,PHICD211_20176,-,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210417,-
1582152,26737466,PHICD211_2tRNA1,PHICD211_2tRNA1,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1582152,26737467,PHICD211_20178,PHICD211_20178,-,-,-,-,Exonuclease,protein-coding,-,-,-,Exonuclease,20200905,-
1582152,26737468,PHICD211_20025,PHICD211_20025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737469,PHICD211_27023,PHICD211_27023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737470,PHICD211_20170,PHICD211_20170,-,-,-,-,ParM/StbA family protein,protein-coding,-,-,-,ParM/StbA family protein,20201221,-
1582152,26737471,PHICD211_20017,PHICD211_20017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737472,PHICD211_20018,PHICD211_20018,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1582152,26737473,PHICD211_28023,PHICD211_28023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737474,PHICD211_20049,PHICD211_20049,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210424,-
1582152,26737475,PHICD211_20087,PHICD211_20087,-,-,-,-,DUF5052 family protein,protein-coding,-,-,-,DUF5052 family protein,20210406,-
1582152,26737476,PHICD211_20102,PHICD211_20102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737477,PHICD211_20107,PHICD211_20107,-,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,20201221,-
1582152,26737478,PHICD211_20157,PHICD211_20157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1582152,26737479,PHICD211_20163,PHICD211_20163,-,-,-,-,antirestriction protein ArdA,protein-coding,-,-,-,antirestriction protein ArdA,20201221,-
1582152,26737480,PHICD211_28169,PHICD211_28169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
