#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
149385,25026624,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella hadar).,other,-,-,-,-,20190422,-
149385,39754312,CVJ63_RS23030,CVJ63_RS23030,CVJ63_23030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754313,CVJ63_RS23045,CVJ63_RS23045,CVJ63_23045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754314,CVJ63_RS22930,CVJ63_RS22930,CVJ63_22930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
149385,39754315,CVJ63_RS22975,CVJ63_RS22975,CVJ63_22975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754316,CVJ63_RS23055,CVJ63_RS23055,CVJ63_23055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
149385,39754317,CVJ63_RS22995,CVJ63_RS22995,CVJ63_22995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754318,CVJ63_RS23065,CVJ63_RS23065,CVJ63_23065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754319,CVJ63_RS23005,CVJ63_RS23005,CVJ63_23005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754321,CVJ63_RS22955,CVJ63_RS22955,CVJ63_22955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754322,CVJ63_RS23110,CVJ63_RS23110,CVJ63_23110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754323,CVJ63_RS22970,CVJ63_RS22970,CVJ63_22970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754324,CVJ63_RS22965,CVJ63_RS22965,CVJ63_22965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754325,CVJ63_RS23090,CVJ63_RS23090,CVJ63_23090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754327,CVJ63_RS22925,CVJ63_RS22925,CVJ63_22925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754328,CVJ63_RS23000,CVJ63_RS23000,CVJ63_23000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754329,CVJ63_RS23025,CVJ63_RS23025,CVJ63_23025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
149385,39754330,CVJ63_RS22960,CVJ63_RS22960,CVJ63_22960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754331,CVJ63_RS22915,CVJ63_RS22915,CVJ63_22915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754332,CVJ63_RS22985,CVJ63_RS22985,CVJ63_22985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754333,CVJ63_RS22935,CVJ63_RS22935,CVJ63_22935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754334,CVJ63_RS23035,CVJ63_RS23035,CVJ63_23035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754335,CVJ63_RS22910,CVJ63_RS22910,CVJ63_22910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754338,CVJ63_RS23085,CVJ63_RS23085,CVJ63_23085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754339,CVJ63_RS23105,CVJ63_RS23105,CVJ63_23105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
149385,39754340,CVJ63_RS23075,CVJ63_RS23075,CVJ63_23075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754342,CVJ63_RS23100,CVJ63_RS23100,CVJ63_23100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754343,CVJ63_RS23060,CVJ63_RS23060,CVJ63_23060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754344,CVJ63_RS22990,CVJ63_RS22990,CVJ63_22990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754345,CVJ63_RS23080,CVJ63_RS23080,CVJ63_23080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754346,CVJ63_RS22920,CVJ63_RS22920,CVJ63_22920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754347,CVJ63_RS22945,CVJ63_RS22945,CVJ63_22945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754348,CVJ63_RS22950,CVJ63_RS22950,CVJ63_22950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754349,CVJ63_RS23015,CVJ63_RS23015,CVJ63_23015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754350,CVJ63_RS22980,CVJ63_RS22980,CVJ63_22980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754351,CVJ63_RS22940,CVJ63_RS22940,CVJ63_22940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
149385,39754354,CVJ63_RS23140,CVJ63_RS23140,CVJ63_23140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
149385,39754357,CVJ63_RS23135,CVJ63_RS23135,CVJ63_23135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
