#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089178,FDI45_gp065,FDI45_gp065,RISINGSUN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089179,FDI45_gp066,FDI45_gp066,RISINGSUN_66,-,-,-,putative phiKZ-like internal head protein,protein-coding,-,-,-,putative phiKZ-like internal head protein,20201221,-
2026080,40089180,FDI45_gp067,FDI45_gp067,RISINGSUN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089181,FDI45_gp068,FDI45_gp068,RISINGSUN_68,-,-,-,putative phiKZ-like internal head protein,protein-coding,-,-,-,putative phiKZ-like internal head protein,20201221,-
2026080,40089182,FDI45_gp069,FDI45_gp069,RISINGSUN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089183,FDI45_gp070,FDI45_gp070,RISINGSUN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089184,FDI45_gp071,FDI45_gp071,RISINGSUN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089185,FDI45_gp072,FDI45_gp072,RISINGSUN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089186,FDI45_gp073,FDI45_gp073,RISINGSUN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089187,FDI45_gp074,FDI45_gp074,RISINGSUN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089188,FDI45_gp075,FDI45_gp075,RISINGSUN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089189,FDI45_gp076,FDI45_gp076,RISINGSUN_76,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089190,FDI45_gp077,FDI45_gp077,RISINGSUN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089191,FDI45_gp078,FDI45_gp078,RISINGSUN_78,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089192,FDI45_gp079,FDI45_gp079,RISINGSUN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089193,FDI45_gp080,FDI45_gp080,RISINGSUN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089194,FDI45_gp081,FDI45_gp081,RISINGSUN_81,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
2026080,40089195,FDI45_gp082,FDI45_gp082,RISINGSUN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089196,FDI45_gp083,FDI45_gp083,RISINGSUN_83,-,-,-,putative capsid and scaffold protein,protein-coding,-,-,-,putative capsid and scaffold protein,20201221,-
2026080,40089197,FDI45_gp084,FDI45_gp084,RISINGSUN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089198,FDI45_gp085,FDI45_gp085,RISINGSUN_85,-,-,-,putative RNA polymerase beta prime subunit,protein-coding,-,-,-,putative RNA polymerase beta prime subunit,20201221,-
2026080,40089199,FDI45_gp086,FDI45_gp086,RISINGSUN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089200,FDI45_gp087,FDI45_gp087,RISINGSUN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089201,FDI45_gp088,FDI45_gp088,RISINGSUN_88,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
2026080,40089202,FDI45_gp089,FDI45_gp089,RISINGSUN_89,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
