#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108115,56166895,H3H24_gp02,H3H24_gp02,SH2026Stx1_00002,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210424,-
2108115,56166928,H3H24_gp35,H3H24_gp35,SH2026Stx1_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166929,H3H24_gp36,H3H24_gp36,SH2026Stx1_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166930,H3H24_gp37,H3H24_gp37,SH2026Stx1_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166931,H3H24_gp38,H3H24_gp38,SH2026Stx1_00038,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210212,-
2108115,56166932,H3H24_gp39,H3H24_gp39,SH2026Stx1_00039,-,-,-,NinG protein,protein-coding,-,-,-,NinG protein,20200926,-
2108115,56166933,H3H24_gp40,H3H24_gp40,SH2026Stx1_00040,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20201003,-
2108115,56166934,H3H24_gp41,H3H24_gp41,SH2026Stx1_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108115,56166935,H3H24_gp42,H3H24_gp42,SH2026Stx1_00042,-,-,-,Shiga toxin 1 subunit A,protein-coding,-,-,-,Shiga toxin 1 subunit A,20210212,-
2108115,56166936,H3H24_gp43,H3H24_gp43,SH2026Stx1_00043,-,-,-,Shiga toxin 1 subunit B,protein-coding,-,-,-,Shiga toxin 1 subunit B,20210212,-
2108115,56166937,H3H24_gp44,H3H24_gp44,SH2026Stx1_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166938,H3H24_gp45,H3H24_gp45,SH2026Stx1_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108115,56166939,H3H24_gp46,H3H24_gp46,SH2026Stx1_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166940,H3H24_gp47,H3H24_gp47,SH2026Stx1_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166941,H3H24_gp48,H3H24_gp48,SH2026Stx1_00048,-,-,-,lysis protein S,protein-coding,-,-,-,lysis protein S,20210129,-
2108115,56166942,H3H24_gp49,H3H24_gp49,SH2026Stx1_00049,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200905,-
2108115,56166943,H3H24_gp50,H3H24_gp50,SH2026Stx1_00050,-,-,-,anti-repressor protein Ant,protein-coding,-,-,-,anti-repressor protein Ant,20210406,-
2108115,56166944,H3H24_gp51,H3H24_gp51,SH2026Stx1_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166945,H3H24_gp52,H3H24_gp52,SH2026Stx1_00052,-,-,-,Rz lysis protein,protein-coding,-,-,-,Rz lysis protein,20210406,-
2108115,56166946,H3H24_gp53,H3H24_gp53,SH2026Stx1_00079,-,-,-,outer membrane lipoprotein Rz1,protein-coding,-,-,-,outer membrane lipoprotein Rz1,20200926,-
2108115,56166947,H3H24_gp55,H3H24_gp55,SH2026Stx1_00054,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200728,-
2108115,56166948,H3H24_gp56,H3H24_gp56,SH2026Stx1_00055,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20200829,-
2108115,56166949,H3H24_gp57,H3H24_gp57,SH2026Stx1_00056,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200728,-
2108115,56166950,H3H24_gp58,H3H24_gp58,SH2026Stx1_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166951,H3H24_gp59,H3H24_gp59,SH2026Stx1_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2108115,56166952,H3H24_gp60,H3H24_gp60,SH2026Stx1_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166953,H3H24_gp61,H3H24_gp61,SH2026Stx1_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166954,H3H24_gp62,H3H24_gp62,SH2026Stx1_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166955,H3H24_gp63,H3H24_gp63,SH2026Stx1_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166956,H3H24_gp64,H3H24_gp64,SH2026Stx1_00063,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2108115,56166957,H3H24_gp65,H3H24_gp65,SH2026Stx1_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166958,H3H24_gp66,H3H24_gp66,SH2026Stx1_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2108115,56166959,H3H24_gp67,H3H24_gp67,SH2026Stx1_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166960,H3H24_gp68,H3H24_gp68,SH2026Stx1_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166961,H3H24_gp69,H3H24_gp69,SH2026Stx1_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166962,H3H24_gp70,H3H24_gp70,SH2026Stx1_00069,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20200728,-
2108115,56166963,H3H24_gp71,H3H24_gp71,SH2026Stx1_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166964,H3H24_gp72,H3H24_gp72,SH2026Stx1_00071,-,-,-,Lom,protein-coding,-,-,-,Lom,20210406,-
2108115,56166965,H3H24_gp73,H3H24_gp73,SH2026Stx1_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2108115,56166966,H3H24_gp74,H3H24_gp74,SH2026Stx1_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166967,H3H24_gp75,H3H24_gp75,SH2026Stx1_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166968,H3H24_gp76,H3H24_gp76,SH2026Stx1_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166969,H3H24_gp77,H3H24_gp77,SH2026Stx1_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166970,H3H24_gp78,H3H24_gp78,SH2026Stx1_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2108115,56166971,H3H24_gp79,H3H24_gp79,SH2026Stx1_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2108115,56166972,H3H24_gp54,H3H24_gp54,SH2026Stx1_00053,-,-,-,Bor protein,protein-coding,-,-,-,Bor protein,20210212,-
2108115,56166973,H3H24_gp01,H3H24_gp01,SH2026Stx1_00001,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2108115,56238769,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200729,-
