#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897532,40072406,2,FDH08_gp02,B22_2,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1897532,40072428,24,FDH08_gp24,B22_24,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
1897532,40072429,25,FDH08_gp25,B22_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1897532,40072430,26,FDH08_gp26,B22_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072431,27,FDH08_gp27,B22_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072432,28,FDH08_gp28,B22_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072433,29,FDH08_gp29,B22_29,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1897532,40072434,30,FDH08_gp30,B22_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072435,31,FDH08_gp31,B22_31,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1897532,40072436,32,FDH08_gp32,B22_32,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1897532,40072437,33,FDH08_gp33,B22_33,-,-,-,antirepressor KilAC domain-containing protein,protein-coding,-,-,-,antirepressor KilAC domain-containing protein,20201221,-
1897532,40072438,34,FDH08_gp34,B22_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072439,36,FDH08_gp36,B22_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072440,37,FDH08_gp37,B22_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072441,38,FDH08_gp38,B22_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072442,39,FDH08_gp39,B22_39,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,protein-coding,-,-,-,PD-(D/E)XK nuclease-like domain-containing protein,20201221,-
1897532,40072443,40,FDH08_gp40,B22_40,-,-,-,RecT,protein-coding,-,-,-,RecT,20200629,-
1897532,40072444,41,FDH08_gp41,B22_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072445,42,FDH08_gp42,B22_42,-,-,-,WhiB family transcriptional regulator,protein-coding,-,-,-,WhiB family transcriptional regulator,20201221,-
1897532,40072446,43,FDH08_gp43,B22_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072447,44,FDH08_gp44,B22_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072448,45,FDH08_gp45,B22_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072449,46,FDH08_gp46,B22_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072450,47,FDH08_gp47,B22_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072451,48,FDH08_gp48,B22_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072452,49,FDH08_gp49,B22_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072453,50,FDH08_gp50,B22_50,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
1897532,40072454,51,FDH08_gp51,B22_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072455,52,FDH08_gp52,B22_52,-,-,-,RusA,protein-coding,-,-,-,RusA,20200629,-
1897532,40072456,53,FDH08_gp53,B22_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072457,54,FDH08_gp54,B22_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072458,55,FDH08_gp55,B22_55,-,-,-,single-stranded DNA binding domain protein,protein-coding,-,-,-,single-stranded DNA binding domain protein,20200629,-
1897532,40072459,56,FDH08_gp56,B22_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072460,57,FDH08_gp57,B22_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072461,58,FDH08_gp58,B22_58,-,-,-,sigma-70 family RNA polymerase sigma factor,protein-coding,-,-,-,sigma-70 family RNA polymerase sigma factor,20201221,-
1897532,40072462,59,FDH08_gp59,B22_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072463,60,FDH08_gp60,B22_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072464,61,FDH08_gp61,B22_61,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1897532,40072465,35,FDH08_gp35,B22_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40072466,1,FDH08_gp01,B22_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897532,40120341,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
