#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250364,60332346,2,I5H74_gp002,SEA_OLYMPIASAINT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250364,60332368,24,I5H74_gp024,SEA_OLYMPIASAINT_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2250364,60332369,25,I5H74_gp025,SEA_OLYMPIASAINT_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2250364,60332370,26,I5H74_gp026,SEA_OLYMPIASAINT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332371,27,I5H74_gp027,SEA_OLYMPIASAINT_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332372,28,I5H74_gp028,SEA_OLYMPIASAINT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332373,29,I5H74_gp029,SEA_OLYMPIASAINT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332374,30,I5H74_gp030,SEA_OLYMPIASAINT_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2250364,60332375,31,I5H74_gp031,SEA_OLYMPIASAINT_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2250364,60332376,32,I5H74_gp032,SEA_OLYMPIASAINT_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2250364,60332377,33,I5H74_gp033,SEA_OLYMPIASAINT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2250364,60332378,34,I5H74_gp034,SEA_OLYMPIASAINT_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332379,35,I5H74_gp035,SEA_OLYMPIASAINT_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2250364,60332380,36,I5H74_gp036,SEA_OLYMPIASAINT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332381,37,I5H74_gp037,SEA_OLYMPIASAINT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332382,38,I5H74_gp038,SEA_OLYMPIASAINT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332383,39,I5H74_gp039,SEA_OLYMPIASAINT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332384,40,I5H74_gp040,SEA_OLYMPIASAINT_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2250364,60332385,41,I5H74_gp041,SEA_OLYMPIASAINT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332386,42,I5H74_gp042,SEA_OLYMPIASAINT_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2250364,60332387,43,I5H74_gp043,SEA_OLYMPIASAINT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332388,44,I5H74_gp044,SEA_OLYMPIASAINT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332389,45,I5H74_gp045,SEA_OLYMPIASAINT_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2250364,60332390,46,I5H74_gp046,SEA_OLYMPIASAINT_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2250364,60332391,47,I5H74_gp047,SEA_OLYMPIASAINT_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2250364,60332392,48,I5H74_gp048,SEA_OLYMPIASAINT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332393,49,I5H74_gp049,SEA_OLYMPIASAINT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332394,50,I5H74_gp050,SEA_OLYMPIASAINT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2250364,60332395,51,I5H74_gp051,SEA_OLYMPIASAINT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250364,60332396,52,I5H74_gp052,SEA_OLYMPIASAINT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332397,53,I5H74_gp053,SEA_OLYMPIASAINT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332398,54,I5H74_gp054,SEA_OLYMPIASAINT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332399,55,I5H74_gp055,SEA_OLYMPIASAINT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332400,56,I5H74_gp056,SEA_OLYMPIASAINT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332401,57,I5H74_gp057,SEA_OLYMPIASAINT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332402,58,I5H74_gp058,SEA_OLYMPIASAINT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250364,60332403,59,I5H74_gp059,SEA_OLYMPIASAINT_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2250364,60332404,60,I5H74_gp060,SEA_OLYMPIASAINT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2250364,60332405,61,I5H74_gp061,SEA_OLYMPIASAINT_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2250364,60332406,62,I5H74_gp062,SEA_OLYMPIASAINT_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2250364,60332407,63,I5H74_gp063,SEA_OLYMPIASAINT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332408,64,I5H74_gp064,SEA_OLYMPIASAINT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332409,65,I5H74_gp065,SEA_OLYMPIASAINT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332410,66,I5H74_gp066,SEA_OLYMPIASAINT_66,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2250364,60332411,67,I5H74_gp067,SEA_OLYMPIASAINT_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2250364,60332412,68,I5H74_gp068,SEA_OLYMPIASAINT_68,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2250364,60332413,69,I5H74_gp069,SEA_OLYMPIASAINT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332414,70,I5H74_gp070,SEA_OLYMPIASAINT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332415,71,I5H74_gp071,SEA_OLYMPIASAINT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332416,72,I5H74_gp072,SEA_OLYMPIASAINT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332417,74,I5H74_gp074,SEA_OLYMPIASAINT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332418,75,I5H74_gp075,SEA_OLYMPIASAINT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332419,76,I5H74_gp076,SEA_OLYMPIASAINT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332420,77,I5H74_gp077,SEA_OLYMPIASAINT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332421,79,I5H74_gp079,SEA_OLYMPIASAINT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332422,80,I5H74_gp080,SEA_OLYMPIASAINT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332423,81,I5H74_gp081,SEA_OLYMPIASAINT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332424,82,I5H74_gp082,SEA_OLYMPIASAINT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332425,83,I5H74_gp083,SEA_OLYMPIASAINT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332426,84,I5H74_gp084,SEA_OLYMPIASAINT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332427,86,I5H74_gp086,SEA_OLYMPIASAINT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332428,87,I5H74_gp087,SEA_OLYMPIASAINT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332429,88,I5H74_gp088,SEA_OLYMPIASAINT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332430,89,I5H74_gp089,SEA_OLYMPIASAINT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332431,90,I5H74_gp090,SEA_OLYMPIASAINT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332432,91,I5H74_gp091,SEA_OLYMPIASAINT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332433,92,I5H74_gp092,SEA_OLYMPIASAINT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332434,93,I5H74_gp093,SEA_OLYMPIASAINT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332435,94,I5H74_gp094,SEA_OLYMPIASAINT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332436,96,I5H74_gp096,SEA_OLYMPIASAINT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332437,97,I5H74_gp097,SEA_OLYMPIASAINT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332438,98,I5H74_gp098,SEA_OLYMPIASAINT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332439,99,I5H74_gp099,SEA_OLYMPIASAINT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332440,100,I5H74_gp100,SEA_OLYMPIASAINT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332441,101,I5H74_gp101,SEA_OLYMPIASAINT_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332442,102,I5H74_gp102,SEA_OLYMPIASAINT_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332443,103,I5H74_gp103,SEA_OLYMPIASAINT_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332444,104,I5H74_gp104,SEA_OLYMPIASAINT_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332445,105,I5H74_gp105,SEA_OLYMPIASAINT_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250364,60332446,106,I5H74_gp106,SEA_OLYMPIASAINT_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332447,107,I5H74_gp107,SEA_OLYMPIASAINT_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2250364,60332448,95,I5H74_gp095,SEA_OLYMPIASAINT_95,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2250364,60332449,73,I5H74_gp073,SEA_OLYMPIASAINT_73,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210313,-
2250364,60332450,78,I5H74_gp078,SEA_OLYMPIASAINT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332451,85,I5H74_gp085,SEA_OLYMPIASAINT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2250364,60332452,1,I5H74_gp001,SEA_OLYMPIASAINT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2250364,60338679,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
