#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1127518,14011886,F397_gp02,F397_gp02,VchM-138_0002,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1127518,14011933,F397_gp49,F397_gp49,VchM-138_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011934,F397_gp50,F397_gp50,VchM-138_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011935,F397_gp51,F397_gp51,VchM-138_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011936,F397_gp52,F397_gp52,VchM-138_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011937,F397_gp53,F397_gp53,VchM-138_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011938,F397_gp54,F397_gp54,VchM-138_0054,-,-,-,putative tail-fiber/lysozyme protein,protein-coding,-,-,-,putative tail-fiber/lysozyme protein,20201221,-
1127518,14011939,F397_gp55,F397_gp55,VchM-138_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011940,F397_gp56,F397_gp56,VchM-138_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011941,F397_gp57,F397_gp57,VchM-138_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011942,F397_gp58,F397_gp58,VchM-138_0058,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1127518,14011943,F397_gp59,F397_gp59,VchM-138_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011944,F397_gp60,F397_gp60,VchM-138_0060,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1127518,14011945,F397_gp61,F397_gp61,VchM-138_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011946,F397_gp62,F397_gp62,VchM-138_0062,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1127518,14011947,F397_gp63,F397_gp63,VchM-138_0063,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1127518,14011948,F397_gp64,F397_gp64,VchM-138_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011949,F397_gp65,F397_gp65,VchM-138_0065,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1127518,14011950,F397_gp66,F397_gp66,VchM-138_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011951,F397_gp67,F397_gp67,VchM-138_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1127518,14011952,F397_gp01,F397_gp01,VchM-138_0001,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1127518,14023564,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Vibriophage vB_VchM-138).,other,-,-,-,-,20200513,-
