#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2719200,58556977,H6S68_gp08,H6S68_gp08,7_00008,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20210320,-
2719200,58556999,H6S68_gp85,H6S68_gp85,7_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557000,H6S68_gp64,H6S68_gp64,7_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557001,H6S68_gp22,H6S68_gp22,7_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557002,H6S68_gp52,H6S68_gp52,7_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557003,H6S68_gp43,H6S68_gp43,7_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557004,H6S68_gp87,H6S68_gp87,7_00087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719200,58557005,H6S68_gp92,H6S68_gp92,7_00092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719200,58557006,H6S68_gp37,H6S68_gp37,7_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557007,H6S68_gp68,H6S68_gp68,7_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719200,58557008,H6S68_gp31,H6S68_gp31,7_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557009,H6S68_gp05,H6S68_gp05,7_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557010,H6S68_gp30,H6S68_gp30,7_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557011,H6S68_gp03,H6S68_gp03,7_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557012,H6S68_gp82,H6S68_gp82,7_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557013,H6S68_gp54,H6S68_gp54,7_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557014,H6S68_gp28,H6S68_gp28,7_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557015,H6S68_gp74,H6S68_gp74,7_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719200,58557016,H6S68_gp29,H6S68_gp29,7_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557017,H6S68_gp09,H6S68_gp09,7_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557018,H6S68_gp73,H6S68_gp73,7_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557019,H6S68_gp81,H6S68_gp81,7_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557020,H6S68_gp86,H6S68_gp86,7_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557021,H6S68_gp80,H6S68_gp80,7_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557022,H6S68_gp71,H6S68_gp71,7_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557023,H6S68_gp24,H6S68_gp24,7_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557024,H6S68_gp76,H6S68_gp76,7_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557025,H6S68_gp53,H6S68_gp53,7_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557026,H6S68_gp70,H6S68_gp70,7_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719200,58557027,H6S68_gp79,H6S68_gp79,7_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557028,H6S68_gp83,H6S68_gp83,7_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557029,H6S68_gp91,H6S68_gp91,7_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557030,H6S68_gp21,H6S68_gp21,7_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557031,H6S68_gp07,H6S68_gp07,7_00007,-,-,-,DNA polymerase III alpha chain,protein-coding,-,-,-,DNA polymerase III alpha chain,20210320,-
2719200,58557032,H6S68_gp51,H6S68_gp51,7_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557033,H6S68_gp62,H6S68_gp62,7_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557034,H6S68_gp72,H6S68_gp72,7_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557035,H6S68_gp48,H6S68_gp48,7_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557036,H6S68_gp50,H6S68_gp50,7_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557037,H6S68_gp78,H6S68_gp78,7_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2719200,58557038,H6S68_gp57,H6S68_gp57,7_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557039,H6S68_gp02,H6S68_gp02,7_00002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557040,H6S68_gp36,H6S68_gp36,7_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557041,H6S68_gp61,H6S68_gp61,7_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557042,H6S68_gp77,H6S68_gp77,7_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557043,H6S68_gp59,H6S68_gp59,7_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557044,H6S68_gp32,H6S68_gp32,7_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557045,H6S68_gp44,H6S68_gp44,7_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557046,H6S68_gp34,H6S68_gp34,7_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557047,H6S68_gp41,H6S68_gp41,7_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557048,H6S68_gp93,H6S68_gp93,7_00093,-,-,-,ATP dependent DNA ligase,protein-coding,-,-,-,ATP dependent DNA ligase,20210123,-
2719200,58557049,H6S68_gp17,H6S68_gp17,7_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557050,H6S68_gp14,H6S68_gp14,7_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557051,H6S68_gp35,H6S68_gp35,7_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557052,H6S68_gp33,H6S68_gp33,7_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557053,H6S68_gp15,H6S68_gp15,7_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557054,H6S68_gp16,H6S68_gp16,7_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557055,H6S68_gp49,H6S68_gp49,7_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557056,H6S68_gp39,H6S68_gp39,7_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557057,H6S68_gp38,H6S68_gp38,7_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557058,H6S68_gp13,H6S68_gp13,7_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557059,H6S68_gp65,H6S68_gp65,7_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557060,H6S68_gp60,H6S68_gp60,7_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2719200,58557061,H6S68_gp40,H6S68_gp40,7_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557062,H6S68_gp11,H6S68_gp11,7_00011,-,-,-,FAD dependent thymidylate synthase,protein-coding,-,-,-,FAD dependent thymidylate synthase,20210320,-
2719200,58557063,H6S68_gp42,H6S68_gp42,7_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557064,H6S68_gp26,H6S68_gp26,7_00026,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210320,-
2719200,58557065,H6S68_gp58,H6S68_gp58,7_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557066,H6S68_gp46,H6S68_gp46,7_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2719200,58557067,H6S68_gp45,H6S68_gp45,7_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557068,H6S68_gp66,H6S68_gp66,7_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2719200,58557069,H6S68_gp55,H6S68_gp55,7_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58557070,H6S68_gp01,H6S68_gp01,7_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2719200,58729617,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200819,-
