#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673876,26625857,AVT30_gp02,AVT30_gp02,UNIONJACK_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1673876,26625918,AVT30_gp29,AVT30_gp29,UNIONJACK_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625919,AVT30_gp28,AVT30_gp28,UNIONJACK_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625920,AVT30_gp27,AVT30_gp27,UNIONJACK_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625921,AVT30_gp26,AVT30_gp26,UNIONJACK_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200622,-
1673876,26625922,AVT30_gp25,AVT30_gp25,UNIONJACK_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625923,AVT30_gp24,AVT30_gp24,UNIONJACK_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625924,AVT30_gp23,AVT30_gp23,UNIONJACK_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625925,AVT30_gp22,AVT30_gp22,UNIONJACK_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625926,AVT30_gp21,AVT30_gp21,UNIONJACK_71,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200622,-
1673876,26625927,AVT30_gp20,AVT30_gp20,UNIONJACK_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625928,AVT30_gp19,AVT30_gp19,UNIONJACK_73,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200622,-
1673876,26625929,AVT30_gp18,AVT30_gp18,UNIONJACK_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625930,AVT30_gp17,AVT30_gp17,UNIONJACK_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625931,AVT30_gp16,AVT30_gp16,UNIONJACK_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625932,AVT30_gp15,AVT30_gp15,UNIONJACK_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625933,AVT30_gp14,AVT30_gp14,UNIONJACK_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625934,AVT30_gp13,AVT30_gp13,UNIONJACK_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625935,AVT30_gp12,AVT30_gp12,UNIONJACK_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625936,AVT30_gp11,AVT30_gp11,UNIONJACK_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625937,AVT30_gp10,AVT30_gp10,UNIONJACK_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625938,AVT30_gp09,AVT30_gp09,UNIONJACK_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625939,AVT30_gp08,AVT30_gp08,UNIONJACK_84,-,-,-,ArdA-like antirestriction protein,protein-coding,-,-,-,ArdA-like antirestriction protein,20200622,-
1673876,26625940,AVT30_gp07,AVT30_gp07,UNIONJACK_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625941,AVT30_gp06,AVT30_gp06,UNIONJACK_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673876,26625942,AVT30_gp01,AVT30_gp01,UNIONJACK_87,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200622,-
1673876,26680861,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage UnionJack).,other,-,-,-,-,20200513,-
1673876,26793786,AVT30_gp37,AVT30_gp37,UNIONJACK_88,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
