#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
90370,7708554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus typhi; Bacterium (subgen. Eberthella) typhi; Salmonella choleraesuis serovar Typhi; Salmonella choleraesuis typhi; Salmonella enterica ser. typhi; Salmonella enterica serotype Typhi; Salmonella enterica serovar Typhi; Salmonella typhi).,other,-,-,-,-,20210220,-
90370,39664837,SM231186_RS24805,SM231186_RS24805,SM231186_07208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664838,SM231186_RS25165,SM231186_RS25165,SM231186_07107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39664865,SM231186_RS25190,SM231186_RS25190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664866,SM231186_RS25115,SM231186_RS25115,SM231186_07103,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39664897,SM231186_RS24825,SM231186_RS24825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664903,SM231186_RS25100,SM231186_RS25100,SM231186_07112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664911,SM231186_RS24755,SM231186_RS24755,SM231186_07182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664919,SM231186_RS25290,SM231186_RS25290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664920,SM231186_RS25260,SM231186_RS25260,SM231186_07258,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664926,SM231186_RS25020,SM231186_RS25020,SM231186_07156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664929,SM231186_RS24705,SM231186_RS24705,SM231186_07196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664931,SM231186_RS25075,SM231186_RS25075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664934,SM231186_RS25270,SM231186_RS25270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664935,SM231186_RS24715,SM231186_RS24715,SM231186_07191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39664954,SM219186_RS00075,SM219186_RS00075,SM219186_07074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664960,SM219186_RS00915,SM219186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664969,SM219186_RS00825,SM219186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664970,SM219186_RS01020,SM219186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664989,SM219186_RS00810,SM219186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664991,SM219186_RS00190,SM219186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39665004,SM219186_RS01110,SM219186_RS01110,SM219186_07243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39665048,SM219186_RS00770,SM219186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665059,SM219186_RS00195,SM219186_RS00195,SM219186_07091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39665070,SM219186_RS00875,SM219186_RS00875,SM219186_07314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665072,SM219186_RS00500,SM219186_RS00500,SM219186_07312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665102,SM219186_RS00555,SM219186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665112,SM219186_RS01025,SM219186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665120,SM219186_RS00345,SM219186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665124,SM219186_RS00715,SM219186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665162,SM219186_RS00110,SM219186_RS00110,SM219186_07306,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665168,SM219186_RS01200,SM219186_RS01200,SM219186_07311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665192,SM219186_RS00950,SM219186_RS00950,SM219186_07321,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665200,SM219186_RS00955,SM219186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665231,SM249107_RS00370,SM249107_RS00370,SM249107_07032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665239,SM249107_RS00330,SM249107_RS00330,SM249107_07080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39665281,SM249107_RS00120,SM249107_RS00120,SM249107_06983,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39665285,SM249107_RS00095,SM249107_RS00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665288,SM249107_RS00080,SM249107_RS00080,SM249107_06970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665302,SM249107_RS00010,SM249107_RS00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665319,SM202113_RS24980,SM202113_RS24980,SM202113_00078,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39665325,SM202113_RS24710,SM202113_RS24710,SM202113_07112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665326,SM202113_RS24905,SM202113_RS24905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665333,SM202113_RS24700,SM202113_RS24700,SM202113_07110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39665337,SM202113_RS25020,SM202113_RS25020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665360,SM202113_RS24610,SM202113_RS24610,SM202113_07097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665361,SM202113_RS24805,SM202113_RS24805,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665378,SM202113_RS24590,SM202113_RS24590,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665382,SM202113_RS24835,SM202113_RS24835,SM202113_07125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665386,SM202113_RS24995,SM202113_RS24995,SM202113_06151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665390,SM202113_RS25030,SM202113_RS25030,SM202113_06160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39665392,SM202113_RS24825,SM202113_RS24825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665398,SM202113_RS25075,SM202113_RS25075,SM202113_06165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665421,SM202113_RS24660,SM202113_RS24660,SM202113_07092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665429,SM202113_RS24930,SM202113_RS24930,SM202113_06149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39665453,SM282186_RS24850,SM282186_RS24850,SM282186_06144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39665472,SM282186_RS24745,SM282186_RS24745,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665474,SM282186_RS24995,SM282186_RS24995,SM282186_06161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665476,SM282186_RS24825,SM282186_RS24825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665483,SM282186_RS24950,SM282186_RS24950,SM282186_06154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39665484,SM282186_RS24580,SM282186_RS24580,SM282186_07098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665496,SM282186_RS25210,SM282186_RS25210,SM282186_07151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665515,SM282186_RS24940,SM282186_RS24940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665523,SM282186_RS24900,SM282186_RS24900,SM282186_00081,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39665526,SM282186_RS24725,SM282186_RS24725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665529,SM282186_RS24620,SM282186_RS24620,SM282186_07103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39665549,SM282186_RS24915,SM282186_RS24915,SM282186_06151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665553,SM282186_RS25190,SM282186_RS25190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665566,SM282186_RS24755,SM282186_RS24755,SM282186_07117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665568,SM282186_RS24630,SM282186_RS24630,SM282186_07094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665580,SM221186_RS24485,SM221186_RS24485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665591,SM221186_RS25030,SM221186_RS25030,SM221186_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665601,SM221186_RS24995,SM221186_RS24995,SM221186_07157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665606,SM221186_RS24785,SM221186_RS24785,SM221186_07106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39665627,SM221186_RS25420,SM221186_RS25420,SM221186_07296,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665639,SM221186_RS25475,SM221186_RS25475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665640,SM221186_RS24700,SM221186_RS24700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665659,SM221186_RS24590,SM221186_RS24590,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665679,SM221186_RS25110,SM221186_RS25110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39665687,SM221186_RS25265,SM221186_RS25265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665688,SM221186_RS24875,SM221186_RS24875,SM221186_07311,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665689,SM221186_RS24500,SM221186_RS24500,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665695,SM221186_RS25635,SM221186_RS25635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665720,SM221186_RS24630,SM221186_RS24630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665726,SM221186_RS25115,SM221186_RS25115,SM221186_07180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39665727,SM221186_RS24695,SM221186_RS24695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665741,SM221186_RS24550,SM221186_RS24550,SM221186_07291,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665788,SM221186_RS24625,SM221186_RS24625,SM221186_07315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665800,SM221186_RS25690,SM221186_RS25690,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665841,SM218186_RS25090,SM218186_RS25090,SM218186_07313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665842,SM218186_RS25250,SM218186_RS25250,SM218186_07190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39665856,SM218186_RS24950,SM218186_RS24950,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665876,SM218186_RS25095,SM218186_RS25095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665887,SM218186_RS24480,SM218186_RS24480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665891,SM218186_RS25055,SM218186_RS25055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665899,SM218186_RS25015,SM218186_RS25015,SM218186_07312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665916,SM218186_RS25160,SM218186_RS25160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665921,SM218186_RS24910,SM218186_RS24910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665922,SM218186_RS24485,SM218186_RS24485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665926,SM218186_RS24640,SM218186_RS24640,SM218186_07335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665943,SM218186_RS25340,SM218186_RS25340,SM218186_07319,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39665962,SM218186_RS24965,SM218186_RS24965,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665971,SM218186_RS25165,SM218186_RS25165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39665999,SM218186_RS24855,SM218186_RS24855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666010,SM218186_RS25495,SM218186_RS25495,SM218186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666016,SM218186_RS25460,SM218186_RS25460,SM218186_07233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666031,SM218186_RS25575,SM218186_RS25575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39666043,SM218186_RS25580,SM218186_RS25580,SM218186_07254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39666046,SM218186_RS24695,SM218186_RS24695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666076,SM216103_RS24765,SM216103_RS24765,SM216103_06039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666079,SM216103_RS24845,SM216103_RS24845,SM216103_06047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666104,SM216103_RS24575,SM216103_RS24575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666115,SM216103_RS24790,SM216103_RS24790,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666116,SM216103_RS25110,SM216103_RS25110,SM216103_07123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666127,SM216103_RS25160,SM216103_RS25160,SM216103_07132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666154,SM216103_RS25150,SM216103_RS25150,SM216103_07129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39666166,SM216103_RS24700,SM216103_RS24700,SM216103_06030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39666172,SM216103_RS24675,SM216103_RS24675,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666183,SM216103_RS25060,SM216103_RS25060,SM216103_07116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666186,SM216103_RS24750,SM216103_RS24750,SM216103_00082,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39666188,SM216103_RS24800,SM216103_RS24800,SM216103_06040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39666192,SM216103_RS25040,SM216103_RS25040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666197,SM216103_RS24595,SM216103_RS24595,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666206,SM216103_RS24605,SM216103_RS24605,SM216103_07068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666229,SM215186_RS24785,SM215186_RS24785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666233,SM215186_RS25465,SM215186_RS25465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666244,SM215186_RS25550,SM215186_RS25550,SM215186_06334,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39666245,SM215186_RS25265,SM215186_RS25265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666260,SM215186_RS25395,SM215186_RS25395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666274,SM215186_RS25640,SM215186_RS25640,SM215186_07286,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666280,SM215186_RS25355,SM215186_RS25355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666281,SM215186_RS25155,SM215186_RS25155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666315,SM215186_RS25460,SM215186_RS25460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666333,SM215186_RS24635,SM215186_RS24635,SM215186_06186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39666336,SM215186_RS24550,SM215186_RS24550,SM215186_07299,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666343,SM215186_RS25315,SM215186_RS25315,SM215186_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666356,SM215186_RS25390,SM215186_RS25390,SM215186_07293,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666361,SM215186_RS24630,SM215186_RS24630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39666368,SM215186_RS24940,SM215186_RS24940,SM215186_07304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666375,SM215186_RS24515,SM215186_RS24515,SM215186_06151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666413,SM215186_RS25210,SM215186_RS25210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666414,SM215186_RS25250,SM215186_RS25250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666438,SM215186_RS24995,SM215186_RS24995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666463,SM214186_RS24515,SM214186_RS24515,SM214186_07069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666470,SM214186_RS25390,SM214186_RS25390,SM214186_07313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666486,SM214186_RS24550,SM214186_RS24550,SM214186_07295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666489,SM214186_RS25315,SM214186_RS25315,SM214186_07293,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666518,SM214186_RS25640,SM214186_RS25640,SM214186_07304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666552,SM214186_RS25550,SM214186_RS25550,SM214186_07240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39666556,SM214186_RS24940,SM214186_RS24940,SM214186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666562,SM214186_RS24785,SM214186_RS24785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666597,SM214186_RS25460,SM214186_RS25460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666613,SM214186_RS25250,SM214186_RS25250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666614,SM214186_RS25465,SM214186_RS25465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666616,SM214186_RS25355,SM214186_RS25355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666641,SM214186_RS25395,SM214186_RS25395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666644,SM214186_RS24995,SM214186_RS24995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666652,SM214186_RS25265,SM214186_RS25265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666666,SM214186_RS24635,SM214186_RS24635,SM214186_07086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39666670,SM214186_RS25210,SM214186_RS25210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666678,SM214186_RS24630,SM214186_RS24630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39666689,SM214186_RS25155,SM214186_RS25155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666714,SM213186_RS00500,SM213186_RS00500,SM213186_07304,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666723,SM213186_RS01020,SM213186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666724,SM213186_RS00555,SM213186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666744,SM213186_RS00190,SM213186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39666748,SM213186_RS01110,SM213186_RS01110,SM213186_07251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39666749,SM213186_RS00825,SM213186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666761,SM213186_RS01200,SM213186_RS01200,SM213186_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666781,SM213186_RS00715,SM213186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666785,SM213186_RS00875,SM213186_RS00875,SM213186_07303,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666788,SM213186_RS00075,SM213186_RS00075,SM213186_07058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666807,SM213186_RS00345,SM213186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666813,SM213186_RS00955,SM213186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39666859,SM213186_RS00110,SM213186_RS00110,SM213186_07323,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39666862,SM213186_RS00810,SM213186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
