#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636547,40080023,FDH87_gp002,FDH87_gp002,TIN4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1636547,40080069,FDH87_gp078,FDH87_gp078,TIN4_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080070,FDH87_gp077,FDH87_gp077,TIN4_48,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20200910,-
1636547,40080071,FDH87_gp076,FDH87_gp076,TIN4_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
1636547,40080072,FDH87_gp075,FDH87_gp075,TIN4_50,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200910,-
1636547,40080073,FDH87_gp074,FDH87_gp074,TIN4_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080074,FDH87_gp073,FDH87_gp073,TIN4_52,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
1636547,40080075,FDH87_gp072,FDH87_gp072,TIN4_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080076,FDH87_gp071,FDH87_gp071,TIN4_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080077,FDH87_gp070,FDH87_gp070,TIN4_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080078,FDH87_gp069,FDH87_gp069,TIN4_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080079,FDH87_gp068,FDH87_gp068,TIN4_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080080,FDH87_gp067,FDH87_gp067,TIN4_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080081,FDH87_gp066,FDH87_gp066,TIN4_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080082,FDH87_gp065,FDH87_gp065,TIN4_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080083,FDH87_gp064,FDH87_gp064,TIN4_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080084,FDH87_gp063,FDH87_gp063,TIN4_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080085,FDH87_gp062,FDH87_gp062,TIN4_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080086,FDH87_gp061,FDH87_gp061,TIN4_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080087,FDH87_gp060,FDH87_gp060,TIN4_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080088,FDH87_gp059,FDH87_gp059,TIN4_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080089,FDH87_gp058,FDH87_gp058,TIN4_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080090,FDH87_gp057,FDH87_gp057,TIN4_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080091,FDH87_gp056,FDH87_gp056,TIN4_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080092,FDH87_gp055,FDH87_gp055,TIN4_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080093,FDH87_gp054,FDH87_gp054,TIN4_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080094,FDH87_gp053,FDH87_gp053,TIN4_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080095,FDH87_gp052,FDH87_gp052,TIN4_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080096,FDH87_gp051,FDH87_gp051,TIN4_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080097,FDH87_gp050,FDH87_gp050,TIN4_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080098,FDH87_gp049,FDH87_gp049,TIN4_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080099,FDH87_gp048,FDH87_gp048,TIN4_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080100,FDH87_gp047,FDH87_gp047,TIN4_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080101,FDH87_gp046,FDH87_gp046,TIN4_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080102,FDH87_gp045,FDH87_gp045,TIN4_80,-,-,-,ATPase family protein,protein-coding,-,-,-,ATPase family protein,20200910,-
1636547,40080103,FDH87_gp043,FDH87_gp043,TIN4_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080104,FDH87_gp042,FDH87_gp042,TIN4_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080105,FDH87_gp044,FDH87_gp044,TIN4_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080106,FDH87_gp041,FDH87_gp041,TIN4_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080107,FDH87_gp040,FDH87_gp040,TIN4_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080108,FDH87_gp039,FDH87_gp039,TIN4_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080109,FDH87_gp037,FDH87_gp037,TIN4_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080110,FDH87_gp036,FDH87_gp036,TIN4_89,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1636547,40080111,FDH87_gp035,FDH87_gp035,TIN4_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080112,FDH87_gp034,FDH87_gp034,TIN4_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080113,FDH87_gp033,FDH87_gp033,TIN4_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080114,FDH87_gp032,FDH87_gp032,TIN4_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080115,FDH87_gp031,FDH87_gp031,TIN4_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080116,FDH87_gp030,FDH87_gp030,TIN4_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080117,FDH87_gp029,FDH87_gp029,TIN4_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080118,FDH87_gp028,FDH87_gp028,TIN4_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080119,FDH87_gp027,FDH87_gp027,TIN4_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080120,FDH87_gp025,FDH87_gp025,TIN4_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080121,FDH87_gp024,FDH87_gp024,TIN4_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080122,FDH87_gp023,FDH87_gp023,TIN4_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080123,FDH87_gp022,FDH87_gp022,TIN4_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080124,FDH87_gp021,FDH87_gp021,TIN4_104,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20200910,-
1636547,40080125,FDH87_gp020,FDH87_gp020,TIN4_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080126,FDH87_gp019,FDH87_gp019,TIN4_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080127,FDH87_gp018,FDH87_gp018,TIN4_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080128,FDH87_gp017,FDH87_gp017,TIN4_108,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
1636547,40080129,FDH87_gp016,FDH87_gp016,TIN4_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080130,FDH87_gp038,FDH87_gp038,TIN4_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080131,FDH87_gp026,FDH87_gp026,TIN4_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080132,FDH87_gp109,FDH87_gp109,TIN4_17,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1636547,40120190,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
