#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1051616,26834848,atp9,AYB92_gp14,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,ATP synthase F0 subunit 9,20210417,-
1051616,26834890,cob,AYB92_gp03,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20190406,-
1051616,26834891,AYB92_gt01,AYB92_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,39603690,RPF2,D7B24_000001,-,-,Unknown,-,rRNA-binding ribosome biosynthesis protein rpf2,protein-coding,-,-,-,rRNA-binding ribosome biosynthesis protein rpf2,20200515,-
1051616,39603691,D7B24_000002,D7B24_000002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603692,NOP12,D7B24_000003,-,-,Unknown,-,Nucleolar protein 12,protein-coding,-,-,-,Nucleolar protein 12,20200515,-
1051616,39603693,TUB1_1,D7B24_000004,-,-,Unknown,-,alpha-tubulin,protein-coding,-,-,-,alpha-tubulin,20200515,-
1051616,39603694,D7B24_000005,D7B24_000005,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603695,D7B24_000006,D7B24_000006,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603696,D7B24_000007,D7B24_000007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603697,D7B24_000008,D7B24_000008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603698,D7B24_000009,D7B24_000009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603699,D7B24_000010,D7B24_000010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603700,D7B24_000011,D7B24_000011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603701,D7B24_000012,D7B24_000012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603702,D7B24_000013,D7B24_000013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603703,D7B24_000014,D7B24_000014,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603704,D7B24_000015,D7B24_000015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603705,PEX5,D7B24_000016,-,-,Unknown,-,Peroxisomal membrane signal receptor PTS1,protein-coding,-,-,-,Peroxisomal membrane signal receptor PTS1,20200515,-
1051616,39603706,D7B24_000017,D7B24_000017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603707,NSA2,D7B24_000018,-,-,Unknown,-,Ribosome bioproteinsis protein,protein-coding,-,-,-,Ribosome bioproteinsis protein,20200515,-
1051616,39603708,D7B24_000019,D7B24_000019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603709,D7B24_000020,D7B24_000020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603710,D7B24_000021,D7B24_000021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603711,MPS1,D7B24_000022,-,-,Unknown,-,Protein kinase,protein-coding,-,-,-,Protein kinase,20200515,-
1051616,39603712,RPP2B,D7B24_000023,-,-,Unknown,-,60S acidic ribosomal protein P2,protein-coding,-,-,-,60S acidic ribosomal protein P2,20200515,-
1051616,39603713,D7B24_000024,D7B24_000024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603714,D7B24_000025,D7B24_000025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603715,RPC25,D7B24_000026,-,-,Unknown,-,DNA-directed RNA polymerase III subunit rpc25,protein-coding,-,-,-,DNA-directed RNA polymerase III subunit rpc25,20200515,-
1051616,39603716,EMC3,D7B24_000027,-,-,Unknown,-,ER membrane complex subunit 3,protein-coding,-,-,-,ER membrane complex subunit 3,20200515,-
1051616,39603717,D7B24_000028,D7B24_000028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603718,D7B24_000029,D7B24_000029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603719,D7B24_000030,D7B24_000030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1051616,39603720,D7B24_000031,D7B24_000031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603721,D7B24_000032,D7B24_000032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603722,FET5,D7B24_000033,-,-,Unknown,-,ATP binding protein,protein-coding,-,-,-,ATP binding protein,20200515,-
1051616,39603723,SAM2,D7B24_000034,-,-,Unknown,-,methionine adenosyltransferase sam2,protein-coding,-,-,-,methionine adenosyltransferase sam2,20200515,-
1051616,39603724,D7B24_000035,D7B24_000035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603725,D7B24_000036,D7B24_000036,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,39603726,D7B24_000037,D7B24_000037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603727,D7B24_000038,D7B24_000038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603728,D7B24_000039,D7B24_000039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603729,D7B24_000040,D7B24_000040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603730,D7B24_000041,D7B24_000041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603731,LSM6,D7B24_000042,-,-,Unknown,-,U4/U6-U5 snRNP complex subunit lsm6,protein-coding,-,-,-,U4/U6-U5 snRNP complex subunit lsm6,20200515,-
1051616,39603732,D7B24_000043,D7B24_000043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603733,D7B24_000044,D7B24_000044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603734,D7B24_000045,D7B24_000045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603735,D7B24_000046,D7B24_000046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603736,D7B24_000047,D7B24_000047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603737,D7B24_000048,D7B24_000048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603738,D7B24_000049,D7B24_000049,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603739,TVP23,D7B24_000050,-,-,Unknown,-,Golgi apparatus membrane protein tvp23,protein-coding,-,-,-,Golgi apparatus membrane protein tvp23,20210123,-
1051616,39603740,D7B24_000051,D7B24_000051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603741,D7B24_000052,D7B24_000052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603742,D7B24_000053,D7B24_000053,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603743,D7B24_000054,D7B24_000054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603744,D7B24_000055,D7B24_000055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603745,D7B24_000056,D7B24_000056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603746,D7B24_000057,D7B24_000057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603747,D7B24_000058,D7B24_000058,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603748,D7B24_000059,D7B24_000059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603749,D7B24_000060,D7B24_000060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603750,D7B24_000061,D7B24_000061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603751,DHX38,D7B24_000062,-,-,Unknown,-,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,protein-coding,-,-,-,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,20200515,-
1051616,39603752,D7B24_000063,D7B24_000063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603753,D7B24_000064,D7B24_000064,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603754,D7B24_000065,D7B24_000065,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603755,D7B24_000066,D7B24_000066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603756,D7B24_000067,D7B24_000067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603757,D7B24_000068,D7B24_000068,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603758,D7B24_000069,D7B24_000069,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603759,D7B24_000070,D7B24_000070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603760,D7B24_000071,D7B24_000071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603761,D7B24_000072,D7B24_000072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603762,D7B24_000073,D7B24_000073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603763,STT3,D7B24_000074,-,-,Unknown,-,oligosaccharyl transferase stt3 subunit,protein-coding,-,-,-,oligosaccharyl transferase stt3 subunit,20200515,-
1051616,39603764,D7B24_000075,D7B24_000075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603765,D7B24_000076,D7B24_000076,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603766,PLR1,D7B24_000077,-,-,Unknown,-,Pyridoxine 4-dehydrogenase,protein-coding,-,-,-,Pyridoxine 4-dehydrogenase,20200515,-
1051616,39603767,D7B24_000078,D7B24_000078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603768,D7B24_000079,D7B24_000079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603769,D7B24_000080,D7B24_000080,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603770,D7B24_000081,D7B24_000081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603771,RIM15_1,D7B24_000082,-,-,Unknown,-,"rim15, signal transduction response regulator",protein-coding,-,-,-,"rim15, signal transduction response regulator",20200515,-
1051616,39603772,RIM15_2,D7B24_000083,-,-,Unknown,-,"rim15, signal transduction response regulator",protein-coding,-,-,-,"rim15, signal transduction response regulator",20200515,-
1051616,39603773,D7B24_000084,D7B24_000084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603774,D7B24_000085,D7B24_000085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603775,D7B24_000086,D7B24_000086,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603776,PUT2,D7B24_000087,-,-,Unknown,-,1-pyrroline-5-carboxylate dehydrogenase,protein-coding,-,-,-,1-pyrroline-5-carboxylate dehydrogenase,20200515,-
1051616,39603777,D7B24_000088,D7B24_000088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603778,D7B24_000089,D7B24_000089,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603779,D7B24_000090,D7B24_000090,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,39603780,D7B24_000091,D7B24_000091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603781,D7B24_000092,D7B24_000092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603782,D7B24_000093,D7B24_000093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603783,PNO1,D7B24_000094,-,-,Unknown,-,pre-rRNA-processing protein pno1,protein-coding,-,-,-,pre-rRNA-processing protein pno1,20200515,-
1051616,39603784,MDM31,D7B24_000095,-,-,Unknown,-,"Mitochondrial distribution and morphology protein 31, mitochondrial precursor",protein-coding,-,-,-,"Mitochondrial distribution and morphology protein 31, mitochondrial precursor",20200515,-
1051616,39603785,HCR1,D7B24_000096,-,-,Unknown,-,Translation initiation factor 3 subunit J component,protein-coding,-,-,-,Translation initiation factor 3 subunit J component,20200515,-
1051616,39603786,AOX1_1,D7B24_000097,-,-,Unknown,-,"Alternative oxidase, mitochondrial precursor",protein-coding,-,-,-,"Alternative oxidase, mitochondrial precursor",20200515,-
1051616,39603787,CRZ1,D7B24_000098,-,-,Unknown,-,DNA-binding transcription factor,protein-coding,-,-,-,DNA-binding transcription factor,20200515,-
1051616,39603788,D7B24_000099,D7B24_000099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603789,D7B24_000100,D7B24_000100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603790,D7B24_000101,D7B24_000101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603791,D7B24_000102,D7B24_000102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603792,D7B24_000103,D7B24_000103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603793,D7B24_000104,D7B24_000104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603794,D7B24_000105,D7B24_000105,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603795,D7B24_000106,D7B24_000106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603796,D7B24_000107,D7B24_000107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603797,D7B24_000108,D7B24_000108,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,39603798,D7B24_000109,D7B24_000109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603799,D7B24_000110,D7B24_000110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603800,D7B24_000111,D7B24_000111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603801,D7B24_000112,D7B24_000112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603802,PCM1,D7B24_000113,-,-,Unknown,-,Phosphoacetylglucosamine Mutase,protein-coding,-,-,-,Phosphoacetylglucosamine Mutase,20200515,-
1051616,39603803,MUS81,D7B24_000114,-,-,Unknown,-,Crossover junction endonuclease mus81,protein-coding,-,-,-,Crossover junction endonuclease mus81,20200515,-
1051616,39603804,RIB5,D7B24_000115,-,-,Unknown,-,Riboflavin synthase alpha chain,protein-coding,-,-,-,Riboflavin synthase alpha chain,20200515,-
1051616,39603805,D7B24_000116,D7B24_000116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603806,D7B24_000117,D7B24_000117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603807,D7B24_000118,D7B24_000118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603808,D7B24_000119,D7B24_000119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603809,D7B24_000120,D7B24_000120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603810,D7B24_000121,D7B24_000121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603811,D7B24_000122,D7B24_000122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603812,D7B24_000123,D7B24_000123,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603813,HIP1,D7B24_000124,-,-,Unknown,-,histidine permease,protein-coding,-,-,-,histidine permease,20200515,-
1051616,39603814,MNS1,D7B24_000125,-,-,Unknown,-,"mannosyl-oligosaccharide alpha-1,2-mannosidase",protein-coding,-,-,-,"mannosyl-oligosaccharide alpha-1,2-mannosidase",20200515,-
1051616,39603815,ATG10,D7B24_000126,-,-,Unknown,-,E2-like conjugating enzyme atg10,protein-coding,-,-,-,E2-like conjugating enzyme atg10,20200515,-
1051616,39603816,MSL1,D7B24_000127,-,-,Unknown,-,U2 snRNP complex subunit msl1,protein-coding,-,-,-,U2 snRNP complex subunit msl1,20200515,-
1051616,39603817,D7B24_000128,D7B24_000128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603818,SWD3,D7B24_000129,-,-,Unknown,-,WD domain protein,protein-coding,-,-,-,WD domain protein,20200515,-
1051616,39603819,ISC1,D7B24_000130,-,-,Unknown,-,phospholipase C type enzyme,protein-coding,-,-,-,phospholipase C type enzyme,20200515,-
1051616,39603820,D7B24_000131,D7B24_000131,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603821,FPR4,D7B24_000132,-,-,Unknown,-,peptidylprolyl isomerase fpr4,protein-coding,-,-,-,peptidylprolyl isomerase fpr4,20200515,-
1051616,39603822,D7B24_000133,D7B24_000133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603823,D7B24_000134,D7B24_000134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603824,D7B24_000135,D7B24_000135,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603825,D7B24_000136,D7B24_000136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603826,BUB2,D7B24_000137,-,-,Unknown,-,budding uninhibited by benzimidazole- protein,protein-coding,-,-,-,budding uninhibited by benzimidazole- protein,20200515,-
1051616,39603827,D7B24_000138,D7B24_000138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603828,SUL2_1,D7B24_000139,-,-,Unknown,-,Sulfate permease 2,protein-coding,-,-,-,Sulfate permease 2,20200515,-
1051616,39603829,D7B24_000140,D7B24_000140,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,39603830,D7B24_000141,D7B24_000141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603831,D7B24_000142,D7B24_000142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603832,D7B24_000143,D7B24_000143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603833,D7B24_000144,D7B24_000144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603834,D7B24_000145,D7B24_000145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603835,D7B24_000146,D7B24_000146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603836,D7B24_000147,D7B24_000147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603837,D7B24_000148,D7B24_000148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
1051616,39603838,D7B24_000149,D7B24_000149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200515,-
