#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772094,65131947,KNV61_gs01,KNV61_gs01,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772094,65131970,KNV61_gp54,KNV61_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131971,KNV61_gp53,KNV61_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131972,KNV61_gp52,KNV61_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131973,KNV61_gp51,KNV61_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131974,KNV61_gp50,KNV61_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131975,KNV61_gp49,KNV61_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131976,KNV61_gp48,KNV61_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131977,KNV61_gp47,KNV61_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131978,KNV61_gp46,KNV61_gp46,-,-,-,-,VOG0992,protein-coding,-,-,-,VOG0992|putative endolysin,20210608,-
2772094,65131979,KNV61_gp45,KNV61_gp45,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772094,65131980,KNV61_gp44,KNV61_gp44,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2772094,65131981,KNV61_gp43,KNV61_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131982,KNV61_gp42,KNV61_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131983,KNV61_gp41,KNV61_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131984,KNV61_gp40,KNV61_gp40,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210608,-
2772094,65131985,KNV61_gp39,KNV61_gp39,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2772094,65131986,KNV61_gp38,KNV61_gp38,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772094,65131987,KNV61_gp37,KNV61_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131988,KNV61_gp36,KNV61_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131989,KNV61_gp35,KNV61_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131990,KNV61_gp34,KNV61_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131991,KNV61_gp33,KNV61_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131992,KNV61_gp32,KNV61_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131993,KNV61_gp31,KNV61_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131994,KNV61_gp30,KNV61_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131995,KNV61_gp29,KNV61_gp29,-,-,-,-,topoisomerase,protein-coding,-,-,-,topoisomerase,20210608,-
2772094,65131996,KNV61_gp28,KNV61_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131997,KNV61_gp27,KNV61_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131998,KNV61_gp26,KNV61_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131999,KNV61_gp25,KNV61_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132000,KNV61_gp24,KNV61_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132001,KNV61_gp23,KNV61_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132002,KNV61_gp22,KNV61_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132003,KNV61_gp21,KNV61_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132004,KNV61_gp20,KNV61_gp20,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772094,65132005,KNV61_gp19,KNV61_gp19,-,-,-,-,non-ATPase regulatory subunit,protein-coding,-,-,-,non-ATPase regulatory subunit,20210608,-
2772094,65132006,KNV61_gp18,KNV61_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132007,KNV61_gp17,KNV61_gp17,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2772094,65132008,KNV61_gp16,KNV61_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132009,KNV61_gp15,KNV61_gp15,-,-,-,-,RecA protein,protein-coding,-,-,-,RecA protein,20210608,-
2772094,65132010,KNV61_gp14,KNV61_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132011,KNV61_gp13,KNV61_gp13,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772094,65132012,KNV61_gp12,KNV61_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132013,KNV61_gp11,KNV61_gp11,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772094,65132014,KNV61_gp10,KNV61_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132015,KNV61_gp09,KNV61_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132016,KNV61_gp08,KNV61_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132017,KNV61_gp07,KNV61_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132018,KNV61_gp06,KNV61_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132019,KNV61_gp05,KNV61_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132020,KNV61_gp04,KNV61_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132021,KNV61_gp03,KNV61_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132022,KNV61_gp02,KNV61_gp02,-,-,-,-,RNA polymerase sigma-W factor,protein-coding,-,-,-,RNA polymerase sigma-W factor,20210608,-
2772094,65132023,KNV61_gp01,KNV61_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65132024,KNV61_gt03,KNV61_gt03,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772094,65132025,KNV61_gt01,KNV61_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772094,65243580,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
