#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1132026,13405564,B612_gp02,B612_gp02,KL1_0004,-,-,-,Rz,protein-coding,-,-,-,Rz,20201221,-
1132026,13405600,B612_gp42,B612_gp42,KL1_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405601,B612_gp07,B612_gp07,KL1_00031,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1132026,13405602,B612_gp43,B612_gp43,KL1_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405603,B612_gp17,B612_gp17,KL1_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405604,B612_gp10,B612_gp10,KL1_00035,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20201221,-
1132026,13405605,B612_gp09,B612_gp09,KL1_00036,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1132026,13405606,B612_gp08,B612_gp08,KL1_00037,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1132026,13405607,B612_gp44,B612_gp44,KL1_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405608,B612_gp14,B612_gp14,KL1_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405609,B612_gp13,B612_gp13,KL1_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405610,B612_gp11,B612_gp11,KL1_00044,-,-,-,Vsr endonuclease,protein-coding,-,-,-,Vsr endonuclease,20201221,-
1132026,13405611,B612_gp47,B612_gp47,KL1_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405612,B612_gp50,B612_gp50,KL1_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405613,B612_gp53,B612_gp53,KL1_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405614,B612_gp54,B612_gp54,KL1_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405615,B612_gp55,B612_gp55,KL1_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405616,B612_gp24,B612_gp24,KL1_00018,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1132026,13405617,B612_gp49,B612_gp49,KL1_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405618,B612_gp37,B612_gp37,KL1_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13436170,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia phage KL1).,other,-,-,-,-,20200622,-
