#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493513,24404849,ABY41_gp002,ABY41_gp002,Syn7803US120_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493513,24404873,ABY41_gp026,ABY41_gp026,Syn7803US120_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404874,ABY41_gp027,ABY41_gp027,Syn7803US120_27,-,-,-,CepT-like protein,protein-coding,-,-,-,CepT-like protein,20201221,-
1493513,24404875,ABY41_gp028,ABY41_gp028,Syn7803US120_28,-,-,-,putative short tail fiber,protein-coding,-,-,-,putative short tail fiber,20201221,-
1493513,24404876,ABY41_gp029,ABY41_gp029,Syn7803US120_29,-,-,-,putative short tail fiber,protein-coding,-,-,-,putative short tail fiber,20201221,-
1493513,24404877,ABY41_gp030,ABY41_gp030,Syn7803US120_30,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493513,24404878,ABY41_gp031,ABY41_gp031,Syn7803US120_31,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493513,24404879,ABY41_gp032,ABY41_gp032,Syn7803US120_32,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493513,24404880,ABY41_gp033,ABY41_gp033,Syn7803US120_33,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493513,24404881,ABY41_gp034,ABY41_gp034,Syn7803US120_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404882,ABY41_gp035,ABY41_gp035,Syn7803US120_35,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1493513,24404883,ABY41_gp036,ABY41_gp036,Syn7803US120_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404884,ABY41_gp037,ABY41_gp037,Syn7803US120_37,-,-,-,Fe(II)-dependent oxygenase,protein-coding,-,-,-,Fe(II)-dependent oxygenase,20201221,-
1493513,24404885,ABY41_gp038,ABY41_gp038,Syn7803US120_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404886,ABY41_gp039,ABY41_gp039,Syn7803US120_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404887,ABY41_gp040,ABY41_gp040,Syn7803US120_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404888,ABY41_gp041,ABY41_gp041,Syn7803US120_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404889,ABY41_gp042,ABY41_gp042,Syn7803US120_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404890,ABY41_gp043,ABY41_gp043,Syn7803US120_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404891,ABY41_gp044,ABY41_gp044,Syn7803US120_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404892,ABY41_gp045,ABY41_gp045,Syn7803US120_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404893,ABY41_gp046,ABY41_gp046,Syn7803US120_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404894,ABY41_gp047,ABY41_gp047,Syn7803US120_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404895,ABY41_gp048,ABY41_gp048,Syn7803US120_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404896,ABY41_gp049,ABY41_gp049,Syn7803US120_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404897,ABY41_gp050,ABY41_gp050,Syn7803US120_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404898,ABY41_gp051,ABY41_gp051,Syn7803US120_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404899,ABY41_gp052,ABY41_gp052,Syn7803US120_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404900,ABY41_gp053,ABY41_gp053,Syn7803US120_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404901,ABY41_gp054,ABY41_gp054,Syn7803US120_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404902,ABY41_gp055,ABY41_gp055,Syn7803US120_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404903,ABY41_gp056,ABY41_gp056,Syn7803US120_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404904,ABY41_gp057,ABY41_gp057,Syn7803US120_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404905,ABY41_gp058,ABY41_gp058,Syn7803US120_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404906,ABY41_gp059,ABY41_gp059,Syn7803US120_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404907,ABY41_gp060,ABY41_gp060,Syn7803US120_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404908,ABY41_gp061,ABY41_gp061,Syn7803US120_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404909,ABY41_gp062,ABY41_gp062,Syn7803US120_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404910,ABY41_gp063,ABY41_gp063,Syn7803US120_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404911,ABY41_gp064,ABY41_gp064,Syn7803US120_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404912,ABY41_gp065,ABY41_gp065,Syn7803US120_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404913,ABY41_gp066,ABY41_gp066,Syn7803US120_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404914,ABY41_gp067,ABY41_gp067,Syn7803US120_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404915,ABY41_gp068,ABY41_gp068,Syn7803US120_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404916,ABY41_gp069,ABY41_gp069,Syn7803US120_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404917,ABY41_gp070,ABY41_gp070,Syn7803US120_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404918,ABY41_gp071,ABY41_gp071,Syn7803US120_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404919,ABY41_gp072,ABY41_gp072,Syn7803US120_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404920,ABY41_gp073,ABY41_gp073,Syn7803US120_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404921,ABY41_gp074,ABY41_gp074,Syn7803US120_74,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1493513,24404922,ABY41_gp075,ABY41_gp075,Syn7803US120_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404923,ABY41_gp076,ABY41_gp076,Syn7803US120_76,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20201221,-
1493513,24404924,ABY41_gp077,ABY41_gp077,Syn7803US120_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404925,ABY41_gp078,ABY41_gp078,Syn7803US120_78,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20201221,-
1493513,24404926,ABY41_gp079,ABY41_gp079,Syn7803US120_79,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
1493513,24404927,ABY41_gp080,ABY41_gp080,Syn7803US120_80,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493513,24404928,ABY41_gp081,ABY41_gp081,Syn7803US120_81,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
1493513,24404929,ABY41_gp082,ABY41_gp082,Syn7803US120_82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493513,24404930,ABY41_gp083,ABY41_gp083,Syn7803US120_83,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493513,24404931,ABY41_gp084,ABY41_gp084,Syn7803US120_84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493513,24404932,ABY41_gp085,ABY41_gp085,Syn7803US120_85,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1493513,24404933,ABY41_gp086,ABY41_gp086,Syn7803US120_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404934,ABY41_gp087,ABY41_gp087,Syn7803US120_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404935,ABY41_gp088,ABY41_gp088,Syn7803US120_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404936,ABY41_gp089,ABY41_gp089,Syn7803US120_89,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1493513,24404937,ABY41_gp090,ABY41_gp090,Syn7803US120_90,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1493513,24404938,ABY41_gp091,ABY41_gp091,Syn7803US120_91,-,-,-,proximal tail sheath protein,protein-coding,-,-,-,proximal tail sheath protein,20201221,-
1493513,24404939,ABY41_gp092,ABY41_gp092,Syn7803US120_92,-,-,-,terminase DNA packaging protein,protein-coding,-,-,-,terminase DNA packaging protein,20201221,-
1493513,24404940,ABY41_gp093,ABY41_gp093,Syn7803US120_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404941,ABY41_gp094,ABY41_gp094,Syn7803US120_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404942,ABY41_gp095,ABY41_gp095,Syn7803US120_95,-,-,-,plastocyanine,protein-coding,-,-,-,plastocyanine,20201221,-
1493513,24404943,ABY41_gp096,ABY41_gp096,Syn7803US120_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404944,ABY41_gp097,ABY41_gp097,Syn7803US120_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404945,ABY41_gp098,ABY41_gp098,Syn7803US120_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404946,ABY41_gp099,ABY41_gp099,Syn7803US120_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404947,ABY41_gp100,ABY41_gp100,Syn7803US120_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404948,ABY41_gp101,ABY41_gp101,Syn7803US120_101,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1493513,24404949,ABY41_gp102,ABY41_gp102,Syn7803US120_102,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201221,-
1493513,24404950,ABY41_gp103,ABY41_gp103,Syn7803US120_103,-,-,-,tail sheath monomer protein,protein-coding,-,-,-,tail sheath monomer protein,20201221,-
1493513,24404951,ABY41_gp104,ABY41_gp104,Syn7803US120_104,-,-,-,tail tube monomer protein,protein-coding,-,-,-,tail tube monomer protein,20201221,-
1493513,24404952,ABY41_gp105,ABY41_gp105,Syn7803US120_105,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201221,-
1493513,24404953,ABY41_gp106,ABY41_gp106,Syn7803US120_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404954,ABY41_gp107,ABY41_gp107,Syn7803US120_107,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201221,-
1493513,24404955,ABY41_gp108,ABY41_gp108,Syn7803US120_108,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20201221,-
1493513,24404956,ABY41_gp109,ABY41_gp109,Syn7803US120_109,-,-,-,head vertex precursor,protein-coding,-,-,-,head vertex precursor,20201221,-
1493513,24404957,ABY41_gp110,ABY41_gp110,Syn7803US120_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404958,ABY41_gp111,ABY41_gp111,Syn7803US120_111,-,-,-,head-proximal tip of tail protein,protein-coding,-,-,-,head-proximal tip of tail protein,20201221,-
1493513,24404959,ABY41_gp112,ABY41_gp112,Syn7803US120_112,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20201221,-
1493513,24404960,ABY41_gp113,ABY41_gp113,Syn7803US120_113,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20201221,-
1493513,24404961,ABY41_gp114,ABY41_gp114,Syn7803US120_114,-,-,-,methylamine protein,protein-coding,-,-,-,methylamine protein,20201221,-
1493513,24404962,ABY41_gp115,ABY41_gp115,Syn7803US120_115,-,-,-,late transcription sigma factor,protein-coding,-,-,-,late transcription sigma factor,20201221,-
1493513,24404963,ABY41_gp116,ABY41_gp116,Syn7803US120_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404964,ABY41_gp117,ABY41_gp117,Syn7803US120_117,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201221,-
1493513,24404965,ABY41_gp118,ABY41_gp118,Syn7803US120_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404966,ABY41_gp119,ABY41_gp119,Syn7803US120_119,-,-,-,gpre46 combination endonuclease,protein-coding,-,-,-,gpre46 combination endonuclease,20201221,-
1493513,24404967,ABY41_gp120,ABY41_gp120,Syn7803US120_120,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1493513,24404968,ABY41_gp121,ABY41_gp121,Syn7803US120_121,-,-,-,porphyrin biosynthetic protein,protein-coding,-,-,-,porphyrin biosynthetic protein,20201221,-
1493513,24404969,ABY41_gp122,ABY41_gp122,Syn7803US120_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404970,ABY41_gp123,ABY41_gp123,Syn7803US120_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404971,ABY41_gp124,ABY41_gp124,Syn7803US120_124,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20201221,-
1493513,24404972,ABY41_gp125,ABY41_gp125,Syn7803US120_125,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1493513,24404973,ABY41_gp126,ABY41_gp126,Syn7803US120_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404974,ABY41_gp127,ABY41_gp127,Syn7803US120_127,-,-,-,DNA adenine methylase Dam,protein-coding,-,-,-,DNA adenine methylase Dam,20201221,-
1493513,24404975,ABY41_gp128,ABY41_gp128,Syn7803US120_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404976,ABY41_gp129,ABY41_gp129,Syn7803US120_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404977,ABY41_gp130,ABY41_gp130,Syn7803US120_130,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1493513,24404978,ABY41_gp131,ABY41_gp131,Syn7803US120_131,-,-,-,translation repressor,protein-coding,-,-,-,translation repressor,20201221,-
1493513,24404979,ABY41_gp132,ABY41_gp132,Syn7803US120_132,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20201221,-
1493513,24404980,ABY41_gp133,ABY41_gp133,Syn7803US120_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404981,ABY41_gp134,ABY41_gp134,Syn7803US120_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404982,ABY41_gp135,ABY41_gp135,Syn7803US120_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404983,ABY41_gp136,ABY41_gp136,Syn7803US120_136,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1493513,24404984,ABY41_gp137,ABY41_gp137,Syn7803US120_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404985,ABY41_gp138,ABY41_gp138,Syn7803US120_138,-,-,-,RecA-like protein,protein-coding,-,-,-,RecA-like protein,20201221,-
1493513,24404986,ABY41_gp139,ABY41_gp139,Syn7803US120_139,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20201221,-
1493513,24404987,ABY41_gp140,ABY41_gp140,Syn7803US120_140,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20201221,-
1493513,24404988,ABY41_gp141,ABY41_gp141,Syn7803US120_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404989,ABY41_gp142,ABY41_gp142,Syn7803US120_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404990,ABY41_gp143,ABY41_gp143,Syn7803US120_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404991,ABY41_gp144,ABY41_gp144,Syn7803US120_144,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20201221,-
1493513,24404992,ABY41_gp145,ABY41_gp145,Syn7803US120_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404993,ABY41_gp146,ABY41_gp146,Syn7803US120_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404994,ABY41_gp147,ABY41_gp147,Syn7803US120_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404995,ABY41_gp148,ABY41_gp148,Syn7803US120_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404996,ABY41_gp149,ABY41_gp149,Syn7803US120_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404997,ABY41_gp150,ABY41_gp150,Syn7803US120_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404998,ABY41_gp151,ABY41_gp151,Syn7803US120_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404999,ABY41_gp152,ABY41_gp152,Syn7803US120_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405000,ABY41_gp153,ABY41_gp153,Syn7803US120_153,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201221,-
1493513,24405001,ABY41_gp154,ABY41_gp154,Syn7803US120_154,-,-,-,ribonucleotide reductase subunit A,protein-coding,-,-,-,ribonucleotide reductase subunit A,20201221,-
1493513,24405002,ABY41_gp155,ABY41_gp155,Syn7803US120_155,-,-,-,ribonucleotide reductase subunit B,protein-coding,-,-,-,ribonucleotide reductase subunit B,20201221,-
1493513,24405003,ABY41_gp156,ABY41_gp156,Syn7803US120_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405004,ABY41_gp157,ABY41_gp157,Syn7803US120_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405005,ABY41_gp158,ABY41_gp158,Syn7803US120_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405006,ABY41_gp159,ABY41_gp159,Syn7803US120_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405007,ABY41_gp160,ABY41_gp160,Syn7803US120_160,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20201221,-
1493513,24405008,ABY41_gp161,ABY41_gp161,Syn7803US120_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405009,ABY41_gp162,ABY41_gp162,Syn7803US120_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405010,ABY41_gp163,ABY41_gp163,Syn7803US120_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405011,ABY41_gp164,ABY41_gp164,Syn7803US120_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405012,ABY41_gp165,ABY41_gp165,Syn7803US120_165,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1493513,24405013,ABY41_gp166,ABY41_gp166,Syn7803US120_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405014,ABY41_gp167,ABY41_gp167,Syn7803US120_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405015,ABY41_gp168,ABY41_gp168,Syn7803US120_168,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1493513,24405016,ABY41_gp169,ABY41_gp169,Syn7803US120_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405017,ABY41_gp170,ABY41_gp170,Syn7803US120_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405018,ABY41_gp171,ABY41_gp171,Syn7803US120_171,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493513,24405019,ABY41_gp172,ABY41_gp172,Syn7803US120_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405020,ABY41_gp173,ABY41_gp173,Syn7803US120_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405021,ABY41_gp174,ABY41_gp174,Syn7803US120_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405022,ABY41_gp175,ABY41_gp175,Syn7803US120_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24405023,ABY41_gp176,ABY41_gp176,Syn7803US120_176,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20201221,-
1493513,24405024,ABY41_gp177,ABY41_gp177,Syn7803US120_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
