#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591369,56134819,H1O01_gp02,H1O01_gp02,DOMN_2,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591369,56134890,H1O01_gp73,H1O01_gp73,DOMN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134891,H1O01_gp74,H1O01_gp74,DOMN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134892,H1O01_gp75,H1O01_gp75,DOMN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134893,H1O01_gp76,H1O01_gp76,DOMN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134894,H1O01_gp77,H1O01_gp77,DOMN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134895,H1O01_gp78,H1O01_gp78,DOMN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134896,H1O01_gp79,H1O01_gp79,DOMN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134897,H1O01_gp80,H1O01_gp80,DOMN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134898,H1O01_gp81,H1O01_gp81,DOMN_81,-,-,-,putative GntR-family transcriptional regulator,protein-coding,-,-,-,putative GntR-family transcriptional regulator,20200724,-
2591369,56134899,H1O01_gp82,H1O01_gp82,DOMN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134900,H1O01_gp83,H1O01_gp83,DOMN_83,-,-,-,putative Eaa-like protein,protein-coding,-,-,-,putative Eaa-like protein,20200724,-
2591369,56134901,H1O01_gp84,H1O01_gp84,DOMN_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134902,H1O01_gp85,H1O01_gp85,DOMN_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134903,H1O01_gp86,H1O01_gp86,DOMN_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134904,H1O01_gp87,H1O01_gp87,DOMN_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134905,H1O01_gp88,H1O01_gp88,DOMN_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134906,H1O01_gp89,H1O01_gp89,DOMN_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134907,H1O01_gp90,H1O01_gp90,DOMN_90,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2591369,56134908,H1O01_gp01,H1O01_gp01,DOMN_1,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591369,56166655,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
