#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2508206,55014869,HOV50_gp02,HOV50_gp02,PTXU04_00002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210306,-
2508206,55014895,HOV50_gp28,HOV50_gp28,PTXU04_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014896,HOV50_gp29,HOV50_gp29,PTXU04_00029,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2508206,55014897,HOV50_gp30,HOV50_gp30,PTXU04_00030,-,-,-,putative peptidoglycan domain protein,protein-coding,-,-,-,putative peptidoglycan domain protein,20210306,-
2508206,55014898,HOV50_gp31,HOV50_gp31,PTXU04_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014899,HOV50_gp32,HOV50_gp32,PTXU04_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014900,HOV50_gp33,HOV50_gp33,PTXU04_00033,-,-,-,putative NTP pyrophosphohydrolase,protein-coding,-,-,-,putative NTP pyrophosphohydrolase,20210306,-
2508206,55014901,HOV50_gp34,HOV50_gp34,PTXU04_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014902,HOV50_gp35,HOV50_gp35,PTXU04_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014903,HOV50_gp36,HOV50_gp36,PTXU04_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014904,HOV50_gp37,HOV50_gp37,PTXU04_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014905,HOV50_gp38,HOV50_gp38,PTXU04_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014906,HOV50_gp39,HOV50_gp39,PTXU04_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014907,HOV50_gp40,HOV50_gp40,PTXU04_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014908,HOV50_gp41,HOV50_gp41,PTXU04_00041,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210306,-
2508206,55014909,HOV50_gp42,HOV50_gp42,PTXU04_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014910,HOV50_gp43,HOV50_gp43,PTXU04_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014911,HOV50_gp44,HOV50_gp44,PTXU04_00044,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20210306,-
2508206,55014912,HOV50_gp45,HOV50_gp45,PTXU04_00045,-,-,-,putative N-6-adenine-methyltransferase,protein-coding,-,-,-,putative N-6-adenine-methyltransferase,20210306,-
2508206,55014913,HOV50_gp46,HOV50_gp46,PTXU04_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014914,HOV50_gp47,HOV50_gp47,PTXU04_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014915,HOV50_gp48,HOV50_gp48,PTXU04_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014916,HOV50_gp49,HOV50_gp49,PTXU04_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014917,HOV50_gp50,HOV50_gp50,PTXU04_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014918,HOV50_gp51,HOV50_gp51,PTXU04_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014919,HOV50_gp52,HOV50_gp52,PTXU04_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014920,HOV50_gp53,HOV50_gp53,PTXU04_00053,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20210306,-
2508206,55014921,HOV50_gp54,HOV50_gp54,PTXU04_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014922,HOV50_gp55,HOV50_gp55,PTXU04_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014923,HOV50_gp56,HOV50_gp56,PTXU04_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014924,HOV50_gp57,HOV50_gp57,PTXU04_00057,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210306,-
2508206,55014925,HOV50_gp58,HOV50_gp58,PTXU04_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014926,HOV50_gp59,HOV50_gp59,PTXU04_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014927,HOV50_gp60,HOV50_gp60,PTXU04_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014928,HOV50_gp61,HOV50_gp61,PTXU04_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014929,HOV50_gp62,HOV50_gp62,PTXU04_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014930,HOV50_gp63,HOV50_gp63,PTXU04_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014931,HOV50_gp64,HOV50_gp64,PTXU04_00064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014932,HOV50_gp65,HOV50_gp65,PTXU04_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014933,HOV50_gp66,HOV50_gp66,PTXU04_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014934,HOV50_gp67,HOV50_gp67,PTXU04_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014935,HOV50_gp68,HOV50_gp68,PTXU04_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014936,HOV50_gp69,HOV50_gp69,PTXU04_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014937,HOV50_gp70,HOV50_gp70,PTXU04_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014938,HOV50_gp71,HOV50_gp71,PTXU04_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014939,HOV50_gp72,HOV50_gp72,PTXU04_00072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014940,HOV50_gp73,HOV50_gp73,PTXU04_00073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014941,HOV50_gp74,HOV50_gp74,PTXU04_00074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014942,HOV50_gp75,HOV50_gp75,PTXU04_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014943,HOV50_gp76,HOV50_gp76,PTXU04_00076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014944,HOV50_gp77,HOV50_gp77,PTXU04_00077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014945,HOV50_gp78,HOV50_gp78,PTXU04_00078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014946,HOV50_gp79,HOV50_gp79,PTXU04_00079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014947,HOV50_gp80,HOV50_gp80,PTXU04_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014948,HOV50_gp81,HOV50_gp81,PTXU04_00081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014949,HOV50_gp82,HOV50_gp82,PTXU04_00082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014950,HOV50_gp83,HOV50_gp83,PTXU04_00083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014951,HOV50_gp84,HOV50_gp84,PTXU04_00084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014952,HOV50_gp85,HOV50_gp85,PTXU04_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014953,HOV50_gp86,HOV50_gp86,PTXU04_00086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014954,HOV50_gp87,HOV50_gp87,PTXU04_00087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014955,HOV50_gp88,HOV50_gp88,PTXU04_00088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014956,HOV50_gp89,HOV50_gp89,PTXU04_00089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014957,HOV50_gp90,HOV50_gp90,PTXU04_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014958,HOV50_gp91,HOV50_gp91,PTXU04_00091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014959,HOV50_gp92,HOV50_gp92,PTXU04_00092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014960,HOV50_gp01,HOV50_gp01,PTXU04_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55154338,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage vB_EcoP_PTXU04).,other,-,-,-,-,20201109,-
