#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163633,65112560,KNT87_gp001,KNT87_gp001,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163633,65112664,KNT87_gp083,KNT87_gp083,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163633,65112665,KNT87_gp084,KNT87_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112666,KNT87_gp085,KNT87_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112667,KNT87_gp086,KNT87_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112668,KNT87_gp087,KNT87_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112669,KNT87_gp088,KNT87_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112670,KNT87_gp089,KNT87_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112671,KNT87_gp090,KNT87_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112672,KNT87_gp091,KNT87_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112673,KNT87_gp092,KNT87_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112674,KNT87_gp093,KNT87_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112675,KNT87_gp094,KNT87_gp094,-,-,-,-,putative C4-type zinc finger protein,protein-coding,-,-,-,putative C4-type zinc finger protein,20210607,-
2163633,65112676,KNT87_gp095,KNT87_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112677,KNT87_gp096,KNT87_gp096,-,-,-,-,putative lysis inhibition regulator,protein-coding,-,-,-,putative lysis inhibition regulator,20210607,-
2163633,65112678,KNT87_gp097,KNT87_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112679,KNT87_gp098,KNT87_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112680,KNT87_gp099,KNT87_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112681,KNT87_gp100,KNT87_gp100,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2163633,65112682,KNT87_gp101,KNT87_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112683,KNT87_gp102,KNT87_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112684,KNT87_gp103,KNT87_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112685,KNT87_gp104,KNT87_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112686,KNT87_gp105,KNT87_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112687,KNT87_gp106,KNT87_gp106,-,-,-,-,macro domain protein,protein-coding,-,-,-,macro domain protein,20210607,-
2163633,65112688,KNT87_gp107,KNT87_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112689,KNT87_gp108,KNT87_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112690,KNT87_gp109,KNT87_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112691,KNT87_gp110,KNT87_gp110,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2163633,65112692,KNT87_gp111,KNT87_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112693,KNT87_gp112,KNT87_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112694,KNT87_gp113,KNT87_gp113,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163633,65112695,KNT87_gp114,KNT87_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112696,KNT87_gp115,KNT87_gp115,-,-,-,-,tail-associated lysozyme,protein-coding,-,-,-,tail-associated lysozyme,20210607,-
2163633,65112697,KNT87_gp116,KNT87_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112698,KNT87_gp117,KNT87_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112699,KNT87_gp118,KNT87_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112700,KNT87_gp119,KNT87_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112701,KNT87_gp120,KNT87_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112702,KNT87_gp121,KNT87_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112703,KNT87_gp122,KNT87_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112704,KNT87_gp123,KNT87_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112705,KNT87_gp124,KNT87_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112706,KNT87_gp125,KNT87_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112707,KNT87_gp126,KNT87_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112708,KNT87_gp127,KNT87_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112709,KNT87_gp128,KNT87_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112710,KNT87_gp129,KNT87_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112711,KNT87_gt001,KNT87_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112712,KNT87_gt002,KNT87_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112713,KNT87_gp289,KNT87_gp289,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112714,KNT87_gp288,KNT87_gp288,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112715,KNT87_gt005,KNT87_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112716,KNT87_gt009,KNT87_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112717,KNT87_gt012,KNT87_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112718,KNT87_gt017,KNT87_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112719,KNT87_gt019,KNT87_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112720,KNT87_gp282,KNT87_gp282,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112721,KNT87_gp281,KNT87_gp281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112722,KNT87_gp280,KNT87_gp280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112723,KNT87_gp279,KNT87_gp279,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112724,KNT87_gp278,KNT87_gp278,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112725,KNT87_gp277,KNT87_gp277,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112726,KNT87_gp276,KNT87_gp276,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210607,-
2163633,65112727,KNT87_gp275,KNT87_gp275,-,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210607,-
2163633,65112728,KNT87_gp274,KNT87_gp274,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2163633,65112729,KNT87_gp273,KNT87_gp273,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2163633,65112730,KNT87_gp272,KNT87_gp272,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2163633,65112731,KNT87_gp271,KNT87_gp271,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163633,65112732,KNT87_gp270,KNT87_gp270,-,-,-,-,baseplate hub and tail lysozyme,protein-coding,-,-,-,baseplate hub and tail lysozyme,20210607,-
2163633,65112733,KNT87_gp269,KNT87_gp269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112734,KNT87_gp268,KNT87_gp268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112735,KNT87_gp267,KNT87_gp267,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163633,65112736,KNT87_gp266,KNT87_gp266,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20210607,-
2163633,65112737,KNT87_gp265,KNT87_gp265,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163633,65112738,KNT87_gp264,KNT87_gp264,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2163633,65112739,KNT87_gp263,KNT87_gp263,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2163633,65112740,KNT87_gp262,KNT87_gp262,-,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
2163633,65112741,KNT87_gp261,KNT87_gp261,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2163633,65112742,KNT87_gp260,KNT87_gp260,-,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2163633,65112743,KNT87_gp259,KNT87_gp259,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163633,65112744,KNT87_gp258,KNT87_gp258,-,-,-,-,"head completion, neck hetero-dimeric protein",protein-coding,-,-,-,"head completion, neck hetero-dimeric protein",20210607,-
2163633,65112745,KNT87_gp257,KNT87_gp257,-,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210607,-
2163633,65112746,KNT87_gp256,KNT87_gp256,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2163633,65112747,KNT87_gp255,KNT87_gp255,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2163633,65112748,KNT87_gp254,KNT87_gp254,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2163633,65112749,KNT87_gp253,KNT87_gp253,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2163633,65112750,KNT87_gp252,KNT87_gp252,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210607,-
2163633,65112751,KNT87_gp251,KNT87_gp251,-,-,-,-,putative prohead protein,protein-coding,-,-,-,putative prohead protein,20210607,-
2163633,65112752,KNT87_gp250,KNT87_gp250,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2163633,65112753,KNT87_gp249,KNT87_gp249,-,-,-,-,prohead core protein protease,protein-coding,-,-,-,prohead core protein protease,20210607,-
2163633,65112754,KNT87_gp248,KNT87_gp248,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2163633,65112755,KNT87_gp247,KNT87_gp247,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2163633,65112756,KNT87_gp246,KNT87_gp246,-,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210607,-
2163633,65112757,KNT87_gp245,KNT87_gp245,-,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210607,-
2163633,65112758,KNT87_gp244,KNT87_gp244,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
