#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1883366,30306292,BOW87_gp002,BOW87_gp002,C421010_002,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20200910,-
1883366,30306308,BOW87_gt001,BOW87_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306309,BOW87_gp239,BOW87_gp239,C421010_019,-,-,-,chromophore lyase,protein-coding,-,-,-,chromophore lyase,20200910,-
1883366,30306310,BOW87_gt002,BOW87_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306311,BOW87_gt004,BOW87_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306312,BOW87_gp236,BOW87_gp236,C421010_022,-,-,-,putative short tail fiber,protein-coding,-,-,-,putative short tail fiber,20201221,-
1883366,30306313,BOW87_gp235,BOW87_gp235,C421010_023,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1883366,30306314,BOW87_gp234,BOW87_gp234,C421010_024,-,-,-,RNA-binding region RNP-1,protein-coding,-,-,-,RNA-binding region RNP-1,20200910,-
1883366,30306315,BOW87_gp233,BOW87_gp233,C421010_025,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1883366,30306316,BOW87_gp232,BOW87_gp232,C421010_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306317,BOW87_gp231,BOW87_gp231,C421010_027,-,-,-,Rhs family protein-like protein,protein-coding,-,-,-,Rhs family protein-like protein,20200910,-
1883366,30306318,BOW87_gp230,BOW87_gp230,C421010_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306319,BOW87_gp229,BOW87_gp229,C421010_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306320,BOW87_gp228,BOW87_gp228,C421010_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306321,BOW87_gp227,BOW87_gp227,C421010_031,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1883366,30306322,BOW87_gp226,BOW87_gp226,C421010_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306323,BOW87_gp225,BOW87_gp225,C421010_033,-,-,-,2OG-Fe(II) oxygenase superfamily domain protein,protein-coding,-,-,-,2OG-Fe(II) oxygenase superfamily domain protein,20201221,-
1883366,30306324,BOW87_gp224,BOW87_gp224,C421010_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306325,BOW87_gp223,BOW87_gp223,C421010_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306326,BOW87_gp222,BOW87_gp222,C421010_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306327,BOW87_gp221,BOW87_gp221,C421010_037,-,-,-,helicase-related protein,protein-coding,-,-,-,helicase-related protein,20201221,-
1883366,30306328,BOW87_gp220,BOW87_gp220,C421010_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306329,BOW87_gp219,BOW87_gp219,C421010_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306330,BOW87_gp218,BOW87_gp218,C421010_040,-,-,-,putative cytoplasmic protein,protein-coding,-,-,-,putative cytoplasmic protein,20201221,-
1883366,30306331,BOW87_gp217,BOW87_gp217,C421010_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306332,BOW87_gp216,BOW87_gp216,C421010_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306333,BOW87_gp215,BOW87_gp215,C421010_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306334,BOW87_gp214,BOW87_gp214,C421010_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306335,BOW87_gp213,BOW87_gp213,C421010_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306336,BOW87_gp212,BOW87_gp212,C421010_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306337,BOW87_gp211,BOW87_gp211,C421010_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306338,BOW87_gp210,BOW87_gp210,C421010_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306339,BOW87_gp209,BOW87_gp209,C421010_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306340,BOW87_gp208,BOW87_gp208,C421010_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306341,BOW87_gp207,BOW87_gp207,C421010_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306342,BOW87_gp206,BOW87_gp206,C421010_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306343,BOW87_gp205,BOW87_gp205,C421010_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306344,BOW87_gp204,BOW87_gp204,C421010_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306345,BOW87_gp203,BOW87_gp203,C421010_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306346,BOW87_gp202,BOW87_gp202,C421010_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306347,BOW87_gp201,BOW87_gp201,C421010_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306348,BOW87_gp200,BOW87_gp200,C421010_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306349,BOW87_gp199,BOW87_gp199,C421010_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306350,BOW87_gp198,BOW87_gp198,C421010_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306351,BOW87_gp197,BOW87_gp197,C421010_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306352,BOW87_gp196,BOW87_gp196,C421010_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306353,BOW87_gp195,BOW87_gp195,C421010_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306354,BOW87_gp194,BOW87_gp194,C421010_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306355,BOW87_gp193,BOW87_gp193,C421010_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306356,BOW87_gp192,BOW87_gp192,C421010_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306357,BOW87_gp191,BOW87_gp191,C421010_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306358,BOW87_gp190,BOW87_gp190,C421010_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306359,BOW87_gp189,BOW87_gp189,C421010_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306360,BOW87_gp188,BOW87_gp188,C421010_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306361,BOW87_gp187,BOW87_gp187,C421010_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306362,BOW87_gp186,BOW87_gp186,C421010_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306363,BOW87_gp185,BOW87_gp185,C421010_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306364,BOW87_gp184,BOW87_gp184,C421010_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306365,BOW87_gp183,BOW87_gp183,C421010_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306366,BOW87_gp182,BOW87_gp182,C421010_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306367,BOW87_gp181,BOW87_gp181,C421010_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306368,BOW87_gp180,BOW87_gp180,C421010_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306369,BOW87_gp179,BOW87_gp179,C421010_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306370,BOW87_gp178,BOW87_gp178,C421010_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306371,BOW87_gp177,BOW87_gp177,C421010_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306372,BOW87_gp176,BOW87_gp176,C421010_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306373,BOW87_gp175,BOW87_gp175,C421010_083,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1883366,30306374,BOW87_gp174,BOW87_gp174,C421010_084,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1883366,30306375,BOW87_gp173,BOW87_gp173,C421010_085,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1883366,30306376,BOW87_gp172,BOW87_gp172,C421010_086,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20201221,-
1883366,30306377,BOW87_gp171,BOW87_gp171,C421010_087,-,-,-,virulence-associated structural protein,protein-coding,-,-,-,virulence-associated structural protein,20201221,-
1883366,30306378,BOW87_gp170,BOW87_gp170,C421010_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306379,BOW87_gp169,BOW87_gp169,C421010_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306380,BOW87_gp168,BOW87_gp168,C421010_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306381,BOW87_gp167,BOW87_gp167,C421010_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306382,BOW87_gp166,BOW87_gp166,C421010_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306383,BOW87_gp165,BOW87_gp165,C421010_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306384,BOW87_gp164,BOW87_gp164,C421010_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306385,BOW87_gp163,BOW87_gp163,C421010_095,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1883366,30306386,BOW87_gp162,BOW87_gp162,C421010_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306387,BOW87_gp161,BOW87_gp161,C421010_097,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20200910,-
1883366,30306388,BOW87_gp160,BOW87_gp160,C421010_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306389,BOW87_gp159,BOW87_gp159,C421010_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306390,BOW87_gp158,BOW87_gp158,C421010_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306391,BOW87_gp157,BOW87_gp157,C421010_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306392,BOW87_gp156,BOW87_gp156,C421010_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306393,BOW87_gp155,BOW87_gp155,C421010_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306394,BOW87_gp154,BOW87_gp154,C421010_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306395,BOW87_gp153,BOW87_gp153,C421010_105,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20201221,-
1883366,30306396,BOW87_gp152,BOW87_gp152,C421010_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306397,BOW87_gp151,BOW87_gp151,C421010_107,-,-,-,ADP-heptose synthase / D-glycero-beta-D-manno-heptose 7-phosphate kinase,protein-coding,-,-,-,ADP-heptose synthase / D-glycero-beta-D-manno-heptose 7-phosphate kinase,20200910,-
1883366,30306398,BOW87_gp150,BOW87_gp150,C421010_108,-,-,-,phosphoheptose isomerase 1,protein-coding,-,-,-,phosphoheptose isomerase 1,20201221,-
1883366,30306399,BOW87_gp149,BOW87_gp149,C421010_109,-,-,-,glucose-1-phosphate adenylyltransferase related protein,protein-coding,-,-,-,glucose-1-phosphate adenylyltransferase related protein,20200910,-
1883366,30306400,BOW87_gp148,BOW87_gp148,C421010_110,-,-,-,ADP-L-glycero-D-manno-heptose-6-epimerase,protein-coding,-,-,-,ADP-L-glycero-D-manno-heptose-6-epimerase,20200910,-
1883366,30306401,BOW87_gp147,BOW87_gp147,C421010_111,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1883366,30306402,BOW87_gp146,BOW87_gp146,C421010_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306403,BOW87_gp145,BOW87_gp145,C421010_113,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1883366,30306404,BOW87_gp144,BOW87_gp144,C421010_114,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1883366,30306405,BOW87_gp143,BOW87_gp143,C421010_115,-,-,-,proximal tail sheath stabilizer,protein-coding,-,-,-,proximal tail sheath stabilizer,20201221,-
1883366,30306406,BOW87_gp142,BOW87_gp142,C421010_116,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1883366,30306407,BOW87_gp141,BOW87_gp141,C421010_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306408,BOW87_gp140,BOW87_gp140,C421010_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306409,BOW87_gp139,BOW87_gp139,C421010_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306410,BOW87_gp138,BOW87_gp138,C421010_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306411,BOW87_gp137,BOW87_gp137,C421010_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306412,BOW87_gp136,BOW87_gp136,C421010_122,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20201221,-
1883366,30306413,BOW87_gp135,BOW87_gp135,C421010_123,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20200910,-
1883366,30306414,BOW87_gp134,BOW87_gp134,C421010_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306415,BOW87_gp133,BOW87_gp133,C421010_125,-,-,-,6-phosphogluconate dehydrogenase,protein-coding,-,-,-,6-phosphogluconate dehydrogenase,20201221,-
1883366,30306416,BOW87_gp132,BOW87_gp132,C421010_126,-,-,-,glucose-6-phosphate 1-dehydrogenase,protein-coding,-,-,-,glucose-6-phosphate 1-dehydrogenase,20200910,-
1883366,30306417,BOW87_gp131,BOW87_gp131,C421010_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306418,BOW87_gp130,BOW87_gp130,C421010_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306419,BOW87_gp129,BOW87_gp129,C421010_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306420,BOW87_gp128,BOW87_gp128,C421010_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306421,BOW87_gp127,BOW87_gp127,C421010_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306422,BOW87_gp126,BOW87_gp126,C421010_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306423,BOW87_gp125,BOW87_gp125,C421010_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306424,BOW87_gp124,BOW87_gp124,C421010_134,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1883366,30306425,BOW87_gp123,BOW87_gp123,C421010_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306426,BOW87_gp122,BOW87_gp122,C421010_136,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20201221,-
1883366,30306427,BOW87_gp121,BOW87_gp121,C421010_137,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
1883366,30306428,BOW87_gp120,BOW87_gp120,C421010_138,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20200910,-
1883366,30306429,BOW87_gp119,BOW87_gp119,C421010_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306430,BOW87_gp118,BOW87_gp118,C421010_140,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20201221,-
1883366,30306431,BOW87_gp117,BOW87_gp117,C421010_141,-,-,-,prohead assembly (scaffolding) protein,protein-coding,-,-,-,prohead assembly (scaffolding) protein,20200910,-
1883366,30306432,BOW87_gp116,BOW87_gp116,C421010_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306433,BOW87_gp115,BOW87_gp115,C421010_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306434,BOW87_gp114,BOW87_gp114,C421010_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306435,BOW87_gp113,BOW87_gp113,C421010_145,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20200910,-
1883366,30306436,BOW87_gp112,BOW87_gp112,C421010_146,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20201221,-
1883366,30306437,BOW87_gp111,BOW87_gp111,C421010_147,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1883366,30306438,BOW87_gp110,BOW87_gp110,C421010_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306439,BOW87_gp109,BOW87_gp109,C421010_149,-,-,-,RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,RNA polymerase sigma factor for late transcription,20201221,-
1883366,30306440,BOW87_gp108,BOW87_gp108,C421010_150,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20201221,-
1883366,30306441,BOW87_gp107,BOW87_gp107,C421010_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306442,BOW87_gp106,BOW87_gp106,C421010_152,-,-,-,recombination-related endonuclease,protein-coding,-,-,-,recombination-related endonuclease,20200910,-
1883366,30306443,BOW87_gp105,BOW87_gp105,C421010_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306444,BOW87_gp104,BOW87_gp104,C421010_154,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200910,-
1883366,30306445,BOW87_gp103,BOW87_gp103,C421010_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306446,BOW87_gp101,BOW87_gp101,C421010_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306447,BOW87_gp102,BOW87_gp102,C421010_156,-,-,-,CobS,protein-coding,-,-,-,CobS,20201221,-
1883366,30306448,BOW87_gp100,BOW87_gp100,C421010_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306449,BOW87_gp099,BOW87_gp099,C421010_159,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20201221,-
1883366,30306450,BOW87_gp098,BOW87_gp098,C421010_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306451,BOW87_gp097,BOW87_gp097,C421010_161,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20201221,-
1883366,30306452,BOW87_gp096,BOW87_gp096,C421010_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306453,BOW87_gp095,BOW87_gp095,C421010_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306454,BOW87_gp094,BOW87_gp094,C421010_164,-,-,-,type II N-methyl DNA methyltransferase (group alpha),protein-coding,-,-,-,type II N-methyl DNA methyltransferase (group alpha),20201221,-
1883366,30306455,BOW87_gp093,BOW87_gp093,C421010_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306456,BOW87_gp092,BOW87_gp092,C421010_166,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20200910,-
1883366,30306457,BOW87_gp091,BOW87_gp091,C421010_167,-,-,-,endoribonuclease translational repressor of early genes,protein-coding,-,-,-,endoribonuclease translational repressor of early genes,20201221,-
1883366,30306458,BOW87_gp090,BOW87_gp090,C421010_168,-,-,-,"restriction enzyme, type II R/M system 1",protein-coding,-,-,-,"restriction enzyme, type II R/M system 1",20200910,-
1883366,30306459,BOW87_gp089,BOW87_gp089,C421010_169,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1883366,30306460,BOW87_gp088,BOW87_gp088,C421010_170,-,-,-,heat shock protein Hsp20,protein-coding,-,-,-,heat shock protein Hsp20,20201221,-
1883366,30306461,BOW87_gp087,BOW87_gp087,C421010_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306462,BOW87_gp086,BOW87_gp086,C421010_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306463,BOW87_gp085,BOW87_gp085,C421010_173,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1883366,30306464,BOW87_gp084,BOW87_gp084,C421010_174,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200910,-
1883366,30306465,BOW87_gp083,BOW87_gp083,C421010_175,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200910,-
1883366,30306466,BOW87_gp082,BOW87_gp082,C421010_176,-,-,-,MazG,protein-coding,-,-,-,MazG,20201221,-
1883366,30306467,BOW87_gt006,BOW87_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1883366,30306468,BOW87_gp080,BOW87_gp080,C421010_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306469,BOW87_gp079,BOW87_gp079,C421010_179,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20201221,-
1883366,30306470,BOW87_gp078,BOW87_gp078,C421010_180,-,-,-,aerobic NDP reductase small subunit NrdB,protein-coding,-,-,-,aerobic NDP reductase small subunit NrdB,20200910,-
1883366,30306471,BOW87_gp077,BOW87_gp077,C421010_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306472,BOW87_gp076,BOW87_gp076,C421010_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306473,BOW87_gp075,BOW87_gp075,C421010_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306474,BOW87_gp074,BOW87_gp074,C421010_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306475,BOW87_gp073,BOW87_gp073,C421010_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
