#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047,9923519,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Actinomyces dentocariosus; Nocardia dentocariosus; Nocardia salivae; Rothia denticariosa.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20150424,-
2047,32321319,ES20_RS09715,ES20_RS09715,ES20_09965,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321322,ES20_RS10135,ES20_RS10135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321326,ES20_RS09885,ES20_RS09885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321329,ES20_RS09905,ES20_RS09905,ES20_10160,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321334,ES20_RS10010,ES20_RS10010,ES20_10265,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321337,ES20_RS11890,ES20_RS11890,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321342,ES20_RS10185,ES20_RS10185,ES20_10435,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321343,ES20_RS09880,ES20_RS09880,ES20_10135,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321344,ES20_RS09895,ES20_RS09895,ES20_10150,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321345,ES20_RS10040,ES20_RS10040,ES20_10295,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321352,ES20_RS12280,ES20_RS12280,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321354,ES20_RS10155,ES20_RS10155,ES20_10405,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321355,ES20_RS10050,ES20_RS10050,ES20_10305,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321356,ES20_RS10225,ES20_RS10225,ES20_10480,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321358,ES20_RS12285,ES20_RS12285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321362,ES20_RS10085,ES20_RS10085,ES20_10340,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321364,ES20_RS09700,ES20_RS09700,ES20_09950,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321367,ES20_RS11880,ES20_RS11880,ES20_10105,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321368,ES20_RS11895,ES20_RS11895,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321370,ES20_RS10065,ES20_RS10065,ES20_10320,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321371,ES20_RS09900,ES20_RS09900,ES20_10155,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321372,ES20_RS10140,ES20_RS10140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321373,ES20_RS09910,ES20_RS09910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170503,-
2047,32321376,ES20_RS09725,ES20_RS09725,ES20_09975,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321377,ES20_RS09865,ES20_RS09865,ES20_10120,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321379,ES20_RS09875,ES20_RS09875,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321381,ES20_RS10080,ES20_RS10080,ES20_10335,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321382,ES20_RS10055,ES20_RS10055,ES20_10310,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321383,ES20_RS09855,ES20_RS09855,ES20_10110,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321386,ES20_RS09845,ES20_RS09845,ES20_10100,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321387,ES20_RS09695,ES20_RS09695,ES20_09945,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321388,ES20_RS09730,ES20_RS09730,ES20_09980,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321391,ES20_RS10170,ES20_RS10170,ES20_10420,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321392,ES20_RS10160,ES20_RS10160,ES20_10410,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321394,ES20_RS10165,ES20_RS10165,ES20_10415,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321397,ES20_RS11570,ES20_RS11570,ES20_11865,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321400,ES20_RS11560,ES20_RS11560,ES20_11855,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321401,ES20_RS11545,ES20_RS11545,ES20_11840,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321402,ES20_RS12315,ES20_RS12315,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321404,ES20_RS11535,ES20_RS11535,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321406,ES20_RS11505,ES20_RS11505,ES20_11800,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321407,ES20_RS11510,ES20_RS11510,ES20_11805,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321413,ES20_RS11515,ES20_RS11515,ES20_11810,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321415,ES20_RS11480,ES20_RS11480,ES20_11775,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321423,ES20_RS11465,ES20_RS11465,ES20_11760,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321432,ES20_RS11410,ES20_RS11410,ES20_11705,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321435,ES20_RS11335,ES20_RS11335,ES20_11630,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321440,ES20_RS11340,ES20_RS11340,ES20_11635,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321445,ES20_RS11305,ES20_RS11305,ES20_11600,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321446,ES20_RS11295,ES20_RS11295,ES20_11580,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321448,ES20_RS11300,ES20_RS11300,ES20_11585,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321449,ES20_RS11290,ES20_RS11290,ES20_11575,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321450,ES20_RS12310,ES20_RS12310,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321453,ES20_RS11280,ES20_RS11280,ES20_11560,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321457,ES20_RS11270,ES20_RS11270,ES20_11545,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321459,ES20_RS11310,ES20_RS11310,ES20_11605,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321466,ES20_RS11085,ES20_RS11085,ES20_11360,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321469,ES20_RS11165,ES20_RS11165,ES20_11440,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321479,ES20_RS11200,ES20_RS11200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321484,ES20_RS11215,ES20_RS11215,ES20_11490,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210129,-
2047,32321491,ES20_RS11160,ES20_RS11160,ES20_11435,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321496,ES20_RS11075,ES20_RS11075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321500,ES20_RS11030,ES20_RS11030,ES20_11305,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321502,ES20_RS12295,ES20_RS12295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321504,ES20_RS11040,ES20_RS11040,ES20_11315,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321510,ES20_RS11060,ES20_RS11060,ES20_11335,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321511,ES20_RS11050,ES20_RS11050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321519,ES20_RS10670,ES20_RS10670,ES20_10930,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321521,ES20_RS10725,ES20_RS10725,ES20_10985,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321523,ES20_RS10755,ES20_RS10755,ES20_11015,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321526,ES20_RS11905,ES20_RS11905,ES20_10825,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321539,ES20_RS10870,ES20_RS10870,ES20_11140,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321540,ES20_RS10810,ES20_RS10810,ES20_11070,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321548,ES20_RS10895,ES20_RS10895,ES20_11165,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321551,ES20_RS10615,ES20_RS10615,ES20_10875,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321552,ES20_RS10570,ES20_RS10570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321553,ES20_RS10675,ES20_RS10675,ES20_10935,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321554,ES20_RS10575,ES20_RS10575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321555,ES20_RS10650,ES20_RS10650,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32321569,ES20_RS10885,ES20_RS10885,ES20_11155,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321570,ES20_RS10730,ES20_RS10730,ES20_10990,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321573,ES20_RS10890,ES20_RS10890,ES20_11160,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321575,ES20_RS10875,ES20_RS10875,ES20_11145,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321578,ES20_RS10950,ES20_RS10950,ES20_11220,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321582,ES20_RS10855,ES20_RS10855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321592,ES20_RS10975,ES20_RS10975,ES20_11245,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321597,ES20_RS10900,ES20_RS10900,ES20_11170,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321602,ES20_RS10805,ES20_RS10805,ES20_11065,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321605,ES20_RS10550,ES20_RS10550,ES20_10810,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321607,ES20_RS10530,ES20_RS10530,ES20_10790,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321609,ES20_RS10460,ES20_RS10460,ES20_10710,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321610,ES20_RS10515,ES20_RS10515,ES20_10775,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321613,ES20_RS10420,ES20_RS10420,ES20_10670,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321614,ES20_RS10455,ES20_RS10455,ES20_10705,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321618,ES20_RS10425,ES20_RS10425,ES20_10675,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321619,ES20_RS10450,ES20_RS10450,ES20_10700,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321624,ES20_RS10440,ES20_RS10440,ES20_10690,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321625,ES20_RS10435,ES20_RS10435,ES20_10685,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321630,ES20_RS10445,ES20_RS10445,ES20_10695,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321633,ES20_RS10280,ES20_RS10280,ES20_10535,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321634,ES20_RS10285,ES20_RS10285,ES20_10540,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321635,ES20_RS10310,ES20_RS10310,ES20_10565,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321636,ES20_RS11900,ES20_RS11900,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321637,ES20_RS10305,ES20_RS10305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321638,ES20_RS10300,ES20_RS10300,ES20_10555,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321647,ES20_RS10335,ES20_RS10335,ES20_10590,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321649,ES20_RS10330,ES20_RS10330,ES20_10585,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321650,ES20_RS10320,ES20_RS10320,ES20_10575,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321651,ES20_RS10290,ES20_RS10290,ES20_10545,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321652,ES20_RS10295,ES20_RS10295,ES20_10550,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321653,ES20_RS10275,ES20_RS10275,ES20_10530,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321656,ES20_RS10255,ES20_RS10255,ES20_10510,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321657,ES20_RS10250,ES20_RS10250,ES20_10505,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321658,ES20_RS10415,ES20_RS10415,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321660,ES20_RS10245,ES20_RS10245,ES20_10500,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321663,ES20_RS10385,ES20_RS10385,ES20_10640,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321664,ES20_RS10360,ES20_RS10360,ES20_10615,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321668,ES20_RS00120,ES20_RS00120,ES20_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321669,ES20_RS00095,ES20_RS00095,ES20_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321670,ES20_RS00130,ES20_RS00130,ES20_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321672,ES20_RS00100,ES20_RS00100,ES20_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321674,ES20_RS00125,ES20_RS00125,ES20_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321675,ES20_RS00040,ES20_RS00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321676,ES20_RS00075,ES20_RS00075,ES20_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321677,ES20_RS00010,ES20_RS00010,ES20_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321678,ES20_RS00070,ES20_RS00070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321679,ES20_RS00005,ES20_RS00005,ES20_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321680,ES20_RS11575,ES20_RS11575,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321681,ES20_RS00030,ES20_RS00030,ES20_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321684,ES20_RS00015,ES20_RS00015,ES20_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321685,ES20_RS00105,ES20_RS00105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321686,ES20_RS00025,ES20_RS00025,ES20_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321687,ES20_RS00035,ES20_RS00035,ES20_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321688,ES20_RS00045,ES20_RS00045,ES20_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321689,ES20_RS00080,ES20_RS00080,ES20_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321690,ES20_RS00110,ES20_RS00110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321691,ES20_RS00090,ES20_RS00090,ES20_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321692,ES20_RS00085,ES20_RS00085,ES20_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32321693,ES20_RS00020,ES20_RS00020,ES20_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321694,ES20_RS09545,ES20_RS09545,ES20_09795,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321695,ES20_RS09615,ES20_RS09615,ES20_09865,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321698,ES20_RS09610,ES20_RS09610,ES20_09860,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321699,ES20_RS09605,ES20_RS09605,ES20_09855,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321701,ES20_RS09580,ES20_RS09580,ES20_09830,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321703,ES20_RS11875,ES20_RS11875,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321707,ES20_RS09600,ES20_RS09600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321711,ES20_RS09555,ES20_RS09555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321712,ES20_RS09535,ES20_RS09535,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321715,ES20_RS09630,ES20_RS09630,ES20_09880,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321720,ES20_RS08845,ES20_RS08845,ES20_09090,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321723,ES20_RS09180,ES20_RS09180,ES20_09430,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321728,ES20_RS08805,ES20_RS08805,ES20_09050,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321729,ES20_RS08860,ES20_RS08860,ES20_09105,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32321736,ES20_RS09530,ES20_RS09530,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321739,ES20_RS08825,ES20_RS08825,ES20_09070,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321751,ES20_RS09455,ES20_RS09455,ES20_09705,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321752,ES20_RS11870,ES20_RS11870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321754,ES20_RS09090,ES20_RS09090,ES20_09335,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321761,ES20_RS09200,ES20_RS09200,ES20_09450,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321766,ES20_RS09185,ES20_RS09185,ES20_09435,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321769,ES20_RS08760,ES20_RS08760,ES20_09005,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321771,ES20_RS08815,ES20_RS08815,ES20_09060,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321773,ES20_RS08780,ES20_RS08780,ES20_09025,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321788,ES20_RS09095,ES20_RS09095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321791,ES20_RS09085,ES20_RS09085,ES20_09330,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321792,ES20_RS09335,ES20_RS09335,ES20_09585,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321796,ES20_RS08985,ES20_RS08985,ES20_09230,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321797,ES20_RS08980,ES20_RS08980,ES20_09225,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321798,ES20_RS11860,ES20_RS11860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321799,ES20_RS09000,ES20_RS09000,ES20_09245,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321801,ES20_RS08965,ES20_RS08965,ES20_09210,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321810,ES20_RS09100,ES20_RS09100,ES20_09345,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321811,ES20_RS09510,ES20_RS09510,ES20_09760,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321815,ES20_RS09450,ES20_RS09450,ES20_09700,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32321827,ES20_RS11865,ES20_RS11865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321832,ES20_RS09275,ES20_RS09275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170906,-
2047,32321843,ES20_RS08960,ES20_RS08960,ES20_09205,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321850,ES20_RS08855,ES20_RS08855,ES20_09100,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321860,ES20_RS08990,ES20_RS08990,ES20_09235,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321865,ES20_RS08975,ES20_RS08975,ES20_09220,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321866,ES20_RS08970,ES20_RS08970,ES20_09215,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321867,ES20_RS08995,ES20_RS08995,ES20_09240,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321872,ES20_RS09420,ES20_RS09420,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200905,-
2047,32321878,ES20_RS12265,ES20_RS12265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321879,ES20_RS08755,ES20_RS08755,ES20_09000,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321890,ES20_RS08725,ES20_RS08725,ES20_08970,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321893,ES20_RS08705,ES20_RS08705,ES20_08950,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321896,ES20_RS08665,ES20_RS08665,ES20_08910,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32321897,ES20_RS08655,ES20_RS08655,ES20_08900,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20171117,-
2047,32321899,ES20_RS08530,ES20_RS08530,ES20_08770,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321905,ES20_RS08565,ES20_RS08565,ES20_08805,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321906,ES20_RS08560,ES20_RS08560,ES20_08800,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321908,ES20_RS08550,ES20_RS08550,ES20_08790,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
