#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897536,40072588,2,FDH11_gp02,E6_2,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1897536,40072603,17,FDH11_gp17,E6_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1897536,40072604,18,FDH11_gp18,E6_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897536,40072605,19,FDH11_gp19,E6_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897536,40072606,20,FDH11_gp20,E6_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072607,21,FDH11_gp21,E6_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072608,22,FDH11_gp22,E6_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897536,40072609,23,FDH11_gp23,E6_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1897536,40072610,24,FDH11_gp24,E6_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072611,25,FDH11_gp25,E6_25,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1897536,40072612,26,FDH11_gp26,E6_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1897536,40072613,27,FDH11_gp27,E6_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072614,28,FDH11_gp28,E6_28,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1897536,40072615,29,FDH11_gp29,E6_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072616,30,FDH11_gp30,E6_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1897536,40072617,31,FDH11_gp31,E6_31,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1897536,40072618,32,FDH11_gp32,E6_32,-,-,-,"antirepressor, P22 ANT-like",protein-coding,-,-,-,"antirepressor, P22 ANT-like",20201221,-
1897536,40072619,33,FDH11_gp33,E6_33,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1897536,40072620,34,FDH11_gp34,E6_34,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1897536,40072621,35,FDH11_gp35,E6_35,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1897536,40072622,36,FDH11_gp36,E6_36,-,-,-,"antirepressor, P22 ANT-like",protein-coding,-,-,-,"antirepressor, P22 ANT-like",20201221,-
1897536,40072623,37,FDH11_gp37,E6_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072624,38,FDH11_gp38,E6_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072625,39,FDH11_gp39,E6_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072626,40,FDH11_gp40,E6_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072627,41,FDH11_gp41,E6_41,-,-,-,RecE-like protein,protein-coding,-,-,-,RecE-like protein,20201221,-
1897536,40072628,42,FDH11_gp42,E6_42,-,-,-,RecT-like domain protein,protein-coding,-,-,-,RecT-like domain protein,20201221,-
1897536,40072629,43,FDH11_gp43,E6_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072630,44,FDH11_gp44,E6_44,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1897536,40072631,45,FDH11_gp45,E6_45,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201221,-
1897536,40072632,46,FDH11_gp46,E6_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072633,47,FDH11_gp47,E6_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072634,48,FDH11_gp48,E6_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072635,49,FDH11_gp49,E6_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072636,50,FDH11_gp50,E6_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072637,51,FDH11_gp51,E6_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072638,53,FDH11_gp53,E6_53,-,-,-,single-stranded DNA binding domain protein,protein-coding,-,-,-,single-stranded DNA binding domain protein,20201221,-
1897536,40072639,54,FDH11_gp54,E6_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072640,55,FDH11_gp55,E6_55,-,-,-,transposase DNA binding domain protein,protein-coding,-,-,-,transposase DNA binding domain protein,20201221,-
1897536,40072641,56,FDH11_gp56,E6_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072642,57,FDH11_gp57,E6_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072643,58,FDH11_gp58,E6_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072644,59,FDH11_gp59,E6_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072645,60,FDH11_gp60,E6_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1897536,40072646,52,FDH11_gp52,E6_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072647,1,FDH11_gp01,E6_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40120347,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
