#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458857,19736176,LP114_003,LP114_003,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201221,-
1458857,19736254,LP114_082,LP114_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736255,LP114_083,LP114_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736256,LP114_084,LP114_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736257,LP114_085,LP114_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736258,LP114_086,LP114_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736259,LP114_087,LP114_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736260,LP114_088,LP114_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736261,LP114_089,LP114_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736262,LP114_090,LP114_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736263,LP114_091,LP114_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736264,LP114_092,LP114_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736265,LP114_093,LP114_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736266,LP114_094,LP114_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736267,LP114_095,LP114_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736268,LP114_096,LP114_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736269,LP114_097,LP114_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736270,LP114_098,LP114_098,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1458857,19736271,LP114_099,LP114_099,-,-,-,-,DUF2479 domain-containing protein,protein-coding,-,-,-,DUF2479 domain-containing protein,20201221,-
1458857,19736272,LP114_100,LP114_100,-,-,-,-,DUF2479 domain-containing protein,protein-coding,-,-,-,DUF2479 domain-containing protein,20201221,-
1458857,19736273,LP114_101,LP114_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736274,LP114_102,LP114_102,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1458857,19736275,LP114_103,LP114_103,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1458857,19736276,LP114_104,LP114_104,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458857,19736277,LP114_105,LP114_105,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458857,19736278,LP114_106,LP114_106,-,-,-,-,capsid morphogenesis protein,protein-coding,-,-,-,capsid morphogenesis protein,20201221,-
1458857,19736279,LP114_107,LP114_107,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1458857,19736280,LP114_108,LP114_108,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1458857,19736281,LP114_109,LP114_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736282,LP114_110,LP114_110,-,-,-,-,fibronectin type III domain-containing protein,protein-coding,-,-,-,fibronectin type III domain-containing protein,20201221,-
1458857,19736283,LP114_111,LP114_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736284,LP114_112,LP114_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736285,LP114_113,LP114_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736286,LP114_114,LP114_114,-,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20210320,-
1458857,19736287,LP114_115,LP114_115,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
1458857,19736288,LP114_116,LP114_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736289,LP114_117,LP114_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736290,LP114_002,LP114_002,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1458857,19736291,LP114_001,LP114_001,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1458857,19791158,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
