#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591371,56134910,H1O02_gp02,H1O02_gp02,gp2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591371,56134931,H1O02_gp23,H1O02_gp23,gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134932,H1O02_gp24,H1O02_gp24,gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134933,H1O02_gp25,H1O02_gp25,gp25,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201217,-
2591371,56134934,H1O02_gp26,H1O02_gp26,gp26,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20200724,-
2591371,56134935,H1O02_gp27,H1O02_gp27,gp27,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210424,-
2591371,56134936,H1O02_gp28,H1O02_gp28,gp28,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210424,-
2591371,56134937,H1O02_gp29,H1O02_gp29,gp29,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201217,-
2591371,56134938,H1O02_gp30,H1O02_gp30,gp30,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
2591371,56134939,H1O02_gp31,H1O02_gp31,gp31,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201217,-
2591371,56134940,H1O02_gp32,H1O02_gp32,gp32,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210424,-
2591371,56134941,H1O02_gp33,H1O02_gp33,gp33,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210424,-
2591371,56134942,H1O02_gp34,H1O02_gp34,gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134943,H1O02_gp35,H1O02_gp35,gp35,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200724,-
2591371,56134944,H1O02_gp36,H1O02_gp36,gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134945,H1O02_gp37,H1O02_gp37,gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591371,56134946,H1O02_gp38,H1O02_gp38,gp38,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210327,-
2591371,56134947,H1O02_gp39,H1O02_gp39,gp39,-,-,-,putative nucleoside triphosphate hydrolase,protein-coding,-,-,-,putative nucleoside triphosphate hydrolase,20210424,-
2591371,56134948,H1O02_gp40,H1O02_gp40,gp40,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2591371,56134949,H1O02_gp41,H1O02_gp41,gp41,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201217,-
2591371,56134950,H1O02_gp42,H1O02_gp42,gp42,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20210424,-
2591371,56134951,H1O02_gp43,H1O02_gp43,gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134952,H1O02_gp44,H1O02_gp44,gp44,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210123,-
2591371,56134953,H1O02_gp45,H1O02_gp45,gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134954,H1O02_gp46,H1O02_gp46,gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134955,H1O02_gp47,H1O02_gp47,gp47,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2591371,56134956,H1O02_gp48,H1O02_gp48,gp48,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20200724,-
2591371,56134957,H1O02_gp49,H1O02_gp49,gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134958,H1O02_gp50,H1O02_gp50,gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134959,H1O02_gp51,H1O02_gp51,gp51,-,-,-,putative polyribonucleotide nucleotidyltransferase,protein-coding,-,-,-,putative polyribonucleotide nucleotidyltransferase,20200724,-
2591371,56134960,H1O02_gp52,H1O02_gp52,gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134961,H1O02_gp53,H1O02_gp53,gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134962,H1O02_gp54,H1O02_gp54,gp54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134963,H1O02_gp55,H1O02_gp55,gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134964,H1O02_gp56,H1O02_gp56,gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134965,H1O02_gp57,H1O02_gp57,gp57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134966,H1O02_gp58,H1O02_gp58,gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134967,H1O02_gp59,H1O02_gp59,gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134968,H1O02_gp60,H1O02_gp60,gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134969,H1O02_gp61,H1O02_gp61,gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134970,H1O02_gp62,H1O02_gp62,gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134971,H1O02_gp63,H1O02_gp63,gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134972,H1O02_gp64,H1O02_gp64,gp64,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201217,-
2591371,56134973,H1O02_gp65,H1O02_gp65,gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134974,H1O02_gp66,H1O02_gp66,gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134975,H1O02_gp67,H1O02_gp67,gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134976,H1O02_gp68,H1O02_gp68,gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134977,H1O02_gp69,H1O02_gp69,gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134978,H1O02_gp70,H1O02_gp70,gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134979,H1O02_gp71,H1O02_gp71,gp71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134980,H1O02_gp72,H1O02_gp72,gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591371,56134981,H1O02_gp73,H1O02_gp73,gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134982,H1O02_gp74,H1O02_gp74,gp74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134983,H1O02_gp75,H1O02_gp75,gp75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134984,H1O02_gp76,H1O02_gp76,gp76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134985,H1O02_gp77,H1O02_gp77,gp77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134986,H1O02_gp78,H1O02_gp78,gp78,-,-,-,putative Eaa-like protein,protein-coding,-,-,-,putative Eaa-like protein,20201217,-
2591371,56134987,H1O02_gp79,H1O02_gp79,gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134988,H1O02_gp80,H1O02_gp80,gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134989,H1O02_gp81,H1O02_gp81,gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134990,H1O02_gp82,H1O02_gp82,gp82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134991,H1O02_gp01,H1O02_gp01,gp1,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210424,-
2591371,56166659,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
