#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1735582,26642870,AVT95p45,AVT95p45,-,-,-,-,internal virion core protein,protein-coding,-,-,-,internal virion core protein,20201221,-
1735582,26642910,AVT95p33,AVT95p33,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
1735582,26642911,AVT95p34,AVT95p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642912,AVT95p35,AVT95p35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642913,AVT95p36,AVT95p36,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1735582,26642914,AVT95p37,AVT95p37,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1735582,26642915,AVT95p38,AVT95p38,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1735582,26642916,AVT95p39,AVT95p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642917,AVT95p40,AVT95p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642918,AVT95p41,AVT95p41,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201221,-
1735582,26642919,AVT95p42,AVT95p42,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
1735582,26642920,AVT95p43,AVT95p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26681005,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acinetobacter baumannnii phage IME-200; Acinetobacter phage IME-200; Acinetobacter phage vB_AbaM_IME200; Acinetobacter phage vB_AbaP_IME2; Acinetobacter phage vB_AbaP_IME200).,other,-,-,-,-,20200513,-
1735582,34945467,AVT95p08,AVT95p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,34945468,AVT95p28,AVT95p28,-,-,-,-,DNA exonuclease,protein-coding,-,-,-,DNA exonuclease,20201221,-
1735582,34945469,AVT95p44,AVT95p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,36482705,AVT95p53,AVT95p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,36482706,AVT95p54,AVT95p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
