#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141132,14013216,F401_gp02,F401_gp02,phiAS7_00002,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1141132,14013232,F401_gp18,F401_gp18,phiAS7_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013233,F401_gp19,F401_gp19,phiAS7_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013234,F401_gp20,F401_gp20,phiAS7_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013235,F401_gp21,F401_gp21,phiAS7_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013236,F401_gp22,F401_gp22,phiAS7_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013237,F401_gp23,F401_gp23,phiAS7_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013238,F401_gp24,F401_gp24,phiAS7_00024,-,-,-,phage Mu protein F-like protein,protein-coding,-,-,-,phage Mu protein F-like protein,20201221,-
1141132,14013239,F401_gp25,F401_gp25,phiAS7_00025,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1141132,14013240,F401_gp26,F401_gp26,phiAS7_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013241,F401_gp27,F401_gp27,phiAS7_00027,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20201221,-
1141132,14013242,F401_gp28,F401_gp28,phiAS7_00028,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20201221,-
1141132,14013243,F401_gp29,F401_gp29,phiAS7_00029,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1141132,14013244,F401_gp30,F401_gp30,phiAS7_00030,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1141132,14013245,F401_gp31,F401_gp31,phiAS7_00031,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20201221,-
1141132,14013246,F401_gp32,F401_gp32,phiAS7_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013247,F401_gp33,F401_gp33,phiAS7_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013248,F401_gp34,F401_gp34,phiAS7_00034,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
1141132,14013249,F401_gp35,F401_gp35,phiAS7_00035,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20201221,-
1141132,14013250,F401_gp36,F401_gp36,phiAS7_00036,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1141132,14013251,F401_gp37,F401_gp37,phiAS7_00037,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1141132,14013252,F401_gp38,F401_gp38,phiAS7_00038,-,-,-,putative head portal protein,protein-coding,-,-,-,putative head portal protein,20201221,-
1141132,14013253,F401_gp39,F401_gp39,phiAS7_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013254,F401_gp40,F401_gp40,phiAS7_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013255,F401_gp41,F401_gp41,phiAS7_00041,-,-,-,putative host specificity protein A,protein-coding,-,-,-,putative host specificity protein A,20201221,-
1141132,14013256,F401_gp42,F401_gp42,phiAS7_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013257,F401_gp43,F401_gp43,phiAS7_00043,-,-,-,putative DNA-dependent RNA polymerase,protein-coding,-,-,-,putative DNA-dependent RNA polymerase,20201221,-
1141132,14013258,F401_gp44,F401_gp44,phiAS7_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013259,F401_gp45,F401_gp45,phiAS7_00045,-,-,-,putative ATP-binding protein,protein-coding,-,-,-,putative ATP-binding protein,20201221,-
1141132,14013260,F401_gp46,F401_gp46,phiAS7_00046,-,-,-,putative kinase phosphatase,protein-coding,-,-,-,putative kinase phosphatase,20201221,-
1141132,14013261,F401_gp47,F401_gp47,phiAS7_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013262,F401_gp48,F401_gp48,phiAS7_00048,-,-,-,putative DNA endonuclease,protein-coding,-,-,-,putative DNA endonuclease,20201221,-
1141132,14013263,F401_gp49,F401_gp49,phiAS7_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013264,F401_gp50,F401_gp50,phiAS7_00050,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20201221,-
1141132,14013265,F401_gp51,F401_gp51,phiAS7_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013266,F401_gp01,F401_gp01,phiAS7_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14023574,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200520,-
