#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696385,56133550,H1N83_gp02,H1N83_gp02,atuna_2,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2696385,56133613,H1N83_gp65,H1N83_gp65,atuna_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133614,H1N83_gp66,H1N83_gp66,atuna_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133615,H1N83_gp67,H1N83_gp67,atuna_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133616,H1N83_gp68,H1N83_gp68,atuna_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133617,H1N83_gp69,H1N83_gp69,atuna_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133618,H1N83_gp70,H1N83_gp70,atuna_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133619,H1N83_gp71,H1N83_gp71,atuna_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133620,H1N83_gp72,H1N83_gp72,atuna_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133621,H1N83_gp73,H1N83_gp73,atuna_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133622,H1N83_gp74,H1N83_gp74,atuna_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133623,H1N83_gp75,H1N83_gp75,atuna_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133624,H1N83_gp76,H1N83_gp76,atuna_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133625,H1N83_gp77,H1N83_gp77,atuna_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133626,H1N83_gp78,H1N83_gp78,atuna_78,-,-,-,putative site specific DNA methylase,protein-coding,-,-,-,putative site specific DNA methylase,20200724,-
2696385,56133627,H1N83_gp79,H1N83_gp79,atuna_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133628,H1N83_gp80,H1N83_gp80,atuna_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133629,H1N83_gp81,H1N83_gp81,atuna_81,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210313,-
2696385,56133630,H1N83_gp82,H1N83_gp82,atuna_82,-,-,-,YdbL,protein-coding,-,-,-,YdbL,20200724,-
2696385,56133631,H1N83_gp83,H1N83_gp83,atuna_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133632,H1N83_gp84,H1N83_gp84,atuna_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133633,H1N83_gp01,H1N83_gp01,atuna_1,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2696385,56166689,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200727,-
