#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1468411,19487942,FH31_gp02,FH31_gp02,9g_00002,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20201221,-
1468411,19487955,FH31_gp15,FH31_gp15,9g_00015,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20201221,-
1468411,19487956,FH31_gp16,FH31_gp16,9g_00016,-,-,-,RNAse H,protein-coding,-,-,-,RNAse H,20201221,-
1468411,19487957,FH31_gp17,FH31_gp17,9g_00017,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
1468411,19487958,FH31_gp18,FH31_gp18,9g_00018,-,-,-,deoxyuridine 5'-triphosphatenucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphatenucleotidohydrolase,20201221,-
1468411,19487959,FH31_gp19,FH31_gp19,9g_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487960,FH31_gp20,FH31_gp20,9g_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487961,FH31_gp21,FH31_gp21,9g_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487962,FH31_gp22,FH31_gp22,9g_00022,-,-,-,ZPR1 zinc finger protein,protein-coding,-,-,-,ZPR1 zinc finger protein,20201221,-
1468411,19487963,FH31_gp23,FH31_gp23,9g_00023,-,-,-,putative cysteine protease,protein-coding,-,-,-,putative cysteine protease,20201221,-
1468411,19487964,FH31_gp24,FH31_gp24,9g_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487965,FH31_gp25,FH31_gp25,9g_00025,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1468411,19487966,FH31_gp26,FH31_gp26,9g_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487967,FH31_gp27,FH31_gp27,9g_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487968,FH31_gp28,FH31_gp28,9g_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487969,FH31_gp29,FH31_gp29,9g_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487970,FH31_gp30,FH31_gp30,9g_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487971,FH31_gp31,FH31_gp31,9g_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487972,FH31_gp32,FH31_gp32,9g_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487973,FH31_gp33,FH31_gp33,9g_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487974,FH31_gp34,FH31_gp34,9g_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487975,FH31_gp35,FH31_gp35,9g_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487976,FH31_gp36,FH31_gp36,9g_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487977,FH31_gp37,FH31_gp37,9g_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487978,FH31_gp38,FH31_gp38,9g_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487979,FH31_gp39,FH31_gp39,9g_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487980,FH31_gp40,FH31_gp40,9g_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487981,FH31_gp41,FH31_gp41,9g_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487982,FH31_gp42,FH31_gp42,9g_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487983,FH31_gp43,FH31_gp43,9g_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487984,FH31_gp44,FH31_gp44,9g_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487985,FH31_gp45,FH31_gp45,9g_00045,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20201221,-
1468411,19487986,FH31_gp46,FH31_gp46,9g_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487987,FH31_gp47,FH31_gp47,9g_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487988,FH31_gp48,FH31_gp48,9g_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487989,FH31_gp49,FH31_gp49,9g_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487990,FH31_gp50,FH31_gp50,9g_00050,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1468411,19487991,FH31_gp51,FH31_gp51,9g_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487992,FH31_gp52,FH31_gp52,9g_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487993,FH31_gp53,FH31_gp53,9g_00053,-,-,-,main coat protein,protein-coding,-,-,-,main coat protein,20201221,-
1468411,19487994,FH31_gp54,FH31_gp54,9g_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487995,FH31_gp55,FH31_gp55,9g_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487996,FH31_gp56,FH31_gp56,9g_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487997,FH31_gp57,FH31_gp57,9g_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487998,FH31_gp58,FH31_gp58,9g_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487999,FH31_gp59,FH31_gp59,9g_00059,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1468411,19488000,FH31_gp60,FH31_gp60,9g_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488001,FH31_gp61,FH31_gp61,9g_00061,-,-,-,tail subunit,protein-coding,-,-,-,tail subunit,20201221,-
1468411,19488002,FH31_gp62,FH31_gp62,9g_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488003,FH31_gp63,FH31_gp63,9g_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488004,FH31_gp64,FH31_gp64,9g_00064,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1468411,19488005,FH31_gp65,FH31_gp65,9g_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488006,FH31_gp66,FH31_gp66,9g_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488007,FH31_gp67,FH31_gp67,9g_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488008,FH31_gp68,FH31_gp68,9g_00068,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20201221,-
1468411,19488009,FH31_gp69,FH31_gp69,9g_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19488010,FH31_gp70,FH31_gp70,9g_00070,-,-,-,side tail fiber,protein-coding,-,-,-,side tail fiber,20201221,-
1468411,19488011,FH31_gp71,FH31_gp71,9g_00071,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20201221,-
1468411,19488012,FH31_gp01,FH31_gp01,9g_00001,-,-,-,DNA polymerase elongation subunit 1,protein-coding,-,-,-,DNA polymerase elongation subunit 1,20201221,-
1468411,19554973,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
