#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1173754,16254175,N276_gp02,N276_gp02,SP030_00010,-,-,-,DR0530-like primase,protein-coding,-,-,-,DR0530-like primase,20200629,-
1173754,16254197,N276_gp24,N276_gp24,SP030_00120,-,-,-,pre-tape measure frameshift protein G-T,protein-coding,-,-,-,pre-tape measure frameshift protein G-T,20200629,-
1173754,16254198,N276_gp25,N276_gp25,SP030_00125,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1173754,16254199,N276_gp26,N276_gp26,SP030_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254200,N276_gp27,N276_gp27,SP030_00135,-,-,-,structural phage protein,protein-coding,-,-,-,structural phage protein,20200801,-
1173754,16254201,N276_gp28,N276_gp28,SP030_00140,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200629,-
1173754,16254202,N276_gp29,N276_gp29,SP030_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254203,N276_gp30,N276_gp30,SP030_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254204,N276_gp31,N276_gp31,SP030_00155,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1173754,16254205,N276_gp32,N276_gp32,SP030_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254206,N276_gp33,N276_gp33,SP030_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254207,N276_gp34,N276_gp34,SP030_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254208,N276_gp35,N276_gp35,SP030_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254209,N276_gp36,N276_gp36,SP030_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254210,N276_gp37,N276_gp37,SP030_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254211,N276_gp38,N276_gp38,SP030_00190,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20200629,-
1173754,16254212,N276_gp39,N276_gp39,SP030_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254213,N276_gp40,N276_gp40,SP030_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254214,N276_gp41,N276_gp41,SP030_00205,-,-,-,NinC protein,protein-coding,-,-,-,NinC protein,20210417,-
1173754,16254215,N276_gp42,N276_gp42,SP030_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254216,N276_gp43,N276_gp43,SP030_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254217,N276_gp44,N276_gp44,SP030_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254218,N276_gp45,N276_gp45,SP030_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254219,N276_gp46,N276_gp46,SP030_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254220,N276_gp47,N276_gp47,SP030_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254221,N276_gp48,N276_gp48,SP030_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254222,N276_gp49,N276_gp49,SP030_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254223,N276_gp50,N276_gp50,SP030_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254224,N276_gp51,N276_gp51,SP030_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254225,N276_gp52,N276_gp52,SP030_00260,-,-,-,putative DNA adenine methylase,protein-coding,-,-,-,putative DNA adenine methylase,20210417,-
1173754,16254226,N276_gp53,N276_gp53,SP030_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254227,N276_gp54,N276_gp54,SP030_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254228,N276_gp55,N276_gp55,SP030_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254229,N276_gp56,N276_gp56,SP030_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254230,N276_gp57,N276_gp57,SP030_00285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254231,N276_gp58,N276_gp58,SP030_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254232,N276_gp59,N276_gp59,SP030_00295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254233,N276_gp60,N276_gp60,SP030_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254234,N276_gp61,N276_gp61,SP030_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254235,N276_gp62,N276_gp62,SP030_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254236,N276_gp63,N276_gp63,SP030_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254237,N276_gp64,N276_gp64,SP030_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254238,N276_gp65,N276_gp65,SP030_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254239,N276_gp66,N276_gp66,SP030_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254240,N276_gp67,N276_gp67,SP030_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254241,N276_gp68,N276_gp68,SP030_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254242,N276_gp69,N276_gp69,SP030_00345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254243,N276_gp70,N276_gp70,SP030_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254244,N276_gp71,N276_gp71,SP030_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254245,N276_gp01,N276_gp01,SP030_00005,-,-,-,cro/c1,protein-coding,-,-,-,cro/c1,20210417,-
1173754,16545691,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage FSL SP-030; Salmonella phage FSLSP030).,other,-,-,-,-,20200513,-
