#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
40269,3293337,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Vibrio salmonicida.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20190427,-
40269,39465500,EIJ81_RS00330,EIJ81_RS00330,EIJ81_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465502,EIJ81_RS00720,EIJ81_RS00720,EIJ81_00720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465504,EIJ81_RS00160,EIJ81_RS00160,EIJ81_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465506,EIJ81_RS00130,EIJ81_RS00130,EIJ81_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465508,EIJ81_RS00500,EIJ81_RS00500,EIJ81_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465509,EIJ81_RS00250,EIJ81_RS00250,EIJ81_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465511,EIJ81_RS00595,EIJ81_RS00595,EIJ81_00595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465513,EIJ81_RS00705,EIJ81_RS00705,EIJ81_00705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465514,EIJ81_RS00770,EIJ81_RS00770,EIJ81_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465515,EIJ81_RS01045,EIJ81_RS01045,EIJ81_01045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465516,EIJ81_RS01060,EIJ81_RS01060,EIJ81_01060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465518,EIJ81_RS01095,EIJ81_RS01095,EIJ81_01095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465519,EIJ81_RS00380,EIJ81_RS00380,EIJ81_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465523,EIJ81_RS00265,EIJ81_RS00265,EIJ81_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465524,EIJ81_RS00645,EIJ81_RS00645,EIJ81_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465526,EIJ81_RS00600,EIJ81_RS00600,EIJ81_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465528,EIJ81_RS01305,EIJ81_RS01305,EIJ81_01305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465529,EIJ81_RS00255,EIJ81_RS00255,EIJ81_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465530,EIJ81_RS00670,EIJ81_RS00670,EIJ81_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465532,EIJ81_RS01055,EIJ81_RS01055,EIJ81_01055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465533,EIJ81_RS00485,EIJ81_RS00485,EIJ81_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465534,EIJ81_RS00520,EIJ81_RS00520,EIJ81_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465536,EIJ81_RS00175,EIJ81_RS00175,EIJ81_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465537,EIJ81_RS00425,EIJ81_RS00425,EIJ81_00425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465538,EIJ81_RS00350,EIJ81_RS00350,EIJ81_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465539,EIJ81_RS00585,EIJ81_RS00585,EIJ81_00585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465540,EIJ81_RS00325,EIJ81_RS00325,EIJ81_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465541,EIJ81_RS01085,EIJ81_RS01085,EIJ81_01085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465542,EIJ81_RS00845,EIJ81_RS00845,EIJ81_00845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465543,EIJ81_RS00815,EIJ81_RS00815,EIJ81_00815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465545,EIJ81_RS00965,EIJ81_RS00965,EIJ81_00965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465548,EIJ81_RS00910,EIJ81_RS00910,EIJ81_00910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465549,EIJ81_RS00725,EIJ81_RS00725,EIJ81_00725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465550,EIJ81_RS00145,EIJ81_RS00145,EIJ81_00145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465553,EIJ81_RS00625,EIJ81_RS00625,EIJ81_00625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465556,EIJ81_RS00280,EIJ81_RS00280,EIJ81_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465557,EIJ81_RS00340,EIJ81_RS00340,EIJ81_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465559,EIJ81_RS01015,EIJ81_RS01015,EIJ81_01015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465560,EIJ81_RS00260,EIJ81_RS00260,EIJ81_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465562,EIJ81_RS00090,EIJ81_RS00090,EIJ81_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465563,EIJ81_RS00235,EIJ81_RS00235,EIJ81_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465564,EIJ81_RS00015,EIJ81_RS00015,EIJ81_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465565,EIJ81_RS00560,EIJ81_RS00560,EIJ81_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465567,EIJ81_RS00675,EIJ81_RS00675,EIJ81_00675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465569,EIJ81_RS00660,EIJ81_RS00660,EIJ81_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465570,EIJ81_RS00495,EIJ81_RS00495,EIJ81_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465574,EIJ81_RS00760,EIJ81_RS00760,EIJ81_00760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465575,EIJ81_RS00865,EIJ81_RS00865,EIJ81_00865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465576,EIJ81_RS00440,EIJ81_RS00440,EIJ81_00440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465577,EIJ81_RS00565,EIJ81_RS00565,EIJ81_00565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465578,EIJ81_RS00820,EIJ81_RS00820,EIJ81_00820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465579,EIJ81_RS00870,EIJ81_RS00870,EIJ81_00870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465580,EIJ81_RS00050,EIJ81_RS00050,EIJ81_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465581,EIJ81_RS00385,EIJ81_RS00385,EIJ81_00385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465582,EIJ81_RS00925,EIJ81_RS00925,EIJ81_00925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465583,EIJ81_RS00785,EIJ81_RS00785,EIJ81_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465584,EIJ81_RS00850,EIJ81_RS00850,EIJ81_00850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465586,EIJ81_RS00765,EIJ81_RS00765,EIJ81_00765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
40269,39465587,EIJ81_RS00390,EIJ81_RS00390,EIJ81_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465588,EIJ81_RS00315,EIJ81_RS00315,EIJ81_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465589,EIJ81_RS00610,EIJ81_RS00610,EIJ81_00610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465590,EIJ81_RS01025,EIJ81_RS01025,EIJ81_01025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465591,EIJ81_RS00780,EIJ81_RS00780,EIJ81_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465593,EIJ81_RS00975,EIJ81_RS00975,EIJ81_00975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465594,EIJ81_RS00890,EIJ81_RS00890,EIJ81_00890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465596,EIJ81_RS00270,EIJ81_RS00270,EIJ81_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
40269,39465597,EIJ81_RS01105,EIJ81_RS01105,EIJ81_01105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465598,EIJ81_RS00750,EIJ81_RS00750,EIJ81_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465599,EIJ81_RS00225,EIJ81_RS00225,EIJ81_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465600,EIJ81_RS00205,EIJ81_RS00205,EIJ81_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465602,EIJ81_RS00435,EIJ81_RS00435,EIJ81_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465603,EIJ81_RS00545,EIJ81_RS00545,EIJ81_00545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465604,EIJ81_RS00570,EIJ81_RS00570,EIJ81_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465606,EIJ81_RS00805,EIJ81_RS00805,EIJ81_00805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465610,EIJ81_RS01300,EIJ81_RS01300,EIJ81_01300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465611,EIJ81_RS00715,EIJ81_RS00715,EIJ81_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465612,EIJ81_RS01090,EIJ81_RS01090,EIJ81_01090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465613,EIJ81_RS00855,EIJ81_RS00855,EIJ81_00855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465614,EIJ81_RS01170,EIJ81_RS01170,EIJ81_01170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465615,EIJ81_RS00555,EIJ81_RS00555,EIJ81_00555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465616,EIJ81_RS01075,EIJ81_RS01075,EIJ81_01075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465619,EIJ81_RS00735,EIJ81_RS00735,EIJ81_00735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465621,EIJ81_RS00320,EIJ81_RS00320,EIJ81_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465622,EIJ81_RS00045,EIJ81_RS00045,EIJ81_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465625,EIJ81_RS00285,EIJ81_RS00285,EIJ81_00285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465626,EIJ81_RS01310,EIJ81_RS01310,EIJ81_01310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465628,EIJ81_RS00995,EIJ81_RS00995,EIJ81_00995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465629,EIJ81_RS01280,EIJ81_RS01280,EIJ81_01280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465630,EIJ81_RS00335,EIJ81_RS00335,EIJ81_00335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465632,EIJ81_RS00875,EIJ81_RS00875,EIJ81_00875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
40269,39465634,EIJ81_RS01070,EIJ81_RS01070,EIJ81_01070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465636,EIJ81_RS00970,EIJ81_RS00970,EIJ81_00970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465641,EIJ81_RS01030,EIJ81_RS01030,EIJ81_01030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465646,EIJ81_RS00895,EIJ81_RS00895,EIJ81_00895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465648,EIJ81_RS00370,EIJ81_RS00370,EIJ81_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465651,EIJ81_RS00695,EIJ81_RS00695,EIJ81_00695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465652,EIJ81_RS00525,EIJ81_RS00525,EIJ81_00525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465654,EIJ81_RS00665,EIJ81_RS00665,EIJ81_00665,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465655,EIJ81_RS00550,EIJ81_RS00550,EIJ81_00550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465656,EIJ81_RS00185,EIJ81_RS00185,EIJ81_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465659,EIJ81_RS00515,EIJ81_RS00515,EIJ81_00515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465660,EIJ81_RS01175,EIJ81_RS01175,EIJ81_01175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465661,EIJ81_RS01145,EIJ81_RS01145,EIJ81_01145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465662,EIJ81_RS01190,EIJ81_RS01190,EIJ81_01190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465663,EIJ81_RS00470,EIJ81_RS00470,EIJ81_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465664,EIJ81_RS00455,EIJ81_RS00455,EIJ81_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465666,EIJ81_RS00655,EIJ81_RS00655,EIJ81_00655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465669,EIJ81_RS00305,EIJ81_RS00305,EIJ81_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465673,EIJ81_RS00220,EIJ81_RS00220,EIJ81_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465674,EIJ81_RS00630,EIJ81_RS00630,EIJ81_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465675,EIJ81_RS00685,EIJ81_RS00685,EIJ81_00685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465676,EIJ81_RS00345,EIJ81_RS00345,EIJ81_00345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465677,EIJ81_RS01040,EIJ81_RS01040,EIJ81_01040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465678,EIJ81_RS01525,EIJ81_RS01525,EIJ81_01525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465684,EIJ81_RS01415,EIJ81_RS01415,EIJ81_01415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465692,EIJ81_RS01400,EIJ81_RS01400,EIJ81_01400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465699,EIJ81_RS01435,EIJ81_RS01435,EIJ81_01435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
