#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64690297,F5147DRAFT_10437,F5147DRAFT_10437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690298,F5147DRAFT_104985,F5147DRAFT_104985,-,-,Unknown,-,transcription factor Pcc1-domain-containing protein,protein-coding,-,-,-,transcription factor Pcc1-domain-containing protein,20210605,-
1912936,64690299,F5147DRAFT_10500,F5147DRAFT_10500,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690300,F5147DRAFT_105066,F5147DRAFT_105066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690301,F5147DRAFT_105218,F5147DRAFT_105218,-,-,Unknown,-,Endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,Endonuclease/exonuclease/phosphatase,20210605,-
1912936,64690302,F5147DRAFT_10526,F5147DRAFT_10526,-,-,Unknown,-,peroxisomal membrane protein PEX16,protein-coding,-,-,-,peroxisomal membrane protein PEX16,20210605,-
1912936,64690303,F5147DRAFT_105274,F5147DRAFT_105274,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690304,F5147DRAFT_105348,F5147DRAFT_105348,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690305,F5147DRAFT_105389,F5147DRAFT_105389,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690306,F5147DRAFT_105777,F5147DRAFT_105777,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690307,F5147DRAFT_105780,F5147DRAFT_105780,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210605,-
1912936,64690308,F5147DRAFT_106127,F5147DRAFT_106127,-,-,Unknown,-,Endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,Endonuclease/exonuclease/phosphatase,20210605,-
1912936,64690309,F5147DRAFT_106196,F5147DRAFT_106196,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690310,F5147DRAFT_106817,F5147DRAFT_106817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690311,F5147DRAFT_10688,F5147DRAFT_10688,-,-,Unknown,-,Endoribonuclease L-PSP,protein-coding,-,-,-,Endoribonuclease L-PSP,20210605,-
1912936,64690312,F5147DRAFT_106936,F5147DRAFT_106936,-,-,Unknown,-,WLM-domain-containing protein,protein-coding,-,-,-,WLM-domain-containing protein,20210605,-
1912936,64690313,F5147DRAFT_107028,F5147DRAFT_107028,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64690314,F5147DRAFT_107085,F5147DRAFT_107085,-,-,Unknown,-,C5-sterol desaturase,protein-coding,-,-,-,C5-sterol desaturase,20210605,-
1912936,64690315,F5147DRAFT_107315,F5147DRAFT_107315,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690316,F5147DRAFT_107570,F5147DRAFT_107570,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690317,F5147DRAFT_107674,F5147DRAFT_107674,-,-,Unknown,-,chaperonin 10-like protein,protein-coding,-,-,-,chaperonin 10-like protein,20210605,-
1912936,64690318,F5147DRAFT_10774,F5147DRAFT_10774,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690319,F5147DRAFT_107838,F5147DRAFT_107838,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690320,F5147DRAFT_108025,F5147DRAFT_108025,-,-,Unknown,-,SH3-domain-containing protein,protein-coding,-,-,-,SH3-domain-containing protein,20210605,-
1912936,64690321,F5147DRAFT_108079,F5147DRAFT_108079,-,-,Unknown,-,MM3350-like domain-containing protein,protein-coding,-,-,-,MM3350-like domain-containing protein,20210605,-
1912936,64690322,F5147DRAFT_108140,F5147DRAFT_108140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690323,F5147DRAFT_108141,F5147DRAFT_108141,-,-,Unknown,-,complex I intermediate-associated protein CIA30,protein-coding,-,-,-,complex I intermediate-associated protein CIA30,20210605,-
1912936,64690324,F5147DRAFT_108396,F5147DRAFT_108396,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690325,F5147DRAFT_10841,F5147DRAFT_10841,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690326,F5147DRAFT_10871,F5147DRAFT_10871,-,-,Unknown,-,ribosomal protein L36-domain-containing protein,protein-coding,-,-,-,ribosomal protein L36-domain-containing protein,20210605,-
1912936,64690327,F5147DRAFT_108815,F5147DRAFT_108815,-,-,Unknown,-,PUA-like domain-containing protein,protein-coding,-,-,-,PUA-like domain-containing protein,20210605,-
1912936,64690328,F5147DRAFT_108820,F5147DRAFT_108820,-,-,Unknown,-,PUA-like domain-containing protein,protein-coding,-,-,-,PUA-like domain-containing protein,20210605,-
1912936,64690329,F5147DRAFT_108850,F5147DRAFT_108850,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690330,F5147DRAFT_10907,F5147DRAFT_10907,-,-,Unknown,-,dihydrofolate reductase-like domain-containing protein,protein-coding,-,-,-,dihydrofolate reductase-like domain-containing protein,20210605,-
1912936,64690331,F5147DRAFT_109685,F5147DRAFT_109685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690332,F5147DRAFT_110127,F5147DRAFT_110127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690333,F5147DRAFT_110462,F5147DRAFT_110462,-,-,Unknown,-,ribosomal protein L5 domain-containing protein,protein-coding,-,-,-,ribosomal protein L5 domain-containing protein,20210605,-
1912936,64690334,F5147DRAFT_110535,F5147DRAFT_110535,-,-,Unknown,-,ThuA-like domain-containing protein,protein-coding,-,-,-,ThuA-like domain-containing protein,20210605,-
1912936,64690335,F5147DRAFT_110544,F5147DRAFT_110544,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690336,F5147DRAFT_110780,F5147DRAFT_110780,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690337,F5147DRAFT_111042,F5147DRAFT_111042,-,-,Unknown,-,sterol-binding-like protein,protein-coding,-,-,-,sterol-binding-like protein,20210605,-
1912936,64690338,F5147DRAFT_111680,F5147DRAFT_111680,-,-,Unknown,-,Maf1 regulator-domain-containing protein,protein-coding,-,-,-,Maf1 regulator-domain-containing protein,20210605,-
1912936,64690339,F5147DRAFT_113308,F5147DRAFT_113308,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690340,F5147DRAFT_11342,F5147DRAFT_11342,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690341,F5147DRAFT_114580,F5147DRAFT_114580,-,-,Unknown,-,nucleoside hydrolase,protein-coding,-,-,-,nucleoside hydrolase,20210605,-
1912936,64690342,F5147DRAFT_114832,F5147DRAFT_114832,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690343,F5147DRAFT_11508,F5147DRAFT_11508,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690344,F5147DRAFT_11510,F5147DRAFT_11510,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690345,F5147DRAFT_115106,F5147DRAFT_115106,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210605,-
1912936,64690346,F5147DRAFT_115251,F5147DRAFT_115251,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690347,F5147DRAFT_115386,F5147DRAFT_115386,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690348,F5147DRAFT_115648,F5147DRAFT_115648,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210605,-
1912936,64690349,F5147DRAFT_115842,F5147DRAFT_115842,-,-,Unknown,-,ribosomal protein S28e-domain-containing protein,protein-coding,-,-,-,ribosomal protein S28e-domain-containing protein,20210605,-
1912936,64690350,F5147DRAFT_115977,F5147DRAFT_115977,-,-,Unknown,-,Sodium/hydrogen exchanger family-domain-containing protein,protein-coding,-,-,-,Sodium/hydrogen exchanger family-domain-containing protein,20210605,-
1912936,64690351,F5147DRAFT_116193,F5147DRAFT_116193,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690352,F5147DRAFT_116441,F5147DRAFT_116441,-,-,Unknown,-,MCM-domain-containing protein,protein-coding,-,-,-,MCM-domain-containing protein,20210605,-
1912936,64690353,F5147DRAFT_116477,F5147DRAFT_116477,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690354,F5147DRAFT_116555,F5147DRAFT_116555,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690355,F5147DRAFT_116606,F5147DRAFT_116606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690356,F5147DRAFT_116703,F5147DRAFT_116703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690357,F5147DRAFT_117057,F5147DRAFT_117057,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690358,F5147DRAFT_117066,F5147DRAFT_117066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690359,F5147DRAFT_117459,F5147DRAFT_117459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690360,F5147DRAFT_117557,F5147DRAFT_117557,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690361,F5147DRAFT_117661,F5147DRAFT_117661,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690362,F5147DRAFT_117783,F5147DRAFT_117783,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690363,F5147DRAFT_117811,F5147DRAFT_117811,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690364,F5147DRAFT_117841,F5147DRAFT_117841,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690365,F5147DRAFT_117897,F5147DRAFT_117897,-,-,Unknown,-,heterokaryon incompatibility protein-domain-containing protein,protein-coding,-,-,-,heterokaryon incompatibility protein-domain-containing protein,20210605,-
1912936,64690366,F5147DRAFT_1179,F5147DRAFT_1179,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64690367,F5147DRAFT_118261,F5147DRAFT_118261,-,-,Unknown,-,male sterility protein-domain-containing protein,protein-coding,-,-,-,male sterility protein-domain-containing protein,20210605,-
1912936,64690368,F5147DRAFT_118707,F5147DRAFT_118707,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690369,F5147DRAFT_118857,F5147DRAFT_118857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690370,F5147DRAFT_118872,F5147DRAFT_118872,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690371,F5147DRAFT_11904,F5147DRAFT_11904,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690372,F5147DRAFT_119073,F5147DRAFT_119073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690373,F5147DRAFT_119174,F5147DRAFT_119174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690374,F5147DRAFT_119213,F5147DRAFT_119213,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690375,F5147DRAFT_119392,F5147DRAFT_119392,-,-,Unknown,-,ABC1 family-domain-containing protein,protein-coding,-,-,-,ABC1 family-domain-containing protein,20210605,-
1912936,64690376,F5147DRAFT_119474,F5147DRAFT_119474,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690377,F5147DRAFT_119505,F5147DRAFT_119505,-,-,Unknown,-,"DNA-directed RNA polymerase II, subunit 3",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit 3",20210605,-
1912936,64690378,F5147DRAFT_119536,F5147DRAFT_119536,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690379,F5147DRAFT_119822,F5147DRAFT_119822,-,-,Unknown,-,SNF2 family N-terminal domain-containing protein,protein-coding,-,-,-,SNF2 family N-terminal domain-containing protein,20210605,-
1912936,64690380,F5147DRAFT_120034,F5147DRAFT_120034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690381,F5147DRAFT_120127,F5147DRAFT_120127,-,-,Unknown,-,restriction endonuclease type II-like protein,protein-coding,-,-,-,restriction endonuclease type II-like protein,20210605,-
1912936,64690382,F5147DRAFT_120356,F5147DRAFT_120356,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690383,F5147DRAFT_120453,F5147DRAFT_120453,-,-,Unknown,-,ribosomal protein L34-domain-containing protein,protein-coding,-,-,-,ribosomal protein L34-domain-containing protein,20210605,-
1912936,64690384,F5147DRAFT_120455,F5147DRAFT_120455,-,-,Unknown,-,clasp N terminal-domain-containing protein,protein-coding,-,-,-,clasp N terminal-domain-containing protein,20210605,-
1912936,64690385,F5147DRAFT_120634,F5147DRAFT_120634,-,-,Unknown,-,protein serine threonine phosphatase 2C,protein-coding,-,-,-,protein serine threonine phosphatase 2C,20210605,-
1912936,64690386,F5147DRAFT_120749,F5147DRAFT_120749,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690387,F5147DRAFT_120766,F5147DRAFT_120766,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690388,F5147DRAFT_120786,F5147DRAFT_120786,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690389,F5147DRAFT_121088,F5147DRAFT_121088,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690390,F5147DRAFT_121156,F5147DRAFT_121156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690391,F5147DRAFT_121404,F5147DRAFT_121404,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690392,F5147DRAFT_121569,F5147DRAFT_121569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690393,F5147DRAFT_121994,F5147DRAFT_121994,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690394,F5147DRAFT_122032,F5147DRAFT_122032,-,-,Unknown,-,chaperonin Cpn60/TCP-1 family,protein-coding,-,-,-,chaperonin Cpn60/TCP-1 family,20210605,-
1912936,64690395,F5147DRAFT_122046,F5147DRAFT_122046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690396,F5147DRAFT_122264,F5147DRAFT_122264,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690397,F5147DRAFT_122343,F5147DRAFT_122343,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690398,F5147DRAFT_122491,F5147DRAFT_122491,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690399,F5147DRAFT_122671,F5147DRAFT_122671,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690400,F5147DRAFT_12305,F5147DRAFT_12305,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690401,F5147DRAFT_123254,F5147DRAFT_123254,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20210605,-
1912936,64690402,F5147DRAFT_123338,F5147DRAFT_123338,-,-,Unknown,-,PTPLA-domain-containing protein,protein-coding,-,-,-,PTPLA-domain-containing protein,20210605,-
1912936,64690403,F5147DRAFT_123370,F5147DRAFT_123370,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690404,F5147DRAFT_123447,F5147DRAFT_123447,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690405,F5147DRAFT_123464,F5147DRAFT_123464,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690406,F5147DRAFT_123618,F5147DRAFT_123618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690407,F5147DRAFT_123870,F5147DRAFT_123870,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690408,F5147DRAFT_12419,F5147DRAFT_12419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690409,F5147DRAFT_124242,F5147DRAFT_124242,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64690410,F5147DRAFT_124323,F5147DRAFT_124323,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210605,-
1912936,64690411,F5147DRAFT_124396,F5147DRAFT_124396,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690412,F5147DRAFT_124610,F5147DRAFT_124610,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690413,F5147DRAFT_124752,F5147DRAFT_124752,-,-,Unknown,-,plasma-membrane choline transporter-domain-containing protein,protein-coding,-,-,-,plasma-membrane choline transporter-domain-containing protein,20210605,-
1912936,64690414,F5147DRAFT_125072,F5147DRAFT_125072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690415,F5147DRAFT_12536,F5147DRAFT_12536,-,-,Unknown,-,phosphatidylinositol N-acetylglucosaminyltransferase subunit C,protein-coding,-,-,-,phosphatidylinositol N-acetylglucosaminyltransferase subunit C,20210605,-
1912936,64690416,F5147DRAFT_125588,F5147DRAFT_125588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690417,F5147DRAFT_125896,F5147DRAFT_125896,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690418,F5147DRAFT_126074,F5147DRAFT_126074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690419,F5147DRAFT_126084,F5147DRAFT_126084,-,-,Unknown,-,ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase,protein-coding,-,-,-,ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase,20210605,-
1912936,64690420,F5147DRAFT_126140,F5147DRAFT_126140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690421,F5147DRAFT_126234,F5147DRAFT_126234,-,-,Unknown,-,cyclophilin-like domain-containing protein,protein-coding,-,-,-,cyclophilin-like domain-containing protein,20210605,-
1912936,64690422,F5147DRAFT_126299,F5147DRAFT_126299,-,-,Unknown,-,UBC-like protein,protein-coding,-,-,-,UBC-like protein,20210605,-
1912936,64690423,F5147DRAFT_126459,F5147DRAFT_126459,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690424,F5147DRAFT_126489,F5147DRAFT_126489,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690425,F5147DRAFT_126517,F5147DRAFT_126517,-,-,Unknown,-,Dbl homology domain-containing protein,protein-coding,-,-,-,Dbl homology domain-containing protein,20210605,-
1912936,64690426,F5147DRAFT_126537,F5147DRAFT_126537,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690427,F5147DRAFT_126571,F5147DRAFT_126571,-,-,Unknown,-,glycoside hydrolase family 12 protein,protein-coding,-,-,-,glycoside hydrolase family 12 protein,20210605,-
1912936,64690428,F5147DRAFT_126922,F5147DRAFT_126922,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210605,-
1912936,64690429,F5147DRAFT_127151,F5147DRAFT_127151,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690430,F5147DRAFT_127162,F5147DRAFT_127162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690431,F5147DRAFT_127333,F5147DRAFT_127333,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64690432,F5147DRAFT_127481,F5147DRAFT_127481,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690433,F5147DRAFT_128404,F5147DRAFT_128404,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690434,F5147DRAFT_128658,F5147DRAFT_128658,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690435,F5147DRAFT_128974,F5147DRAFT_128974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690436,F5147DRAFT_128984,F5147DRAFT_128984,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64690437,F5147DRAFT_129142,F5147DRAFT_129142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
