#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698488,40072889,FDH14_gp02,FDH14_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201220,-
698488,40072929,FDH14_gp42,FDH14_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072930,FDH14_gp43,FDH14_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072931,FDH14_gp44,FDH14_gp44,-,-,-,-,"putative holin-like, class II",protein-coding,-,-,-,"putative holin-like, class II",20201220,-
698488,40072932,FDH14_gp45,FDH14_gp45,-,-,-,-,"putative holin-like, class I",protein-coding,-,-,-,"putative holin-like, class I",20201220,-
698488,40072933,FDH14_gp46,FDH14_gp46,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201220,-
698488,40072934,FDH14_gp47,FDH14_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072935,FDH14_gp48,FDH14_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072936,FDH14_gp49,FDH14_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072937,FDH14_gp50,FDH14_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072938,FDH14_gp51,FDH14_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072939,FDH14_gp01,FDH14_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40120032,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage K1ind1; Escherichia phage K1-ind(1); K1-ind(1)).,other,-,-,-,-,20200513,-
