#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792245,29081781,Blue_002,Blue_002,-,-,-,-,PcfJ-like protein,protein-coding,-,-,-,PcfJ-like protein,20200910,-
1792245,29081809,Blue_030,Blue_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081810,Blue_031,Blue_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081811,Blue_032,Blue_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081812,Blue_033,Blue_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081813,Blue_034,Blue_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081814,Blue_035,Blue_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081815,Blue_036,Blue_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081816,Blue_037,Blue_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081817,Blue_038,Blue_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081818,Blue_039,Blue_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081819,Blue_040,Blue_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081820,Blue_041,Blue_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081821,Blue_042,Blue_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081822,Blue_043,Blue_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081823,Blue_044,Blue_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081824,Blue_045,Blue_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081825,Blue_046,Blue_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081826,Blue_047,Blue_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081827,Blue_048,Blue_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081828,Blue_049,Blue_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081829,Blue_050,Blue_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081830,Blue_051,Blue_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081831,Blue_052,Blue_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081832,Blue_053,Blue_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081833,Blue_054,Blue_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081834,Blue_055,Blue_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081835,Blue_056,Blue_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081836,Blue_057,Blue_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081837,Blue_058,Blue_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081838,Blue_059,Blue_059,-,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20200910,-
1792245,29081839,Blue_060,Blue_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081840,Blue_061,Blue_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081841,Blue_062,Blue_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081842,Blue_063,Blue_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081843,Blue_064,Blue_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081844,Blue_065,Blue_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081845,Blue_066,Blue_066,-,-,-,-,AAA superfamily ATPase,protein-coding,-,-,-,AAA superfamily ATPase,20200910,-
1792245,29081846,Blue_067,Blue_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081847,Blue_068,Blue_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081848,Blue_069,Blue_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081849,Blue_071,Blue_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081850,Blue_072,Blue_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081851,Blue_070,Blue_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081852,Blue_073,Blue_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081853,Blue_074,Blue_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081854,Blue_075,Blue_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081855,Blue_076,Blue_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081856,Blue_077,Blue_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081857,Blue_078,Blue_078,-,-,-,-,FtsK_SpoIIIE-family protein,protein-coding,-,-,-,FtsK_SpoIIIE-family protein,20200910,-
1792245,29081858,Blue_079,Blue_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081859,Blue_080,Blue_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081860,Blue_081,Blue_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081861,Blue_082,Blue_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081862,Blue_083,Blue_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081863,Blue_084,Blue_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081864,Blue_085,Blue_085,-,-,-,-,segregation protein ParM-like protein,protein-coding,-,-,-,segregation protein ParM-like protein,20200910,-
1792245,29081865,Blue_086,Blue_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081866,Blue_087,Blue_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081867,Blue_088,Blue_088,-,-,-,-,RNA polymerase sigma-70 factor sigma-B/F/G subfamily,protein-coding,-,-,-,RNA polymerase sigma-70 factor sigma-B/F/G subfamily,20200910,-
1792245,29081868,Blue_089,Blue_089,-,-,-,-,RNA polymerase sigma-70 factor sigma-B/F/G subfamily,protein-coding,-,-,-,RNA polymerase sigma-70 factor sigma-B/F/G subfamily,20200910,-
1792245,29081869,Blue_090,Blue_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081870,Blue_091,Blue_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081871,Blue_092,Blue_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081872,Blue_093,Blue_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081873,Blue_094,Blue_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081874,Blue_095,Blue_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081875,Blue_096,Blue_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081876,Blue_097,Blue_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081877,Blue_098,Blue_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081878,Blue_099,Blue_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081879,Blue_100,Blue_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081880,Blue_101,Blue_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081881,Blue_102,Blue_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081882,Blue_103,Blue_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081883,Blue_104,Blue_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081884,Blue_105,Blue_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081885,Blue_106,Blue_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081886,Blue_107,Blue_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081887,Blue_108,Blue_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081888,Blue_109,Blue_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081889,Blue_110,Blue_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081890,Blue_111,Blue_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081891,Blue_112,Blue_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081892,Blue_113,Blue_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081893,Blue_114,Blue_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081894,Blue_115,Blue_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081895,Blue_116,Blue_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081896,Blue_117,Blue_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081897,Blue_118,Blue_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081898,Blue_119,Blue_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081899,Blue_120,Blue_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081900,Blue_121,Blue_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081901,Blue_122,Blue_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081902,Blue_123,Blue_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081903,Blue_124,Blue_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081904,Blue_125,Blue_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081905,Blue_126,Blue_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081906,Blue_127,Blue_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081907,Blue_128,Blue_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081908,Blue_129,Blue_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081909,Blue_130,Blue_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081910,Blue_131,Blue_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081911,Blue_132,Blue_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081912,Blue_133,Blue_133,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20200910,-
1792245,29081913,Blue_134,Blue_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081914,Blue_135,Blue_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081915,Blue_136,Blue_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081916,Blue_137,Blue_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081917,Blue_138,Blue_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081918,Blue_139,Blue_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081919,Blue_140,Blue_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081920,Blue_141,Blue_141,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1792245,29081921,Blue_142,Blue_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081922,Blue_143,Blue_143,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1792245,29081923,Blue_144,Blue_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081924,Blue_145,Blue_145,-,-,-,-,C-5 cytosine-specific DNA methylase I,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase I,20200910,-
1792245,29081925,Blue_146,Blue_146,-,-,-,-,C-5 cytosine-specific DNA methylase II,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase II,20200910,-
1792245,29081926,Blue_147,Blue_147,-,-,-,-,DNA (cytosine-5-)-methyltransferase,protein-coding,-,-,-,DNA (cytosine-5-)-methyltransferase,20200910,-
1792245,29081927,Blue_148,Blue_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081928,Blue_149,Blue_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081929,Blue_150,Blue_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081930,Blue_151,Blue_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081931,Blue_152,Blue_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081932,Blue_153,Blue_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081933,Blue_154,Blue_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081934,Blue_155,Blue_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081935,Blue_156,Blue_156,-,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20200910,-
1792245,29081936,Blue_157,Blue_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081937,Blue_158,Blue_158,-,-,-,-,ribonucleoside-disphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleoside-disphosphate reductase alpha subunit,20200910,-
1792245,29081938,Blue_159,Blue_159,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200910,-
1792245,29081939,Blue_160,Blue_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081940,Blue_161,Blue_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081941,Blue_162,Blue_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081942,Blue_163,Blue_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081943,Blue_164,Blue_164,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1792245,29081944,Blue_165,Blue_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081945,Blue_166,Blue_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081946,Blue_167,Blue_167,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200910,-
1792245,29081947,Blue_168,Blue_168,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20200910,-
1792245,29081948,Blue_169,Blue_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081949,Blue_170,Blue_170,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200910,-
1792245,29081950,Blue_171,Blue_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081951,Blue_172,Blue_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081952,Blue_173,Blue_173,-,-,-,-,DNA helicase II,protein-coding,-,-,-,DNA helicase II,20200910,-
1792245,29081953,Blue_174,Blue_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081954,Blue_175,Blue_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081955,Blue_176,Blue_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081956,Blue_177,Blue_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081957,Blue_178,Blue_178,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200910,-
1792245,29081958,Blue_179,Blue_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081959,Blue_180,Blue_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081960,Blue_181,Blue_181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081961,Blue_182,Blue_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081962,Blue_183,Blue_183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081963,Blue_184,Blue_184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081964,Blue_185,Blue_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081965,Blue_186,Blue_186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081966,Blue_187,Blue_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081967,Blue_188,Blue_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081968,Blue_189,Blue_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081969,Blue_191,Blue_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081970,Blue_192,Blue_192,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200910,-
1792245,29081971,Blue_193,Blue_193,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200910,-
1792245,29081972,Blue_194,Blue_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081973,Blue_195,Blue_195,-,-,-,-,L-alanoyl-D-glutamate peptidase,protein-coding,-,-,-,L-alanoyl-D-glutamate peptidase,20200910,-
1792245,29081974,Blue_196,Blue_196,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200910,-
1792245,29081975,Blue_197,Blue_197,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
1792245,29081976,Blue_198,Blue_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081977,Blue_199,Blue_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081978,Blue_200,Blue_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081979,Blue_201,Blue_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081980,Blue_202,Blue_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081981,Blue_203,Blue_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081982,Blue_204,Blue_204,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1792245,29081983,Blue_205,Blue_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081984,Blue_206,Blue_206,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200910,-
1792245,29081985,Blue_207,Blue_207,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1792245,29081986,Blue_208,Blue_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081987,Blue_209,Blue_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081988,Blue_228,Blue_228,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1792245,29081989,Blue_211,Blue_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081990,Blue_212,Blue_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081991,Blue_213,Blue_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081992,Blue_214,Blue_214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081993,Blue_215,Blue_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081994,Blue_216,Blue_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081995,Blue_217,Blue_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081996,Blue_218,Blue_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
