#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131317,14011777,FV3_00118,FV3_00118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011778,FV3_00119,FV3_00119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011779,FV3_00120,FV3_00120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011780,FV3_00121,FV3_00121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011781,FV3_00122,FV3_00122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011782,FV3_00123,FV3_00123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011783,FV3_00124,FV3_00124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011784,FV3_00125,FV3_00125,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1131317,14011785,FV3_00126,FV3_00126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011786,FV3_00127,FV3_00127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011787,FV3_00128,FV3_00128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011788,FV3_00129,FV3_00129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011789,FV3_00130,FV3_00130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011790,FV3_00131,FV3_00131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011791,FV3_00132,FV3_00132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011792,FV3_00133,FV3_00133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011793,FV3_00134,FV3_00134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011794,FV3_00135,FV3_00135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011795,FV3_00136,FV3_00136,-,-,-,-,sigma 54 modulation factor,protein-coding,-,-,-,sigma 54 modulation factor,20200629,-
1131317,14011796,FV3_00137,FV3_00137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011797,FV3_00138,FV3_00138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1131317,14011798,FV3_00139,FV3_00139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011799,FV3_00140,FV3_00140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011800,FV3_00141,FV3_00141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011801,FV3_00142,FV3_00142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011802,FV3_00143,FV3_00143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011803,FV3_00144,FV3_00144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011804,FV3_00145,FV3_00145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011805,FV3_00146,FV3_00146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011806,FV3_00147,FV3_00147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011807,FV3_00148,FV3_00148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011808,FV3_00149,FV3_00149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011809,FV3_00150,FV3_00150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011810,FV3_00151,FV3_00151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011811,FV3_00152,FV3_00152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011812,FV3_00153,FV3_00153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011813,FV3_00154,FV3_00154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011814,FV3_00155,FV3_00155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011815,FV3_00156,FV3_00156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011816,FV3_00157,FV3_00157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
