#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287,2827877,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus aeruginosus; Bacillus pyocyaneus; Bacterium aeruginosum; Bacterium pyocyaneum; Micrococcus pyocyaneus; Pseudomonas polycolor; Pseudomonas pyocyanea; probable synonym or variety: ""Pseudomonas polycolor"" Clara 1930.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
287,40042078,DZ927_RS34275,DZ927_RS34275,DZ927_034280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042089,DZ927_RS34230,DZ927_RS34230,DZ927_034235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042090,DZ927_RS34225,DZ927_RS34225,DZ927_034230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,40042091,DZ927_RS34235,DZ927_RS34235,DZ927_034240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042092,DZ927_RS34240,DZ927_RS34240,DZ927_034245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042094,DZ927_RS34245,DZ927_RS34245,DZ927_034250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042102,DZ927_RS34600,DZ927_RS34600,DZ927_034605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042113,DZ927_RS33765,DZ927_RS33765,DZ927_033770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042122,DZ927_RS33910,DZ927_RS33910,DZ927_033915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042123,DZ927_RS33295,DZ927_RS33295,DZ927_033300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042125,DZ927_RS33395,DZ927_RS33395,DZ927_033400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042126,DZ927_RS33520,DZ927_RS33520,DZ927_033525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042128,DZ927_RS33510,DZ927_RS33510,DZ927_033515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042130,DZ927_RS33550,DZ927_RS33550,DZ927_033555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042134,DZ927_RS33375,DZ927_RS33375,DZ927_033380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042136,DZ927_RS33575,DZ927_RS33575,DZ927_033580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042139,DZ927_RS33875,DZ927_RS33875,DZ927_033880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042143,DZ927_RS33290,DZ927_RS33290,DZ927_033295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
287,40042145,DZ927_RS33405,DZ927_RS33405,DZ927_033410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042147,DZ927_RS33545,DZ927_RS33545,DZ927_033550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042151,DZ927_RS33120,DZ927_RS33120,DZ927_033125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042155,DZ927_RS33115,DZ927_RS33115,DZ927_033120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190428,-
287,40042162,DZ927_RS33345,DZ927_RS33345,DZ927_033350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,40042167,DZ927_RS33820,DZ927_RS33820,DZ927_033825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042168,DZ927_RS33580,DZ927_RS33580,DZ927_033585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042175,DZ927_RS33200,DZ927_RS33200,DZ927_033205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042190,DZ927_RS33605,DZ927_RS33605,DZ927_033610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042191,DZ927_RS33350,DZ927_RS33350,DZ927_033355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042205,DZ927_RS33060,DZ927_RS33060,DZ927_033065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042208,DZ927_RS33780,DZ927_RS33780,DZ927_033785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042210,DZ927_RS33650,DZ927_RS33650,DZ927_033655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042219,DZ927_RS33835,DZ927_RS33835,DZ927_033840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042222,DZ927_RS33635,DZ927_RS33635,DZ927_033640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042225,DZ927_RS33415,DZ927_RS33415,DZ927_033420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042229,DZ927_RS33025,DZ927_RS33025,DZ927_033030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042230,DZ927_RS33830,DZ927_RS33830,DZ927_033835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042233,DZ927_RS33855,DZ927_RS33855,DZ927_033860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042241,DZ927_RS33870,DZ927_RS33870,DZ927_033875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042246,DZ927_RS33700,DZ927_RS33700,DZ927_033705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042251,DZ927_RS33770,DZ927_RS33770,DZ927_033775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
287,40042253,DZ927_RS33515,DZ927_RS33515,DZ927_033520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042261,DZ927_RS33775,DZ927_RS33775,DZ927_033780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042272,DZ927_RS33760,DZ927_RS33760,DZ927_033765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042273,DZ927_RS35275,DZ927_RS35275,DZ927_035280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,40042280,DZ927_RS35040,DZ927_RS35040,DZ927_035045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042297,DZ927_RS34595,DZ927_RS34595,DZ927_034600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042307,DZ927_RS34720,DZ927_RS34720,DZ927_034725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042310,DZ927_RS34610,DZ927_RS34610,DZ927_034615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042315,DZ927_RS34800,DZ927_RS34800,DZ927_034805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042328,DZ927_RS35435,DZ927_RS35435,DZ927_035440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042348,DZ927_RS34345,DZ927_RS34345,DZ927_034350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042352,DZ927_RS34550,DZ927_RS34550,DZ927_034555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042360,DZ927_RS34910,DZ927_RS34910,DZ927_034915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042367,DZ927_RS34470,DZ927_RS34470,DZ927_034475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042369,DZ927_RS34425,DZ927_RS34425,DZ927_034430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042379,DZ927_RS35255,DZ927_RS35255,DZ927_035260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042380,DZ927_RS35005,DZ927_RS35005,DZ927_035010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042406,DZ927_RS34485,DZ927_RS34485,DZ927_034490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042411,DZ927_RS35165,DZ927_RS35165,DZ927_035170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042413,DZ927_RS34000,DZ927_RS34000,DZ927_034005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042416,DZ927_RS35030,DZ927_RS35030,DZ927_035035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042420,DZ927_RS35400,DZ927_RS35400,DZ927_035405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042426,DZ927_RS34715,DZ927_RS34715,DZ927_034720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,40042432,DZ927_RS35245,DZ927_RS35245,DZ927_035250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,40042440,DZ927_RS34315,DZ927_RS34315,DZ927_034320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042441,DZ927_RS34680,DZ927_RS34680,DZ927_034685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,40042442,DZ927_RS35395,DZ927_RS35395,DZ927_035400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042452,DZ927_RS35365,DZ927_RS35365,DZ927_035370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042454,DZ927_RS34360,DZ927_RS34360,DZ927_034365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042461,DZ927_RS34335,DZ927_RS34335,DZ927_034340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042466,DZ927_RS35375,DZ927_RS35375,DZ927_035380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042471,DZ927_RS35240,DZ927_RS35240,DZ927_035245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042480,DZ927_RS34430,DZ927_RS34430,DZ927_034435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042481,DZ927_RS33990,DZ927_RS33990,DZ927_033995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042482,DZ927_RS34495,DZ927_RS34495,DZ927_034500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042489,DZ927_RS34670,DZ927_RS34670,DZ927_034675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042491,DZ927_RS34280,DZ927_RS34280,DZ927_034285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042492,DZ927_RS35350,DZ927_RS35350,DZ927_035355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042515,DZ927_RS33955,DZ927_RS33955,DZ927_033960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042520,DZ927_RS33985,DZ927_RS33985,DZ927_033990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042521,DZ927_RS33995,DZ927_RS33995,DZ927_034000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,40042523,DZ927_RS34005,DZ927_RS34005,DZ927_034010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042524,DZ927_RS34090,DZ927_RS34090,DZ927_034095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042530,DZ927_RS34035,DZ927_RS34035,DZ927_034040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042543,DZ927_RS34100,DZ927_RS34100,DZ927_034105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042544,DZ927_RS34095,DZ927_RS34095,DZ927_034100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042554,DZ927_RS34405,DZ927_RS34405,DZ927_034410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591056,E6P00_RS01575,E6P00_RS01575,E6P00_01575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
287,42591059,E6P00_RS00195,E6P00_RS00195,E6P00_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591060,E6P00_RS02275,E6P00_RS02275,E6P00_02275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591070,E6P00_RS01700,E6P00_RS01700,E6P00_01700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591071,E6P00_RS01480,E6P00_RS01480,E6P00_01480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591074,E6P00_RS01560,E6P00_RS01560,E6P00_01560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591078,E6P00_RS01435,E6P00_RS01435,E6P00_01435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591079,E6P00_RS01620,E6P00_RS01620,E6P00_01620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591080,E6P00_RS02135,E6P00_RS02135,E6P00_02135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591082,E6P00_RS01470,E6P00_RS01470,E6P00_01470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591085,E6P00_RS02380,E6P00_RS02380,E6P00_02380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591088,E6P00_RS01535,E6P00_RS01535,E6P00_01535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591090,E6P00_RS01625,E6P00_RS01625,E6P00_01625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591091,E6P00_RS00870,E6P00_RS00870,E6P00_00870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591092,E6P00_RS01920,E6P00_RS01920,E6P00_01920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591094,E6P00_RS00480,E6P00_RS00480,E6P00_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591097,E6P00_RS01565,E6P00_RS01565,E6P00_01565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591098,E6P00_RS00255,E6P00_RS00255,E6P00_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591099,E6P00_RS02110,E6P00_RS02110,E6P00_02110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591100,E6P00_RS00605,E6P00_RS00605,E6P00_00605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591109,E6P00_RS00610,E6P00_RS00610,E6P00_00610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591111,E6P00_RS01090,E6P00_RS01090,E6P00_01090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591113,E6P00_RS00620,E6P00_RS00620,E6P00_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591115,E6P00_RS00235,E6P00_RS00235,E6P00_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591118,E6P00_RS01030,E6P00_RS01030,E6P00_01030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591120,E6P00_RS00670,E6P00_RS00670,E6P00_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591122,E6P00_RS00215,E6P00_RS00215,E6P00_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591124,E6P00_RS01175,E6P00_RS01175,E6P00_01175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591128,E6P00_RS00355,E6P00_RS00355,E6P00_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591129,E6P00_RS00230,E6P00_RS00230,E6P00_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591130,E6P00_RS00320,E6P00_RS00320,E6P00_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591132,E6P00_RS00405,E6P00_RS00405,E6P00_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591139,E6P00_RS01655,E6P00_RS01655,E6P00_01655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591140,E6P00_RS02130,E6P00_RS02130,E6P00_02130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591144,E6P00_RS00280,E6P00_RS00280,E6P00_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591146,E6P00_RS00730,E6P00_RS00730,E6P00_00730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591147,E6P00_RS00250,E6P00_RS00250,E6P00_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591160,E6P00_RS01115,E6P00_RS01115,E6P00_01115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591166,E6P00_RS00030,E6P00_RS00030,E6P00_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591169,E6P00_RS01600,E6P00_RS01600,E6P00_01600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591176,E6P00_RS02295,E6P00_RS02295,E6P00_02295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591177,E6P00_RS01465,E6P00_RS01465,E6P00_01465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591184,E6P00_RS00435,E6P00_RS00435,E6P00_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191204,-
287,42591189,E6P00_RS01100,E6P00_RS01100,E6P00_01100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591190,E6P00_RS01755,E6P00_RS01755,E6P00_01755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591191,E6P00_RS01370,E6P00_RS01370,E6P00_01370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591192,E6P00_RS00595,E6P00_RS00595,E6P00_00595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591193,E6P00_RS01095,E6P00_RS01095,E6P00_01095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591195,E6P00_RS01510,E6P00_RS01510,E6P00_01510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591196,E6P00_RS01000,E6P00_RS01000,E6P00_01000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591199,E6P00_RS01140,E6P00_RS01140,E6P00_01140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591203,E6P00_RS01170,E6P00_RS01170,E6P00_01170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591209,E6P00_RS01780,E6P00_RS01780,E6P00_01780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591211,E6P00_RS00775,E6P00_RS00775,E6P00_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
287,42591214,E6P00_RS01500,E6P00_RS01500,E6P00_01500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
287,42591215,E6P00_RS02215,E6P00_RS02215,E6P00_02215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591220,E6P00_RS00395,E6P00_RS00395,E6P00_00395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591230,FIT60_RS01595,FIT60_RS01595,FIT60_05945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591234,FIT60_RS01685,FIT60_RS01685,FIT60_06035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591239,FIT60_RS00290,FIT60_RS00290,FIT60_04640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591254,FIT60_RS00260,FIT60_RS00260,FIT60_04610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591259,FIT60_RS01710,FIT60_RS01710,FIT60_06060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591261,FIT60_RS00525,FIT60_RS00525,FIT60_04875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,42591264,FIT60_RS02250,FIT60_RS02250,FIT60_06600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
287,42591265,FIT60_RS01670,FIT60_RS01670,FIT60_06020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
287,42591266,FIT60_RS01390,FIT60_RS01390,FIT60_05740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591271,FIT60_RS01325,FIT60_RS01325,FIT60_05675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591283,FIT60_RS00255,FIT60_RS00255,FIT60_04605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591288,FIT60_RS00225,FIT60_RS00225,FIT60_04575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591289,FIT60_RS00415,FIT60_RS00415,FIT60_04765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591292,FIT60_RS00490,FIT60_RS00490,FIT60_04840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,42591293,FIT60_RS01095,FIT60_RS01095,FIT60_05445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591294,FIT60_RS00280,FIT60_RS00280,FIT60_04630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
287,42591296,FIT60_RS01060,FIT60_RS01060,FIT60_05410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
