#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897739,55601238,HWB03_gp02,HWB03_gp02,STCF101_0002,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
1897739,55601270,HWB03_gp34,HWB03_gp34,STCF101_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601271,HWB03_gp35,HWB03_gp35,STCF101_0036,-,-,-,NinC,protein-coding,-,-,-,NinC,20210327,-
1897739,55601272,HWB03_gp36,HWB03_gp36,STCF101_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1897739,55601273,HWB03_gp37,HWB03_gp37,STCF101_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601274,HWB03_gp38,HWB03_gp38,STCF101_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601275,HWB03_gp39,HWB03_gp39,STCF101_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601276,HWB03_gp40,HWB03_gp40,STCF101_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601277,HWB03_gp41,HWB03_gp41,STCF101_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601278,HWB03_gp42,HWB03_gp42,STCF101_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601279,HWB03_gp43,HWB03_gp43,STCF101_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1897739,55601280,HWB03_gp44,HWB03_gp44,STCF101_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601281,HWB03_gp45,HWB03_gp45,STCF101_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601282,HWB03_gp46,HWB03_gp46,STCF101_0047,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210327,-
1897739,55601283,HWB03_gp47,HWB03_gp47,STCF101_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601284,HWB03_gp48,HWB03_gp48,STCF101_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601285,HWB03_gp49,HWB03_gp49,STCF101_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601286,HWB03_gp50,HWB03_gp50,STCF101_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601287,HWB03_gp51,HWB03_gp51,STCF101_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601288,HWB03_gp52,HWB03_gp52,STCF101_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601289,HWB03_gp53,HWB03_gp53,STCF101_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897739,55601290,HWB03_gp54,HWB03_gp54,STCF101_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601291,HWB03_gp55,HWB03_gp55,STCF101_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601292,HWB03_gp56,HWB03_gp56,STCF101_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601293,HWB03_gp57,HWB03_gp57,STCF101_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601294,HWB03_gp58,HWB03_gp58,STCF101_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601295,HWB03_gp59,HWB03_gp59,STCF101_0060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601296,HWB03_gp60,HWB03_gp60,STCF101_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601297,HWB03_gp61,HWB03_gp61,STCF101_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601298,HWB03_gp62,HWB03_gp62,STCF101_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601299,HWB03_gp63,HWB03_gp63,STCF101_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601300,HWB03_gp64,HWB03_gp64,STCF101_0065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601301,HWB03_gp65,HWB03_gp65,STCF101_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601302,HWB03_gp66,HWB03_gp66,STCF101_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601303,HWB03_gp67,HWB03_gp67,STCF101_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601304,HWB03_gp68,HWB03_gp68,STCF101_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601305,HWB03_gp69,HWB03_gp69,STCF101_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601306,HWB03_gp70,HWB03_gp70,STCF101_0071,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210327,-
1897739,55601307,HWB03_gp71,HWB03_gp71,STCF101_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601308,HWB03_gp72,HWB03_gp72,STCF101_0073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601309,HWB03_gp73,HWB03_gp73,STCF101_0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601310,HWB03_gp74,HWB03_gp74,STCF101_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1897739,55601311,HWB03_gp75,HWB03_gp75,STCF101_0076,-,-,-,DUF2815 family protein,protein-coding,-,-,-,DUF2815 family protein,20210116,-
1897739,55601312,HWB03_gp76,HWB03_gp76,STCF101_0077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601313,HWB03_gp01,HWB03_gp01,STCF101_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897739,55635664,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
